Deal owner,Deal Name,Chain,Deal Stage,State,TTE Servicing Pharmacy,# Beds,Probability of Close,Go Live Date,Incumbent Pharmacy,Delivery Type Updated,Number of Delivery Locations,Comment,Pipeline Date,Record ID
AJ Forster,LifePath Montco,LifePath,Sales - Presentation,PA,NJ,50,30%,3/1/2025,PDC,Courier,10,CEO Organized meeting with Regional Director Julie due to issues with PDC.,1/21/2025,32336905475
AJ Forster,LifePath Delco,LifePath,Sales - Presentation,PA,NJ,50,30%,6/1/2025,PDC,Courier,10,CEO Organized meeting with Regional Director Jen due to issues with PDC.,1/21/2025,32323634610
Mary Pelletier,Family Options,,Sales - Initial Communication,CT,CT,26,20%,6/1/2025,Hancock,Courier,5,This agency shares admin supports with the GIL Foundation.,1/17/2025,32309136303
Holly DeRosett,North Metro Community Services,,Sales - Initial Communication,CO,Austin,100,10%,1/7/2025,ClearSprings,,,"Per Nickell, they had State in the building. Will following up next week when in Colorado. 
",1/17/2025,32310852150
Holly DeRosett,Catholic Community Services,,Sales - Initial Communication,AZ,Austin,75,10%,6/1/2025,Varies,,,Zuilma said that she is open to meeting. This Agency has 25 group homes in the Tucson area. She is getting with her medical team to coordinate a virtual meeting. Using Therap for Emar.,1/17/2025,32309134874
Holly DeRosett,Unified Residential Services,,Sales - Presentation,AZ,Austin,40,10%,6/1/2025,Neighborhood,,,"Stopped by Agency, Stephanie poked her head out quickly, she said that she was in a meeting, but wanted to introduce herself, and say she will be getting with her team to determine dates for me to come in for a presentation, I suggested a working lunch if that's the easiest/ soonest to meet.",1/17/2025,32310851691
Dixie La Flair,REM Arrowhead Duluth,,Sales - Initial Communication,MN,Austin,160,10%,11/1/2025,Falk's,FedEx,1,Met with RD/Ronna Butler/Scheduling another in person in two weeks,1/17/2025,32310850324
Deb Maloy,Ability Inc.,,Sales - Presentation,MO,KS-Lawrence,32,30%,4/1/2025,Neighborhood,courier to office/nightly to 2 homes,2,"Presentation held on 1/22-interest in services, a few details to work out, pushing for 3/1 if possible but likely 4/1 or later pending contract status. 
",1/17/2025,32310845354
Dave Bezarro,Vinfen - MA,Vinfen,Sales - Initial Communication,MA,MA,500,10%,9/1/2025,Multiple,Mix,,Initial communication to DNS.,1/17/2025,32154245748
Dave Bezarro,Melmark NE,Melmark,Sales - Initial Communication,MA,MA,80,25%,9/1/2025,TBD,Courier,,AJ on lead.  Meeting in February.,1/17/2025,32154245242
AJ Forster,LifePath Ridge Crest,LifePath,Sales - Presentation,PA,NJ,31,80%,4/1/2025,PDC,Courier,1,"Would like to move forward with their residents for 4/1. But, they only desire courier. This is outside of our typical courier route per R.Holmes
",1/6/2025,32153187874
Adam Chittam,VistaCare SD (shared living),VistaCare,Sales - Presentation,SD,IL,50,70%,4/1/2025,multiple local,FedEx,,Met with Chad (National Dir of Shared Living).  Excited to roll out.  Meeting next week to finalize best way to present to host families.  (have to sell to each),1/17/2025,32153018201
Adam Chittam,VistaCare CO (shared living),VistaCare,Sales - Presentation,CO,Austin,86,70%,4/1/2025,multiple local,FedEx,,Met with Chad (National Dir of Shared Living).  Excited to roll out.  Meeting next week to finalize best way to present to host families.  (have to sell to each),1/17/2025,32153017961
Adam Chittam,"Residential Services, Inc",,Sales - Presentation,NC,SC,101,60%,4/1/2025,Pharmerica,FedEx,,"Emailed with ED (Scott), coming to symposium and connecting with Michael McGahey (Dir of Res) at the Therap conference.  Finalizing presentation date",1/17/2025,32153017474
Jose Polanco,New Test Deal - New Deal,,Sales - Inactive,AL; NY,Austin,6,2%,10/1/2025,test,FedEX,3,comment now TESTAFADFDFADSF,6/3/2025,32095701381
Holly DeRosett,The Opportunity Tree,,Sales - Initial Communication,AZ,Austin,75,25%,7/1/2025,Neighborhood,,,"Agency transitioned to Neighborhood 4 months ago. Have had a poor experience, meeting internally to discuss options. Both Executive Director, and area manager have used TTE when they were at comopp, area manager cannot say enough good things about our portal.",1/9/2025,31799463243
Deb Maloy,A Brighter Choice (ABC),,Sales - Initial Communication,KY,Austin,28,15%,7/1/2025,Local,Pick Up,1,"Met PD, liked features shared (parking lot discussion), will share info with nurse tomorrow. Willreach out and follow up for presentation date. (Am Fulton PD, Sherrie Horn, RN)",1/9/2025,31787185000
Blaire Reed,Total Friendly Care,,Onboarding - In Progress,TX,Austin,23,75%,3/1/2025,Multiple local pharmacies,,8,Signed agreement received. Pre-Onboarding and Onboarding calls done,1/9/2025,31787183003
Holly DeRosett,Goodwill of Colorado,,Sales - Presentation,CO,Austin,50,25%,5/1/2025,PDC,TBD,,"Sent Marijune a follow up email regarding supervisor being out on Maternity leave, suggested lunch for next week. 
",,31716980386
Chris Asaro,ARC of Treasure Coast,ARC,Sales - Initial Communication,FL,FL,150,10%,7/1/2025,Parkshore,Central,1,"Meeting with Dina Justice Thursday, January 9th at 10am to discuss Distribution of co-branding collateral and introduction to chapter contact.",1/6/2025,31712970280
Chris Asaro,ARC Tampa Bay,ARC,Sales - Initial Communication,FL,FL,75,10%,6/1/2025,Parkshore,Central,1,"Meeting with Dina Justice Thursday, January 9th at 10am to discuss Distribution of co-branding collateral and introduction to chapter contact.",1/6/2025,31731456786
Chris Asaro,Noah's Ark,,Sales - Inactive,FL,FL,140,10%,7/1/2025,Guardian,Central,1,"Visiting campus on Wednesday, January 8th for pre-presentation meeting",1/6/2025,31725802095
Mary Pelletier,NAFI,,Sales - Initial Communication,CT,CT,29,20%,8/1/2025,Suburban,Courier,7,"Former DON referral; 1/3 drop in; Mtg being scheduled for last week in Jan.
",1/6/2025,31725045539
Chris Asaro,Sunland Marianna,,Sales - Initial Communication,FL,FL,349,10%,9/1/2025,Omnicare,Fedex,,"Have determined that Agency for Disabled Persons (APD) manages the building and is the entity that contracted with pharmacy.  
",1/6/2025,31714484756
Chris Asaro,ARC Spacecoast,ARC,Sales - Initial Communication,FL,FL,120,10%,8/1/2025,Community Discount Phy,Central,1,"Meeting with Dina Justice Thursday, January 9th at 10am to discuss Distribution of co-branding collateral and introduction to chapter contact. Met witrh Dina Justice.  Coordinated 3 way strategy of February meeting, co-brandoing of collateral distribution, and hosting webinar in March. 
",1/6/2025,31721698941
Chris Asaro,Suncoast New Options,,Sales - Initial Communication,FL,FL,100,10%,10/1/2025,Pharmerica,Central,1,"Visiting campus on Wednesday, January 8th for pre-presentation meeting.  Needed to reschedule meeting.  Visiting community on Friday. 
",1/6/2025,31724582756
Blaire Reed,Spears House of Care,,Onboarding - In Progress,TX,Austin,10,100%,3/1/2025,Red Bird,Central Office,1,Scheduling Onboarding Call,1/6/2025,31731304831
AJ Forster,RHD – Family House Norristown,RHD,Onboarding - In Progress,PA,NJ,14,100%,3/1/2025,Local,FedEx,1,Sales Hotline. Manager from another RHD transferred locations and wants our services.,1/7/2025,31656115773
Dave Bezarro,"Better Community Living, Inc.",,Sales - Initial Communication,MA,MA,75,10%,9/1/2025,Unknown,,,Pipeline opportunity,1/2/2025,31349971234
Dave Bezarro,May Institute ,,Sales - Initial Communication,MA,MA,75,10%,9/1/2025,Unknown,,,Pipeline opportunity,1/2/2025,31331002144
Dave Bezarro,"LifeStream, Inc.",,Sales - Initial Communication,MA,MA,125,10%,9/1/2025,Unknown,,,Pipeline opportunity,1/2/2025,31267269679
Dave Bezarro,Incompass human services ,,Sales - Initial Communication,MA,MA,75,10%,9/1/2025,Unknown,,,Pipeline opportunity,1/2/2025,31331001143
Dave Bezarro,"Gandara Mental Health Center, Inc.",,Sales - Initial Communication,MA,MA,125,10%,9/1/2025,Unknown,,,Pipeline opportunity,1/2/2025,31331000685
Dave Bezarro,Cape Abilities ,,Sales - Initial Communication,MA,MA,150,10%,9/1/2025,Unknown,,,"Organization awaiting state survey.  Have asked to reconnect in late spring.
",1/2/2025,31267267459
Dave Bezarro,Arc of Opportunity,,Sales - Inactive,MA,MA,75,50%,6/1/2025,Pelmeds,,,Former client,1/2/2025,31267266206
Adam Chittam,Vista Care WI - Fon Du Lac,Vista Care,Onboarding - In Progress,WI,IL,18,100%,2/1/2025,Retail,,,"Onboarding in Feb 1, 2024",12/31/2024,31267210003
Blaire Reed,Sevita Katy,,Onboarding - In Progress,TX,Austin,24,100%,2/1/2025,Medicine Man ,Central Office,1,Both pre-onboarding and onboarding calls have been completed. In data collection,12/27/2024,31089258510
Dave Bezarro,Latham Centers,,Sales - Initial Communication,MA,MA,100,10%,9/1/2025,Unknown,Courier,30,Initial communication attempted.,12/27/2024,31088127755
Dave Bezarro,"Evergreen Center, Inc.",,Sales - Initial Communication,MA,MA,75,10%,9/1/2025,Unknown,Courier,20,Initial communication attempted.,12/27/2024,31062063740
Dave Bezarro,Berkshire County ARC,,Sales - Initial Communication,MA,MA,165,10%,9/1/2025,Unknown,Courier,48,"Had a discussion with Chris Melski, Reidential Director.  He was to make some inquiries about satisfaction with current provider.  Would not disclose which company that is.
",12/27/2024,31087789073
Dave Bezarro,Advocates,,Sales - Initial Communication,MA,MA,300,10%,9/1/2025,Genoa,Courier,60,Initial communication attempted.,12/27/2024,31086587514
Dave Bezarro,North Suffolk Mental Health Association,,Sales - Initial Communication,MA,MA,75,10%,9/1/2025,Unknown,Courier,20,Initial communication attempted.,12/27/2024,31087091011
Dixie La Flair,Community Living Options,,Sales - Presentation,MN,Austin,180,10%,9/1/2025,Loca Retail (two),FedEx,1,Met with Owner Jeff.  He would like to set a time to present to his director team in the next 30 days,12/27/2024,31089875994
Dixie La Flair,"Mary T, Inc.",,Sales - Initial Communication,MN,Austin,132,10%,11/1/2025,,FedEx,1,"Spoke with Admin Heidi-plan to meet in two weeks
",12/27/2024,31085267560
Blaire Reed,New Horizons - The Ranch,,Sales - Contract Negotiation,TX,Austin,40,60%,3/1/2025,Local,Central Office,1,"Spoke with Lead Nurse Stacey 1/24. Checking in with Admin as nurse wants to move now

",12/27/2024,31085868605
AJ Forster,Skills Group,,Sales - Contract Negotiation,PA,NJ,57,70%,4/1/2025,"Mainline, Thompson, Good Day",Courier,16,"Spoke with COO. At this point he does not think he can review the contract for March Go Live. Is interested in April. 

",12/20/2024,30942428330
Dave Bezarro,Kennedy-Donovan Center,,Sales - Presentation,MA,MA,100,50%,6/1/2025,Pelmeds,Courier,20,Met with this group before.  Discussions lost some traction.  Look to reopen dialogue.,12/20/2024,30953725876
Dave Bezarro,"Delta Projects, Inc.",,Sales - Presentation,MA,MA,300,50%,6/1/2025,Pelmeds,Courier,70,Left vm for John.,12/20/2024,30951001263
Dave Bezarro,Charles River Center,,Sales - Presentation,MA,MA,175,50%,6/1/2025,Pelmeds,Courier,40,"Meeting scheduled for 1.28.25 with COO and Nursing staff, including VP of Residential Services.

",12/20/2024,30956372399
Adam Chittam,Vista Care - Part 2 - WI,VistaCare,Onboarding - In Progress,WI,IL,151,100%,1/1/2025,Retail,,20,Onboarding in Jan 1,8/27/2024,30789962081
AJ Forster,Arc of Ocean  Stratford Medical Group Home,,Onboarding - In Progress,NJ,NJ,5,100%,3/1/2025,Local,Courier,1,current customer will process through triage,12/12/2024,30508024586
AJ Forster,Arc of Ocean- Part 1,,Onboarding - In Progress,NJ,NJ,4,100%,3/1/2025,Local,Courier,1,Addition to current customer will process through triage,12/12/2024,30508024433
Dixie La Flair,Quality Living Systems,,Sales - Initial Communication,MI,Austin,55,10%,9/1/2025,Local Retail,FedEx,1,Initial Outreach-Invite,12/11/2024,30598526073
Deb Maloy,Rescare-Brightsprings-OH,,Sales - Initial Communication,OH,Austin,100,15%,12/1/2025,Pharmerica,Courier,15,Initial communication with ED and working to coordinate a date to present.,12/11/2024,30601763976
Dixie La Flair,Arrowhead House Foster Care,,Onboarding - In Progress,MN,Austin,16,100%,4/1/2025,Falk's,FedEx,1,"Contract signed for 4/1 Go live
",12/11/2024,30594190132
Deb Maloy,CRSI,,Sales - Initial Communication,OH,Austin,100,25%,8/1/2025,Resident Care,Courier,10,"Spoke to several contacts, trying to connect with DON, left message again 12/10/24.",12/10/2024,30632442438
Dixie La Flair,Winter Homes,,Sales - Initial Communication,MN,Austin,32,10%,8/1/2025,Genoa/Local Retail,FedEx,3,Met with Director McKayla and we will set up another presentation for her compliance manager - Kristi,12/11/2024,30597287582
Dixie La Flair,Prader-Willie Homes,,Sales - Initial Communication,WI,IL,44,10%,8/1/2025,Local Retail,FedEx,5,Initial Outreach-Invite,12/11/2024,30556237941
Deb Maloy,Help Foundation,,Sales - Inactive,OH,Austin,60,10%,12/1/2025,Accuscripts,Courier,5,Presentation 12/23/24,12/11/2024,30597287580
Deb Maloy,Center for Human Services,,Sales - Initial Communication,MO,IL,125,25%,9/1/2025,Multiple Local,Pick Up,20,"Spoke with Doug Nichting, Dir of Family and Community Services-sent email as follow up and seeking presentation date.",12/10/2024,30597444672
Dave Bezarro,Casa Esperanza,,Sales - Contract Negotiation,MA,MA,45,75%,3/1/2025,Unknown,Courier,2,"NP who oversees the two programs in question is out on a medical leave.  This explains the lack of response.

",12/10/2024,30594501813
Dixie La Flair,Able Inc,,Sales - Inactive,MN,Austin,20,10%,6/1/2025,Local Retail,FedEx,1,"zero responses
",12/11/2024,30591557469
Dixie La Flair,CCRI,,Sales - Initial Communication,MN,Austin,200,10%,10/1/2025,Local/Retail,FedEx,1,Initial outreach to ExD- await response to invitation& details,12/11/2024,30556237939
Deb Maloy,Dungarvin - OH (Dayton/Cincy),,Sales - Presentation,OH,Austin,40,25%,10/1/2025,Mullaney's,Courier,5,Discussion with Sara (SD) and Ashley in Dayton/cincy-working to set a date for presnetation with she and their Nurse Denise.,12/11/2024,30633213073
Deb Maloy,PALS Chrysalis,,Sales - Initial Communication,OH,Austin,40,25%,9/1/2025,Embrace,Courier,3,"Sent email as follow up to visit last week.

",12/10/2024,30598835724
Dixie La Flair,NeMCMH,,Sales - Initial Communication,MI,Austin,16,10%,8/1/2025,Local Retail,Fedex,1,Initial Outreach-Invite,,30597287578
Dixie La Flair,Share a Home,,Sales - Initial Communication,MN,Austin,20,10%,8/1/2025,Local Retail,FedEx,1,Initial outreach and invite-continued follow up,12/11/2024,30575921175
Dixie La Flair,Aurora Residential Alternatives,,Sales - Inactive,WI,IL,300,10%,7/1/2025,Local Retail,FedEx,5,"Will not change at this time
",12/11/2024,30553760629
Dixie La Flair,ACR,,Sales - Initial Communication,MN,Austin,184,10%,8/1/2025,Local Retail,Fedex,1,Initial outreach following up,12/11/2024,30553294173
Dixie La Flair,Opportunity Matters,,Sales - Inactive,MN,Austin,76,10%,7/1/2025,Local Retail,FedEx,1,"REMOVE-They are happy with their current pharmacy and have no plans to switch
",12/11/2024,30575921176
Dixie La Flair,Aldrich Boarding Home,,Sales - Inactive,MN,Austin,196,10%,6/1/2025,Falk's/Local Retail,FedEx,1,"Acquired by Dungarvin
",12/11/2024,30633059366
Dixie La Flair,Living Well Disability Services,,Sales - Inactive,MN,Austin,300,10%,6/1/2025,Geritom,FedEx,5,"Sticking with Geritom and being acquired by Hammer Residences following the board meeting (Upcoming)
",12/11/2024,30601611592
Dixie La Flair,Hope Network,,Sales - Initial Communication,MI,Austin,75,10%,9/1/2025,Pharmascript,FedEx,1,Initial Outreach-Invite,12/11/2024,30598526070
Dixie La Flair,Hammer & Nos Residences,,Sales - Inactive,MN,Austin,126,10%,7/1/2025,Local Retail,FedEx,2,"Staying with Geritom and aquiring Living Well Disability Services in the coming months after their board meets.
",12/11/2024,30597287579
Dixie La Flair,Expanding Horizons,,Sales - Initial Communication,MN,Austin,28,10%,8/1/2025,Local Retail,FedEx,1,Initial outreach and invite-continued follow up,12/11/2024,30578238537
Dave Bezarro,The Price Center,,Sales - Contract Negotiation,MA,MA,24,99%,3/1/2025,Unknown,Courier,6,"Met with Price Center.  Expecting state survey 2.10, 11 and 12.  Will begin service after survey complete.

",12/10/2024,30631511812
Holly DeRosett,Transitional Lifestyles Community - 2,,Onboarding - In Progress,NM,Austin,4,100%,12/1/2024,Pharmcare,,,Called Mike-in training and to return call.,8/16/2024,30081359769
Dave Bezarro,The New England Center for Children,,Sales - Contract Negotiation,MA,MA,121,99%,3/1/2025,Pelmed,Courier,1,Commercial insurance may prove to be not profitable enough to take this organization on.  Have offered a way forward via Marc,12/6/2024,30052617052
Dixie La Flair,Oakridge Homes & Woodview Support Services,,Sales - Initial Communication,MN,Austin,100,10%,10/1/2025,Safe Dose,FedEx,25,14 locations at Oakridge side/11 locations at Clarissa Side-Met with Michella A and we will set a date to present again with Brook and the leadership team,12/5/2024,30059481381
Holly DeRosett,Transitions,,Sales - Initial Communication,AZ,Austin,40,25%,4/1/2025,Varies,,,"Agency had water issues and were closed this week, following up with Crystal next week 

",12/5/2024,30048849762
Mary Pelletier,RMS- South and North Regions,RMS,Sales - Presentation,CT,CT,110,50%,7/1/2025,"Apex, Hancock",Courier,35,"DON meeting with Business team 1/17- discuss consolidation once west region is onboarded for 3/1.

",12/5/2024,30057629856
Holly DeRosett,Danville Community Sevices - Arizona,,Sales - Initial Communication,AZ,Austin,80,25%,6/1/2025,Varies,,,"Met with Jonas, he said that things have been hectic since the holidays. He has tasked his house managers to speak with the guardians. ",12/5/2024,30049469980
Deb Maloy,Caring Moore - Ashland,,Sales - Presentation,KY,Austin,27,75%,3/1/2025,Local,Courier,1,"Held presentation on 1/21/25. Interest and pushing from CM-Frankfort to go live 3/1. Working to make this happen.

",12/5/2024,30047993459
Chris Asaro,Russell Home,,Sales - Contract Negotiation,FL,FL,30,75%,5/1/2025,Guardian,Central,1,"Attended Lunch and Learn Orlando.  Setting up an initial discovery call. Met with DON and ED.  Very excited about pharmacy services.  Need to get the OK from Board (Board Meeting next week) then move forward. Sent contract to ED. Awaiting review.  
.",12/5/2024,30045430685
Mary Pelletier,Continuum of Care- Behavioral Health division,,Sales - Presentation,CT,CT,150,50%,6/1/2025,Suburban,Courier,40,"Part II Continuum- Behavioral health side is on paper, requires time to organize; consolidation is the goal. Mtg this week.
",12/5/2024,30046444645
Chris Asaro,Primrose Center,,Sales - Initial Communication,FL,FL,24,10%,5/1/2025,Guardian,Central,1,"Signed up for Lunch and Learn. Visted facility twice.  Connecting with Kristina Bubniak.  Phone tag. 
",12/5/2024,30058094395
Adam Chittam,Dawn of Hope,,Sales - Contract Negotiation,TN,Austin,49,70%,3/1/2025,McFarland's and Value,Central,1,"Great presentation, having contract drafted for a proposed go live of 3/1",12/6/2024,29941780603
Adam Chittam,Atlanta Secure Care,,Onboarding - In Progress,GA,GA,14,100%,1/1/2025,Need for Care Pharmacy,Courier,1,Had initial call and verbal on the same day.  Onboarding call was completed on Fri 11/29,1/1/2025,29714274474
Deb Maloy,Endless Options,,Sales - Initial Communication,MO,IL,12,15%,11/1/2025,Sam's,Courier,1,"Starling Conference attendee, spoke following and working to set date for presentation.",11/26/2024,29705620626
Blaire Reed,Kenmar,,Sales - Initial Communication,TX,Austin,20,10%,5/1/2025,Emmonds,Central Office,1,Connected at TX AAIDD. Spoke with VP of Ops Bernadette to follow up. Called and left vm.,11/29/2024,29687876667
Dixie La Flair,The Quilan Home,,Sales - Initial Communication,MN,Austin,58,10%,10/1/2025,Pharmerica,FedEx,1,Spoke with Becky Jennings-Met with new ED/Nick.  There are 5 locations.  Wants to set up another presentation for his counterpart for the other houses/IFC,11/28/2024,29681278858
Blaire Reed,The Harris Center,,Sales - Initial Communication,TX,Austin,24,10%,5/1/2025,Oasis Pharmacy,3 ICF Homes,3,"Moving back to initial communication as no contact from facility

",11/29/2024,29705929543
Blaire Reed,Tropical Texas Behavioral Health,,Sales - Initial Communication,TX,Austin,25,10%,5/1/2025,Genoa,Central office,1,"Sent emails and called different local contacts
",11/29/2024,29706088487
Deb Maloy,Arc of LaGrange County,,Sales - Initial Communication,IN,Austin,50,15%,7/1/2025,Miller's,Courier,1,"Called as follow up to end of year for presentation date, will be in area week of January 13th and look forward to connecting with her and the nurses.",11/26/2024,29707003405
AJ Forster,YAI - NJ Part 3,YAI/NIPD,Onboarding - In Progress,NJ,NJ,7,100%,1/1/2025,Retail,Deliver-to-home,7,Data received. All set for January Go live. No on-boarding call. Current customer,11/21/2024,29642838107
Holly DeRosett,Meaningful Life Behavioral,,Sales - Initial Communication,AZ,Austin,27,10%,5/1/2025,unknown,,,"Dyllan had a couple of meetings come up, needed to reschedule meeting for next Thursday the 30th. 

",11/22/2024,29634892916
Deb Maloy,Sevita - MO,Sevita,Sales - Initial Communication,MO,IL,50,35%,8/1/2025,Eversprings,Courier,5,"Met at Starling conference, called as follow up, working to coordinate presentation.",11/21/2024,29632279719
Holly DeRosett,Los Lunos,,Sales - Initial Communication,NM,Austin,70,10%,5/1/2025,RX Innovations,Main Office,,"Completed intial presentation. Kent likes our capabilities however they are not struggling with current provider will keep tabs, and Ken is to check contract terms.",11/22/2024,29637779091
Mary Pelletier,Brian House,,Sales - Initial Communication,CT,CT,50,15%,5/1/2025,Suburban,Courier,10,Invitation to lunch & Learn- in January- await date that works,11/22/2024,29635766587
