Name,Address,City,State ,Zip,Services,Phone,Counties Served
Rescare Community living - Garden City Kansas,2102 E Spruce,Garden City,KS,67846,GH,(620) 271-0176,"Finney, Garden City, Grant, Greeley, Hamilton, Haskell, Kearny, Lane, Morton, Scott, Seward, Stanton, Stevens"
ResCare Community Living - Goodland Kansas,208 W 2nd St ,Goodland,KS,67735,GH,(785) 899-2322,"Cheyenne, Decatur, Ellis, Gove, Graham, Logan, Norton, Osborne, Phillips, Rooks, Rawling, Russell, Sheridan, Sherman, Smith, Thomas, Trego, Wallace"
ResCare Community Living - Great Bend Kansas,2317 Washington St,Great Bend,KS,67835,GH,(620) 793-8501,"Barton, Great Bend, Pawnee, Rush, Stafford"
ResCare Community Living - Kansas City Kansas,5031 Matney Ave,Kansas City,KS,66106,GH,(913) 722-9419,"Johnson, Kansas City, Wyandotte"
ResCare Community Living- Liberal Kansas,2281 N Grant,Liberal,KS,67901,GH,(620) 624-5117,"Finney, Grant, Greeley, Hamilton, Haskell, Kearny, Lane, Liberal, Morton, Seward, Scott, Stanton, Stevens, Wichita"
ResCare Community Living - Manhattan Kansas,809 Levee Drive,Manhattan,KS,66502,GH,(785) 587-1857,"Manhattan, Pottawatomie, Riley"
ResCare Community Living - Newton Kansas,700 E 14th St ,Newton,KS,67114,GH,(316) 283-5170,"Harvey, Marion, Newton"
ResCare Community Living - Overland Park Kansas,6400 Glenwood Street Suite 230 Building 4,Overland Park,KS,66202,GH/ HH,(913) 722-9419 ,"Johnson, Leavenworth, Overland Park, Shawnee, Wyandotte; Missouri Host Homes - Jackson, MO and Kansas City, MO"
ResCare Community Living - Parsons Kansas,1772 24000 Rd,Parsons,KS,67357,GH/ HH,(620) 421-2454,"Cherokee, Crawford, Labette, Neosho, Parsons; Missouri Host Homes - Greene, MO, Jasper, MO, Newton, MO"
ResCare Community Living - Salina Kansas,2100 South 9th St Suite E & F ,Salina,KS,67401,GH,(785) 515- 2750,Salina
ResCare Community Living - Wichita Kansas,5112 E 36th Street N ,Wichita,KS,67037,GH/ HH,(316) 651-2585,"Cowley, Harvey, Marion, McPherson, Riley, Sedgwick, Sumner, Wichita"
ResCare Community Living - Winfield Kansas,317 Viking Boulevard,Winfield,KS,67156,GH/ HH,(620) 221-4112,"Cowley, Sumner, Winfield"
"ResCare Community Living - Outwood (Dawson Springs, KY)",23524 Dawson Springs Rd,Dawson Springs,KY,42408,ICF,(270) 797-3771,"Caldwell, Hopkins"
ResCare Community Living - Baton Rouge Louisiana,215 Ocean Ave,Baton Rouge,LA,70806,ICF,(225) 233-2731 ,"East Baton Rouge, West Baton Rouge, East Feliciana, West Feliciana, Livingston, Point Coupee"
ResCare Community Living - Lafayette Louisiana,103 Exchange Place,Lafayette,LA,70503,GH/ ICF,(337) 233-2731,"Iberia, St. Landry, St. Martin, St. Mary"
ResCare Community Living - Lake Charles Louisiana,643 Petro Point Dr,Lake Charles,LA,70607,GH/ ICF,(337) 279- 2120,"Beaurguarde, Calcasieu, Jefferson Davis"
ResCare Community Living - Mandeville Louisiana,800 N Causeway Blvd Suite 1-C,Mandeville,LA,70448,GH/ ICF,(985) 674-4177,"Ascension, East Baton Rouge, East Feliciana, Iberville, Jefferson, Lafourche, Livingston, New Orleans, Pointe Coupee, St. Charles, St. Helena, St. Tammany, Tangipahoa, Terrebone, Washington, West Baton Rouge, West Feliciana"
ResCare Community Living - Greenbelt Maryland,6411 Ivy Lane Suite 330,Greenbelt,MD,20770,GH,(301) 459-2702,"Charles, Howard, Prince George's"
ResCare Community Living - Saginaw Michigan,6185 Tittabawassee Rd St 1-A,Saginaw,MI,48603,GH,(989) 791-7174,"Battle Creek, Calhoun, Genesee, Lapeer, Livingston, Oakland, Saginaw, Sanilac, Shiawassee, St. Clair, Summit Point, West Michigan"
ResCare Community Living - Woodbury Minnesota,2042 Wooddale Dr Suite 190,Woodbury,MN,55125,GH,(651) 501-2378,"Anoka, Dakota, Hennepin, Ramsey, Washington"
ResCare Community Living - St. Louis Missouri,1001 Craig Rd Suite 100,Creve Couer,MO,63146,GH/ HH,(314) 965-1307,"Cole, Jefferson, Marion, Ralls, St. Charles, St. Louis County"
Community Alternatives Nebraska - Lincoln,220 Oakcreek Dr,Linoln,NE,68528,GH/ HH,(402) 476-2000,Lancaster
Educare Community Living - Las Vegas Nevada,1050 E Flamingo Rd W - 251,Las Vegas,NV,89119,GH/ ICF,(702) 880-0961,"Clark, Washoe"
ResCare Community Living - Mt Laurel New Jersey,1001 Briggs Rd Suite 200,Mt Laurel,New Jersey,8054,GH,(856) 608- 8761,"Atlantic, Burlington, Camden, Cumberland, Mercer, Middlesex, Ocean"
Community Alternatives of North Carolina - Asheville,217 Executive Park,Asheville,NC,28801,GH/ HH,(828) 575- 9802,"Buncombe, Haywood, Henderson, Madison, McDowell, Polk, Transylvania"
Community Alternatives of North Carolina - Boone,170 Hidden Shadows Drive,Boone,NC,28607,HH,(828) 575- 9802,"Alleghany, Ashe, Avery, Watauga"
Community Alternatives of North Carolina - Burnsville,1049 US Highway 19E ,Burnsville,NC,28714,GH/ HH,(828) 575-9802,"Mitchell, Yancey"
Community Alternatives of North Carolina - Charlotte,818 Tyvola Rd Suite 104,Charlotte ,NC,28217,GH/ HH/ ICF,(704) 519- 0077,"Anson, Cabarrus, Hoke, Mecklenburg, Montgomery, Moore, Richmond, Rowan, Scotland, Stanly, Union"
Community Alternatives of North Carolina - Conover,301 10th Street NW Suite B-101,Conover,NC,28613,GH/ HH/ ICF,(828) 466-6023,"Alexander, Caldwell, Catawba, Cleveland, Gaston, Iredell, Lincoln, Surry"
Community Alternatives of North Carolina - Morgantown,617 S Green Street Suite 201 ,Morgantown,NC,28655,HH,(828) 575-9802,"Burke, Caldwell"
Community Alternatives of North Carolina - Raleigh,1001 Navaho Dr Suite 101,Raleigh,NC,27609,GH/ HH/ ICF,(919) 387-1011,"Beaufort, Bertie, Bladen, Brunswick, Camden, Carteret, Chowan, Columbus, Craven, Cumberland, Currituck, Dare, Duplin, Durham, Edgecombe, Gates, Granville, Greene, Halifax, Harnett, Hertford, Hyde, Johnston, Jones, Lee, Lenoir, Martin, Nash, New Hanover, Northampton, Onslow, Orange, Pamlico, Pasquotank, Pender, Perquimans, Pitt, Robeson, Sampson, Tyrrell, Vance, Wake, Warren, Washington, Wayne, Wilson"
Community Alternatives of North Carolina - Roanoke Rapids,24 E 10th Street,Roanoke Rapids,NC,27870,GH/ HH/ ICF,(252) 308-0051,"Beaufort, Bertie, Chowan, Columbus, Craven, Currituck, Dare, Duplin, Gates, Granville, Halifax, Hertford, Hyde, Martin, Northampton, Pamlico, Pasquotank, Perquimans, Tyrrell, Vance, Warren, Washington"
Community Alternatives of North Carolina - Rocky Mount,3032 Zebulon Road,Rocky Mount,NC,27804,GH/ HH/ ICF,(252) 446- 1965,"Beaufort, Bertie, Bladen, Brunswick, Camden, Carteret, Chowan, Columbus, Craven, Cumberland, Currituck, Dare, Duplin, Durham, Edgecombe, Gates, Granville, Greene, Halifax, Harnett, Hertford, Hyde, Johnston, Jones, Lee, Lenoir, Martin, Nash, New Hanover, Northampton, Onslow, Orange, Pamlico, Pasquotank, Pender, Perquimans, Pitt, Robeson, Sampson, Tyrrell, Vance, Wake, Warren, Washington, Wayne, Wilson"
Community Alternatives of North Carolina - Shelby,1165 County Home Road,Shelby,NC,28152,HH,(828) 575-9802,"Cleveland, Rutherford"
Community Alternatives of North Carolina - Sylva,42 Asheville Highway ,Sylva,NC,28779,HH,(828) 575-9802,"Cherokee, Clay, Franklin, Graham, Jackson, Macon, Swain"
Community Alternatives of North Carolina - Wilkesboro,1002 Spring Street,Wilkesboro,NC,28659,GH/ HH/ ICF,(828) 575-9802,"Wilkes, Yadkin"
Community Alternatives of North Carolina - Winston - Salem,1551 Westbrook Plaza Dr Suite 90,Winston- Salem,NC,27103,GH/ HH/ ICF,(336) 794-9365,"Alamance, Caswell, Chatham, Davidson, Davie, Forsyth, Guilford, Orange, Person, Randolph, Rockingham, Stokes"
Community Alternatives of North Carolina - Winterville,113 W Fire Tower Road Suite N,Winterville,NC,27609,HH,(252) 353-2012,"Beaufort, Bertie, Bladen, Brunswick, Camden, Carteret, Chowan, Columbus, Craven, Cumberland, Currituck, Dare, Duplin, Edgecombe, Greene, Halifax, Hertford, Hyde, Johnston, Jones, Lenoir, Martin, Nash, New Hanover, Northampton, Onslow, Pamlico, Pasquotank, Pender, Perquimans, Pitt, Tyrrell, Warren, Washington, Wayne, Wilson"
ResCare Community Living - Canton Ohio,3969 Convenience Circle NW,Canton,OH,44718,GH/ ICF,(330) 479-7131,"Cuyahoga, Geauga, Portage Lakes, Stark"
ResCare Community Living - Columbus Ohio,2600 Corporate Exchange Dr Suite 170,Columbus,OH,43231,GH/ ICF,(614) 880- 3002,"Franklin, Madison, Knox, Marion, Morrow"
ResCare Community Living - Gallipolis Ohio,240 3rd Ave ,Gallipolis,OH,45631,GH/ ICF,(740) 446-7549,"Athens, Gallia, Jackson, Lawrence, Meigs, Pike, Ross, Scioto, Vinton, Washington"
ResCare Community Living - St Clairsville Ohio,670510 Executive Dr,St. Clairsville,OH,43950,GH/ ICF,(740) 695- 4931,"Belmont, Carroll, Guernsey, Harrison, Jefferson, Monroe, Noble"
ResCare Community Living - Elyria Ohio,1202 E Broad Street,Elyria,OH,44135,GH/ ICF,(440) 366- 9959,"Lorain, Erie, Sandusky, Medina, Cuyahoga, Ashland, Allen, Lucas, Wood, Putnam, Seneca"
Brightway Community Living - Enid Oklahoma,2309 N 10th Street Suite C ,Enid,OK,73701,GH,(580) 234- 8713,"Garfield, Noble"
Brightway Community Living - Oklahoma City Oklahoma ,4417 SW 21 Street,Oklahoma City,OK,73108,GH,(405) 680- 4909,"Blaine, Caddo, Canadian, Cleveland, Grady, Kingfisher, Lincoln, Logan, Oklahoma"
Brightway Community Living - Shawnee Oklahoma,3719 N Harrison Avenue,Shawnee,OK,74804,HH,(405) 876- 7704,"Garvin, Pontotoc, Pottawatomie, Seminole"
Brightway Community Living - Tahlequah Oklahoma,1009 S Muskogee,Tahlequah,OK,74464,HH,(918) 207- 0639,"Adair, Cherokee, Mayes, Muskogee"
Brightway Community Living - Tulsa Oklahoma,1601 S Main Suite 400,Tulsa,OK,74119,HH,(918) 592- 3888,"Creek, Okfuskee, Osage, Pawnee, Payne, Rogers, Tulsa, Wagoner"
Educare Community Living - Arlington Texas,701 Directors Drive,Arlington,TX,76011,GH/ HH/ ICF,(817) 640- 3316,"Dallas, Johnson, Tarrant"
Educare Community Living - Denton Texas,3600 E McKinney Street Suite 100,Denton,TX,76209,GH/ HH/ ICF,(940) 380- 0113,"Collin, Cooke, Dallas, Denton, Hunt, Lamar, Rockwall, Tarrant, Wichita Falls, Wise"
ResCare Community Living - Austin Texas,1611 Headway Circle Building 2,Austin,TX,78754,GH/ HH/ ICF,(512) 454- 3795,"Bastrop, Bosque, Brazos, Burleson, Burnet, Caldwell, Falls, Fayette, Freestone, Gonzales, Grimes, Guadalupe, Hill, Lee, Leon, Limestone, Madison, McLennan, Robertson, Travis, Washington, Williamson"
ResCare Community Living - Brownwood Texas,1 Center Ave PO Box 1388,Brownwood,TX,76801,GH/ HH/ ICF,(325) 646- 9531,"Archer, Baylor, Brown, Callahan, Childress, Clay, Coleman, Comanche, Cottle, Dickens, Eastland, Erath, Foard, Hardeman, Haskell, Jack, Jones, King, Knox, McCulloch, Mills, Montague, Palo Pinto, San Saba, Shackelford, Somervell, Stephens, Stonewall, Tarrant, Taylor, Throckmorton, Wichita, Wilbarger, Wise, Young"
ResCare Community Living - Corpus Christi Texas,5277 Old Brownsville Rd Suite 100,Corpus Christi,TX,78405,GH/ HH/ ICF,(361) 814- 8757,"Angelina, Beaumont, Corpus Christi, Hardin, Harlingen, Jefferson, Lufkin, Orange"
ResCare Community Living - Corsicana Texas,4517 W State Hwy 31,Corsicana,TX,75110,GH/ HH/ ICF,(903) 874- 6543,"Anderson, Bell, Dallas, Denton, Ellis, Freestone, Gregg, Kaufman, Tarrant"
ResCare Community Living - Houston Texas,600 Sam Houston Parkway W Suite 300,Houston,TX,77067,GH/ HH/ ICF ,(713) 849- 6603,"Conroe, Houston, West Columbia"
ResCare Community Living - Lubbock Texas,4601 S Loop 289 Suite 29,Lubbock,TX,79424,GH/ HH/ ICF,(806) 792- 2100,"Armstrong, Bailey, Briscoe, Carson, Castro, Childress, Cochran, Collingsworth, Cottle, Crosby, Dallam, Deaf Smith, Dickens, Donley, Floyd, Garza, Gray, Hale, Hall, Hansford, Hartley, Hemphill, Hockley, Hutchinson, King, Lamb, Lipscomb, Lubbock, Lynn, Moore, Motley, Ochiltree, Oldham, Parmer, Potter, Randall, Roberts, Sherman, Swisher, Terry, Wheeler, Yoakum"
ResCare Community Living - San Angelo Texas,3322 W Loop 306,San Angelo ,TX,76904,GH/ HH,(325) 942- 8050,"Big Spring, El Paso, Fort Stockton, Midland, Odessa, San Angelo, Van Horn"
ResCare Community Living - San Antonio Texas,3700 Belgium Lane,San Antonio,TX,78219,HH/ ICF,(210) 979-7009,"Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, Wilson"
ResCare Commuity Living - Abilene Texas,749 Gateway Suite 202- B,Abilene,TX,79602,GH/ HH/ ICF,(325) 676- 1473,"Taylor, Jones, Shackelford, Haskell, Stonewall, Throckmorton, Nolan, Fisher"
ResCare Community Living - Amarillo Texas,5700 Enterprise Circle 111,Amarillo,TX,79106,GH/ HH/ ICF,(806) 356-8416,"Swisher, Deaf Smith, Randall, Armstrong, Donley, Collingsworth, Oldham, Potter, Carson, Gray, Wheeler, Hartley, Moore, Hutchinson, Roberts, Hemphill, Dallam, Sherman, Hansford, Ochiltree, Lipscomb"
ResCare Community Living - Beaumont Texas,3610 Stagg Drive Suite A,Beaumont,TX,77701,GH/ HH/ ICF,(409) 842- 0779,"Hardin, Orange, Jefferson"
ResCare Community Living - Eastland Texas,410 S Mulberry Street,Eastland,TX,76448,GH/ HH/ ICF,(254) 629- 2624,"Eastland, Erath, Palo Pinto, Stephens, Young"
ResCare Community Living - El Paso Texas,1605 George Dieter Suite 100 ,El Paso ,TX,79936,GH/ HH/ ICF,(915) 590- 1326,"Yoakum, Terry, Garza, Kent, Gaines, Dawson, Borden, Scurry, Fisher, Andrews, Martin, Howard, Mitchell, Nolan, Loving, Winkler, Ector, Midland, Glassock, Sterling, Coke, Runnels, Ward, Crane, Upton, Reagan, Irion, Tom Green, Concho, Crockett, Terrell, Brewster, Presidio, Jeff Davis, Reeves, Culberson, Hudspeth, El Paso"
ResCare Community Living - Harlingen Texas,1401 N 28th Street ,Harlingen,TX,78550,GH/ HH/ ICF,(956) 428- 0371,Cameron Hidalgo
ResCare Community Living - Longview Texas,1036 B Woodbine Place,Longview ,TX,75601,GH/ HH/ ICF,(903) 753-8063,"Gregg, Harrison, Marion, Upshur, Wood, Smith, Rusk, Panola, Shelby, Nacogdoches, Cherokee, San Augustine, Sabine"
ResCare Community Living - Paris Texas,2131 Clarksville Street,Paris,TX,75460,GH/ HH/ ICF,(903) 737- 0602,"Lamar, Fannin, Red River, Bowie, Cass, Camp, Morris, Titus, Franklin, Hopkins, Delta, Marion, Harrison"
ResCare Community Living- Temple Texas,2828 Cottonwood Lane,Temple,TX,76502,GH/ HH/ ICF,(254) 773- 8454,"Lampasas, Coryell, Hamilton, Bosque, Bell, Falls, McLeman, Hill, Limestone, Robertson, Leon"
Blue Ridge Residential Services - Forest ,2201 C Graves Mill Rd,Forest ,VA,24551,HH,(434) 316- 9112,"Accomack, Chesapeake City, Hampton City, Hopewell City, Isle Of Wight, James City, King And Queen, Newport News City, Norfolk City, Northampton, Poquoson City, Portsmouth City, Suffolk City, Virginia Beach City, Williamsburg City, York, Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Bristol City, Buchanan, Buckingham, Buena Vista City, Campbell, Caroline, Carroll, Charles City, Charlotte, Charlottesville City, Covington City, Craig, Danville City, Dickenson, Dinwiddie, Giles, Grayson, Greene, Greensville, Halifax, Henry, Highland, Lee, Lexington City, Louisa, Lunenburg, Lynchburg City, Madison, Manassas City, Manassas Park City, Martinsville City, Mecklenburg, Montgomery, Nelson, Patrick, Pittsylvania, Powhatan, Prince Edward, Pulaski, Radford, Roanoke, Roanoke City, Rockbridge, Russell, Salem, Scott, Shenandoah, Smyth, Staunton City, Tazewell, Washington, Waynesboro City, Wise, Wythe, Alexandria City, Amelia, Arlington, Brunswick, Chesterfield, Clarke, Colonial Heights City, Culpeper, Cumberland, Emporia City, Essex, Fairfax, Fairfax City, Falls Church City, Fauquier, Floyd, Fluvanna, Franklin, Franklin City, Frederick, Fredericksburg City, Galax City, Gloucester, Goochland, Hanover, Harrisonburg City, Henrico, King George, King William, Lancaster, Loudoun, Mathews, Mecklenburg, Middlesex, New Kent, Newport News City, Northumberland, Norton City, Nottoway, Orange, Page, Petersburg City, Prince George, Prince William, Rappahannock, Richmond, Richmond City, Rockingham, Southampton, Spotsylvania, Stafford, Surry, Sussex, Warren, Westmoreland, Winchester City, Fairfax"
Blue Ridge Residential Services - Norfolk,6330 N Center Drive Building 13 Suite 100,Norfolk,VA,23502,HH,(757) 499- 4466,"Accomack, Chesapeake city, Hampton city, Isle Of Wight, James city, King And Queen, Newport News city, Norfolk city, Northampton, Poquoson city, Portsmouth city, Suffolk city, Virginia Beach city, Williamsburg city"
Blue Ridge Residential Services - Richmond & Northern Virginia ,2701 Emerywood Parkway Suite 102,Richmond,VA,23294,HH,(434) 316- 9112,"Alexandria city, Amelia, Arlington, Brunswick, Chesterfield, Clarke, Colonial Heights city, Culpepper, Cumberland, Emporia city, Essex, Fairfax, Fairfax city, Falls Church city, Fauquier, Fluvanna, Franklin, Frederick, Fredericksburg city, Galax city, Gloucester, Goochland, Hanover, Harrisonburg city, Henrico, Hopewell city, King George, King William, Lancaster, Loudoun, Mathews, Mecklenburg, Middlesex, New Kent, Northumberland, Norton city, Nottoway, Orange, Page, Petersburg city, Prince George, Prince William, Rappahannock, Richmond, Richmond city, Rockingham, Southampton, Spotsylvania, Stafford, Surry, Sussex, Warren, Westmoreland, Winchester city"
Creative Living Services - Puyallup Washington,1011 E Main Suite 304,Puyallup,WA,98372,GH,(253) 840- 2525,Pierce
Creative Living Services - Seattle Washington,2611 NE 125th Street Suite 100-A,Seattle,WA,98125,GH,(206) 286- 9002,"King, Snohomish"
Creative Living Services - Spokane Washington,901 E 2nd Ave Suite 301,Spokane,WA,99202,GH,(509) 532- 8702,Spokane 
ResCare Community Living - Buckhannon West Virginia ,86 E Main Street Suite B,Buckhannon,WV,26201,GH/ ICF,(304) 472- 4227,"Barbour, Randolph, Upshur"
ResCare Community Living - Clarksburg West Virginia ,105 Platinum Dr ,Bridgeport,WV,26330,GH/ ICF,(304) 622- 0033,"Harrison, Marion, Taylor, Monongalia, Preston"
ResCare Community Living - Logan/ Boone Agency,1103 George Kostas Drive Suite 225,Logan,WV,25601,GH/ ICF,(304) 792- 1111,"Boone, Lincoln, Logan, Mingo, Wyoming"
ResCare Community Living - Martinsburg West Virginia ,525 Winchester Ave ,Martinsburg,WV,25404,GH/ ICF,(304) 260- 8820,"Berkeley, Grant, Hampshire, Hardy, Mineral, Pendleton"
ResCare Community Living - Parkersburg West Virginia ,3702 Camden Ave,Parkersburg,WV,26101,GH/ ICF,(304) 485- 6405,"Jackson, Pleasants, Ritchie, Wood"
ResCare Community Living - Princeton West Virginia,712 Mercer Street,Princeton,WV,24740,GH/ ICF,(304) 431- 3533,"Mercer, Mcdowell, Monroe, Summers"
ResCare Community Living - Ronceverte West Virginia,248 Red Oaks Shopping Center,Ronceverte,WV,24970,ICF,(304) 645- 6226,"Greenbrier, Monroe, Nicholas, Pocahontas, Summers, Webster"
ResCare Community Living - Scott Depot West Virginia,10401 Teays Valley Road Suite 2-A ,Scott Depot,WV,25560,GH/ ICF,(304) 342-5839,Kanawha
Community Advantage - Greeley Colorado,1610 29th Ave Place Suite 201,Greeley,CO,80634,HH,(303) 772- 9103,"Arvada, Boulder, Broomfield, Castle Rock, Colorado Springs, Erie, Lafayette, Lakewood, Larimer, Littleton, Longmont, Louisville, Parker, Superior,Weld, Westminster, Wheat Ridge"
