name,organization,address,city,state,zip,county,beds,category,type,total_bed_count,total_resident_count,icf_idd,license_number
"L & J Homes, Inc.-Richmond Avenue","L & J Homes, Inc.",PO Box 2273,Burlington,NC,27215,Alamance,2,IID,Residential,2,2,FALSE,MHL-001-106
Triad Health Care 1,Byron White,P.O. Box 3334,Burlington,NC,27215,Alamance,4,IID,Residential,4,2,FALSE,MHL-001-107
Curry's Haven,Todd Lewis Curry,2482 Adams Farm Court,Snow Camp,NC,27349,Alamance,2,MI,Residential,2,1,FALSE,MHL-001-119
Triad Healthcare Services 2,Byron White,P.O. Box 3334,Burlington,NC,27215,Alamance,6,IID,Residential,6,6,FALSE,MHL-001-124
Pamela A. Talley,Pamela A. Talley,1205 Bethpage Drive,Mebane,NC,27302,Alamance,3,MI,Residential,3,0,FALSE,MHL-001-128
Dee & G Enrichment #2,Clara Yancey and Cherry Crisp,PO Box 2073,Burlington,NC,27216,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-131
Dee & G Enrichment Center #3,Clara S. Yancey,1804 Harris Drive,Burlington,NC,27217,Alamance,3,MI,Residential,3,3,FALSE,MHL-001-132
Falcon Crest Residential Care 2,Falcon Crest Residential Care Inc.,PO Box 1670,Mebane,NC,27302,Alamance,4,MI,Residential,4,4,FALSE,MHL-001-141
L & J Homes -Apple Street,"L & J Homes, Inc.",PO Box 2273,Burlington,NC,27217,Alamance,3,IID,Residential,3,3,FALSE,MHL-001-142
Restorations,"Genesis Residential Care Center, LLC",PO Box 1966,Burlington,NC,27216,Alamance,3,IID,Residential,3,2,FALSE,MHL-001-148
Just In Time Youth Services,Just In Time Youth Services,PO Box 2162,Burlington,NC,27216,Alamance,4,MI,Residential,4,3,FALSE,MHL-001-149
"Youth Builders, LLC","Youth Builders, LLC",PO Box 247,Hillsborough,NC,27278,Alamance,4,MI,Residential,4,4,FALSE,MHL-001-150
"New Possibilities Home For Children, LLC","New Possibilities Home for Children, LLC",PO BOX 591,Burlington,NC,27216,Alamance,4,MI,Residential,4,4,FALSE,MHL-001-155
Lillies Place,Cherry S. Crisp,1804 Harris Drive,Burlington,NC,27215,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-156
All God's Children of Burlington,"All God's Children of Burlington, LLC",325 N. Sellars Mill Road,Burlington,NC,27217,Alamance,4,MI,Residential,4,4,FALSE,MHL-001-162
"New Dimensions Interventions, Inc.","New Dimensions Interventions, Inc.",433 Rauhut st,Burlington,NC,27217,Alamance,4,MI,Residential,4,2,FALSE,MHL-001-164
"New Dimensions Interventions, Inc.","New Dimensions Intervention, Inc.",433 Rauhut st,burlington,NC,27217,Alamance,5,MI,Residential,5,4,FALSE,MHL-001-165
Just In Time Youth Services II,Just In Time Youth Services,P.O. Box 2162,Burlington,NC,27216,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-169
"The Sharpe Road Adult Home Care, LLC","The Sharpe Road Adult Home Care, LLC",PO Box 188,Haw River,NC,27258,Alamance,5,MI,Residential,5,5,FALSE,MHL-001-173
"Blackwell's Community Living, LLC","Blackwell's Community Living, LLC",PO Box 262,Pleasant Garden,NC,27313,Alamance,4,IID,Residential,4,4,FALSE,MHL-001-184
Ceesons of Change,"Ceesons of Change, LLC",PO Box 1553,Burlington,NC,27216,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-187
Vision II,"Vision of Therapeutic Development, Inc.",PO Box 1223,Mebane,NC,27302,Alamance,6,MI,Residential,6,4,FALSE,MHL-001-195
Life Cycles Residenital Facility Level III,"Solutions Community Support Agency, LLC","236 N Mebane St., Ste 101",Burlington,NC,27217,Alamance,4,MI,Residential,4,3,FALSE,MHL-001-200
Enoch Group Home,Garnetta Enoch,P.O. Box 3624,Burlington,NC,27215,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-207
Alamance Homes,Timmy Rogers and Jan Simpson Rogers,1806 Jeffries Cross Road,Burlington,NC,27217,Alamance,6,MI,Residential,6,4,FALSE,MHL-001-215
Richmond Place,"Rouse's Group Home II, Inc.",P.O. Box 327,Stoneville,NC,27048,Alamance,3,IID,Residential,3,0,FALSE,MHL-001-216
Wicker Street Group Home,"Green Valley Haven, LLC",PO Box 981,Haw River,NC,27217,Alamance,4,IID,Residential,4,0,FALSE,MHL-001-217
Life Cycles Residential Facility,"Solutions Community Support Agency, LLC","236 N. Mebane St., Ste. 101",Burlington,NC,27217,Alamance,4,MI,Residential,4,4,FALSE,MHL-001-218
Green Valley Haven,"Green Valley Haven, LLC",PO Box 981,Haw River,NC,27258,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-220
New Beginnings Group Home,Murphy's Group Home LLC,326 Baldwin Rd,Burlington,NC,27217,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-224
"Changing Lives Family Care Home, LLC","Changing Lives Family Care Home, LLC",823 Day Street,Burlington,NC,27217,Alamance,5,MI,Residential,5,5,FALSE,MHL-001-232
Alamance Homes II,"Alamance Home, LLC",1806 Jeffries Cross Road,Burlington,NC,27217,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-237
Quality Care First Inc.,Quality Care First Inc.,818 Avon Avenue,Burlington,NC,27215,Alamance,3,MI,Residential,3,3,FALSE,MHL-001-239
Mallard Creek AFL,"Universal Mental Health Services, Inc.",839 Wilkesboro Boulevard,Lenoir,NC,28645,Alamance,2,MI,Residential,2,2,FALSE,MHL-001-250
Lillies Place #2,"Lillies Place #2, Inc.",121 Hazel Drive,Burlington,NC,27217,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-251
Just In Time Youth Services,Just In Time Youth Services,PO Box 2162,Burlington,NC,27216,Alamance,4,IID,Residential,4,0,FALSE,MHL-001-253
Adrienne Bigelow AFL,"Universal Mental Health Services, Inc.",839 Wilkesboro Blvd,Lenoir,NC,28645,Alamance,2,IID,Residential,2,2,FALSE,MHL-001-254
"R & S Independent Health Services, Inc.","R & S Independent Health Services, Inc.",1950 Bramblewood Trail,Pfafftown,NC,27040,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-256
House of Hope,Gwendolyn C. Mebane,PO Box 2,Mebane,NC,27302,Alamance,6,IID,Residential,6,6,FALSE,MHL-001-260
Legacy Living Center,Legacy Living Center,215 W Ruffin St,burlington,NC,27217,Alamance,5,MI,Residential,5,5,FALSE,MHL-001-263
Turning Point,"Creative Directions, Inc.",1878 Abernathy Trail,Burlington,NC,27215,Alamance,6,IID,Residential,6,6,FALSE,MHL-001-264
Home Sweet Home #1,Garnetta Enoch McAdams,PO Box 2554,Burlington,NC,27217,Alamance,4,IID,Residential,4,4,FALSE,MHL-001-267
"Always Love Group Home, LLC","Always Love Group Home, LLC",PO Box 2554,Burlington,NC,27216,Alamance,4,MI,Residential,4,4,FALSE,MHL-001-268
"House of Care, Inc.","House of Care, Inc.","3500 Westgate Drive, Suite 103",Durham,NC,27707,Alamance,3,MD,Residential,3,2,FALSE,MHL-001-270
Creatively Renewed Living,"Creatively Renewed Living, LLC",1006 Richmond Avenue,Burlington,NC,27217,Alamance,6,MI,Residential,6,5,FALSE,MHL-001-275
"Paul's Loving Care, Inc. II","Paul's Loving Care, Inc.",1114 Shaw Street,Burlington,NC,27217,Alamance,6,MI,Residential,6,5,FALSE,MHL-001-276
"Abundant Care Homes, LLC","Abundant Care Homes, LLC",PO Box 2554,Burlington,NC,27217,Alamance,6,IID,Residential,6,0,FALSE,MHL-001-277
"House of Love of Alamance, Co.","House of Love of Alamance, Co",PO Box 2,Mebane,NC,27302,Alamance,3,MD,Residential,3,0,FALSE,MHL-001-278
House of Hope II,House of Hope II LLC,PO Box 2,Mebane,NC,27302,Alamance,2,MD,Residential,2,0,FALSE,MHL-001-279
A Mother's Love,A Mother's Love L.L.C.,1227 Westmoreland Drive,Burlington,NC,27217,Alamance,4,MI,Residential,4,4,FALSE,MHL-001-281
Turning Point Women's Facility,"Creative Directions, Inc",PO Box 1029,Burlington,NC,27216,Alamance,6,IID,Residential,6,0,FALSE,MHL-001-284
Little River Group Home,"ComServ, Inc.",P.O. Box 1080,Lenoir,NC,28645,Alexander,6,IID,Residential,6,6,TRUE,MHL-002-005
VOCA-Second Avenue Group Home,VOCA Corporation of North Carolina,"301 10th Street NW, Ste B-101",Conover,NC,28613,Alexander,6,IID,Residential,6,6,TRUE,MHL-002-007
Ellendale Group Home,"ComServ, Inc.",P.O. Box 1080,Lenoir,NC,28645,Alexander,6,IID,Residential,6,5,TRUE,MHL-002-010
Luca's Hope III,"Luca's Hope, LLC",PO Box 442,Sherrills Ford,NC,28673,Alexander,6,MI,Residential,6,6,FALSE,MHL-002-028
Alexander Group Home,"Abound Health, LLC",1890 Tommy's Road,Goldsboro,NC,27534,Alexander,5,IID,Residential,5,5,FALSE,MHL-002-030
Georgie's Helping Hand,Julius Williams,6119 E. WT Harris Boulevard,Charlotte,NC,28215,Alexander,5,MD,Residential,5,1,FALSE,MHL-002-032
"New River Cottage, Inc.","New River Cottage, Inc.",P.O. Box 488,Sparta,NC,28675,Alleghany,5,IID,Residential,5,5,TRUE,MHL-003-003
Samuel C. Evans Jr. Group Home,"Alleghany County Group Homes, Inc.",P.O. Box 488,Sparta,NC,28675,Alleghany,5,IID,Residential,5,5,FALSE,MHL-003-007
Cross Creek Farm AFL,"Summit Support Services of Ashe, Inc.",PO Box 381,Jefferson,NC,28640,Alleghany,2,MD,Residential,2,1,FALSE,MHL-003-016
Anson Group Home,Monarch,"350 Pee Dee Ave, Suite 101",Albemarle,NC,28001,Anson,6,IID,Residential,6,6,FALSE,MHL-004-003
Ansonville Group Home,Monarch,"350 Pee Dee Ave, Suite 101",Albermarle,NC,28001,Anson,6,IID,Residential,6,6,TRUE,MHL-004-004
Cornerstone Treatment Facility,"Cornerstone Treatment Facility, Inc.",1125 Pony Drive,Hope Mills,NC,28348,Anson,12,MI,Residential,12,10,FALSE,MHL-004-016
Summit Support Services of Ashe-Lighthouse,"Summit Support Services of Ashe, Inc.",PO Box 381,Jefferson,NC,28640,Ashe,6,IID,Residential,6,0,FALSE,MHL-005-019
"Summit Support Services of Ashe, Inc. - Ark","Summit Support Services of Ashe, Inc.",PO Box 381,Jefferson,NC,28640,Ashe,6,IID,Residential,6,6,FALSE,MHL-005-020
Willow Place Group Home,"Easter Seals UCP North Carolina & Virginia, Inc.",5171 Glenwood Avenue Suite 211,Raleigh,NC,27612,Ashe,6,MI,Residential,6,5,FALSE,MHL-005-024
Clay's House,Community Alternatives NC,1005 Spring Street,Wilkesboro,NC,28697,Ashe,2,MI,Residential,2,2,FALSE,MHL-005-028
Johnson Home,Community Alternatives of North Carolina,1005 Spring Street,Wilkesboro,NC,28697,Ashe,2,MI,Residential,2,1,FALSE,MHL-005-029
Avery County Group Home,"Avery Asso. For Exceptional Citizens, Inc.",P.O. Box 176,Newland,NC,28657,Avery,6,IID,Residential,6,6,FALSE,MHL-006-006
"Life, Inc./Edgewood Group Home","LIFE, Inc.",2609 Royall Ave.,Goldsboro,NC,27534,Beaufort,6,IID,Residential,6,6,TRUE,MHL-007-006
"LIFE, Inc./Dixon Road Group Home","LIFE, Inc.",2609 Royall Ave.,Goldsboro,NC,27534,Beaufort,6,IID,Residential,6,6,TRUE,MHL-007-008
"Life, Inc./Slatestone Road Group Home","LIFE, Inc.",2609 Royall Ave.,Goldsboro,NC,27534,Beaufort,6,IID,Residential,6,6,TRUE,MHL-007-013
"LIFE, Inc./Beaufort Heights Group Home","LIFE, Inc.",2609 Royall Avenue,Goldsboro,NC,27534,Beaufort,6,IID,Residential,6,6,TRUE,MHL-007-014
"LIFE, Inc./Minute Man Group Home","LIFE, Inc.",2609 Royall Ave.,Goldsboro,NC,27534,Beaufort,6,IID,Residential,6,6,TRUE,MHL-007-015
Beaufort County Group Home #1 (ARC-HUD),"Beaufort County Developmental Center, Inc.",PO Box 518,Washington,NC,27889,Beaufort,5,IID,Residential,5,4,FALSE,MHL-007-026
Beaufort County Group Home #2 (ARC-HDS),"Beaufort County Developmental Center, Inc.",PO Box 518,Washington,NC,27889,Beaufort,5,IID,Residential,5,4,FALSE,MHL-007-027
Country Living Guest Home,"Country Living Guest Home, Inc.",217 East 9th Street,Washington,NC,27889,Beaufort,6,IID,Residential,6,6,FALSE,MHL-007-032
Country Living Guest Home #2,"Country Living Guest Home, Inc.",3052 Market Street Extension,Washington,NC,27889,Beaufort,6,MI,Residential,6,6,FALSE,MHL-007-033
Country Living Estates,"Country Living Guest Home, Inc.",424 Wharton Station Road,Washington,NC,27889,Beaufort,6,MI,Residential,6,4,FALSE,MHL-007-049
Country Living Guest Home #5,"Country Living Guest Home, Inc.",204 Stewart Drive,Washington,NC,27889,Beaufort,6,IID,Residential,6,6,FALSE,MHL-007-058
Plant Street,Monarch,350 Pee Dee Ave. Ste. 101,Albemarle,NC,28001,Beaufort,6,MI,Residential,6,6,FALSE,MHL-007-072
Country Living Guest Home #6,"Country Living Guest Home, Inc.",217 East 9th Street,Washington,NC,27889,Beaufort,6,IID,Residential,6,6,FALSE,MHL-007-076
Country Living Guest Home #8,"Country Living Guest Home, Inc.",217 East 9th Street,Washington,NC,27889,Beaufort,6,MI,Residential,6,6,FALSE,MHL-007-079
Country Living Guest Home #7,"Country Living Guest Home, Inc.",217 East 9th Street,Washington,NC,27889,Beaufort,6,MI,Residential,6,6,FALSE,MHL-007-080
PORT Health Services-Ray G. Silverthorne Crisis Center,PORT Health Services,4300-110 Sapphire Court,Greenville,NC,27834,Beaufort,9,MI,Residential,9,5,FALSE,MHL-007-081
Country Living Aspen House,"Country Living Guest Home, Inc",217 East 9th Street,Washington,NC,27889,Beaufort,6,MI,Residential,6,4,FALSE,MHL-007-086
Country Living Raywood House,"Country Living Guest Home, Inc",217 East 9th Street,Washington,NC,27889,Beaufort,6,IID,Residential,6,6,FALSE,MHL-007-087
Country Living Willow House,"Country Living Guest Home, Inc",217 East 9th Street,Washington,NC,27889,Beaufort,6,IID,Residential,6,0,FALSE,MHL-007-088
Country Living Magnolia House,"Country Living Guest Home, Inc",217 East 9th Street,WASHINGTON,NC,27889,Beaufort,6,IID,Residential,6,6,FALSE,MHL-007-089
Country Living: Hickory House,"Country Living Guest Home, Inc",217 East 9th Street,Washington,NC,27889,Beaufort,6,IID,Residential,6,0,FALSE,MHL-007-090
Farmwood,"Solid Foundation Facilities, Inc.",224 Ward Road,Windsor,NC,27983,Bertie,4,IID,Residential,4,4,FALSE,MHL-008-006
Deacon's Dan's Place,"Solid Foundation Facilities, Inc.",224 Ward Road,Windsor,NC,27983,Bertie,4,MI,Residential,4,3,FALSE,MHL-008-007
East Creek,"Solid Foundation Facilities, Inc.",224 Ward Road,Windsor,NC,27983,Bertie,3,IID,Residential,3,3,FALSE,MHL-008-012
West Creek,"Solid Foundation Facilities, Inc.",224 Ward Road,Windsor,NC,27983,Bertie,3,IID,Residential,3,3,FALSE,MHL-008-014
Hillcrest Place,"Solid Foundation Facilities, Inc.",224 Ward Road,Windsor,NC,27983,Bertie,3,IID,Residential,3,3,FALSE,MHL-008-045
Bertie Camden,"Solid Foundation Facilities, Inc.",224 Ward Road,Windsor,NC,27983,Bertie,6,IID,Residential,6,6,FALSE,MHL-008-050
Corday Place,"Solid Foundation Facilities, Inc.",224 Ward Road,Windsor,NC,27983,Bertie,3,IID,Residential,3,2,FALSE,MHL-008-053
Northridge Residential,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Bladen,6,IID,Residential,6,6,TRUE,MHL-009-009
Midlake Residential,"Community Innovations, Inc.",80 Alliance Drive,Whiteville,NC,28472,Bladen,6,IID,Residential,6,5,TRUE,MHL-009-010
"Carolinas Home Care Agency, Inc.","Carolinas Home Care Agency, Inc.",PO Box 1723,Whiteville,NC,28472,Bladen,5,IID,Residential,5,5,FALSE,MHL-009-024
"Life, Inc./Folly Street Group Home","LIFE, Inc.",2609 Royall Ave,Goldsboro,NC,27534,Brunswick,6,IID,Residential,6,6,TRUE,MHL-010-008
"Life, Inc./Lockwood Street Group Home","LIFE, Inc.",2609 Royall Ave.,Goldsboro,NC,27534,Brunswick,6,IID,Residential,6,6,TRUE,MHL-010-009
The Trinity Home,"Focus-NC, LLC",PO Box 2458,Leland,NC,28451,Brunswick,4,IID,Residential,4,3,FALSE,MHL-010-057
Benya AFL,Sheri Benya,800 Joseph Willetts Drive SE,Winnabow,NC,28479,Brunswick,3,MI,Residential,3,3,FALSE,MHL-010-077
Wallbrown Home,HomeCare Management Corporation,5855 Executive Center Drive,Charlotte,NC,28212,Brunswick,3,MI,Residential,3,1,FALSE,MHL-010-091
Cost Care Home,HomeCare Management Corporation,5855 Executive Center Drive,Charlotte,NC,28212,Brunswick,3,MI,Residential,3,3,FALSE,MHL-010-092
First Step Farm-Men,"First Step Farm of Western N.C., Inc.",P.O. Box 1450,Candler,NC,28715,Buncombe,22,SUD,Residential,22,12,FALSE,MHL-011-003
BlueWest Opportunities-Swannanoa Residential,"BlueWest Opportunities, Inc.",PO Box 1250,Asheville,NC,28802,Buncombe,32,IID,Residential,32,24,TRUE,MHL-011-007
BlueWest Opportunities-Ora House,"BlueWest Opportunities, Inc.",PO Box 1250,Asheville,NC,28802,Buncombe,6,IID,Residential,6,5,TRUE,MHL-011-011
IWC-Rose Street Home,"Irene Wortham Residential Center, Inc.",916 West Chapel Road,Asheville,NC,28803,Buncombe,12,IID,Residential,12,12,TRUE,MHL-011-022
Chiles Avenue Group Home,"Mountain Area Residential Facilities, Inc.",46 St.Dunstans Circle,Asheville,NC,28813,Buncombe,6,IID,Residential,6,6,TRUE,MHL-011-024
Irene Wortham Residential Center-Azalea,"Irene Wortham Residential Center, Inc.",916 West Chapel Road,Asheville,NC,28803,Buncombe,6,IID,Residential,6,6,TRUE,MHL-011-036
BlueWest Opportunities-Pisgah House,"BlueWest Opportunities, Inc.",PO Box 1250,Asheville,NC,28802,Buncombe,6,IID,Residential,6,5,TRUE,MHL-011-047
BlueWest Opportunities-Kenmore House,"BlueWest Opportunities, Inc.",PO Box 1250,Asheville,NC,28802,Buncombe,6,IID,Residential,6,2,TRUE,MHL-011-076
First Step Farm-Women,"First Step Farm of Western N.C., Inc.",P.O. Box 1450,Candler,NC,28715,Buncombe,15,SUD,Residential,15,8,FALSE,MHL-011-080
Haw Creek,"UMAR Services, Inc.","5350 77 Center Dr.,  Suite 201",Charlotte,NC,28217,Buncombe,6,IID,Residential,6,3,FALSE,MHL-011-087
The Gwen Rash Memorial Group Home,"BlueWest Opportunities, Inc.",PO Box 1250,Asheville,NC,28802,Buncombe,6,IID,Residential,6,3,FALSE,MHL-011-088
Marne,"Liberty Corner Enterprises, Inc.","119 Tunnel Rd., Ste 120",Asheville,NC,28805,Buncombe,6,IID,Residential,6,6,FALSE,MHL-011-096
BlueWest Opportunities-Montford House,"BlueWest Opportunities, Inc.",PO Box 1250,Asheville,NC,28802,Buncombe,5,IID,Residential,5,3,TRUE,MHL-011-105
IWRC-Dogwood,"Irene Wortham Residential Center, Inc.",916 W. Chapel Road,Asheville,NC,28803,Buncombe,6,IID,Residential,6,4,TRUE,MHL-011-108
BlueWest Opportunities-New Stock House,"BlueWest Opportunities, Inc.",P O Box 1250,Asheville,NC,28802,Buncombe,6,IID,Residential,6,4,TRUE,MHL-011-137
Farm School Road Home,"Liberty Corner Enterprises, Inc.",119 Tunnel Rd,Asheville,NC,28805,Buncombe,3,IID,Residential,3,3,FALSE,MHL-011-167
Givens,"UMAR Services, Inc.",5350 77 Center Dr Suite 201,Charlotte,NC,28217,Buncombe,6,IID,Residential,6,6,FALSE,MHL-011-184
Summersgill Home,"Summerland Homes, Inc.",P.O. Box 160,Weaverville,NC,28787,Buncombe,3,NONAMB1,Residential,3,3,FALSE,MHL-011-187
Reuter Cottage,"Eliada Homes, Inc.",PO Box 16708,Asheville,NC,28816,Buncombe,6,MI,Residential,6,6,FALSE,MHL-011-203
Clearview Terrace,"Liberty Corner Enterprises, Inc.",119  Tunnel Road,Asheville,NC,28805,Buncombe,6,IID,Residential,6,6,FALSE,MHL-011-214
St. Dunstan Manor Group Home,"Mountain Area Residential Facilities, Inc.",46 St Dunstans Circle,Asheville,NC,28813,Buncombe,6,IID,Residential,6,6,FALSE,MHL-011-222
LINCS,"Davidson Homes, Inc.",2084 Highway 70,Swannanoa,NC,28778,Buncombe,0,MI,Residential,0,0,FALSE,MHL-011-247
God's Special People,"Davidson Homes, Inc.",2084 Highway 70,Swannanoa,NC,28778,Buncombe,3,MI,Residential,3,3,FALSE,MHL-011-250
Fairview House,"Autism Society of North Carolina, Inc.",5121 Kingdom Way Ste 100,Raleigh,NC,27607,Buncombe,3,IID,Residential,3,3,FALSE,MHL-011-259
The Peek Home,"Davidson Homes, Inc.",2084 Hwy 70,Swannanoa,NC,28778,Buncombe,3,MI,Residential,3,2,FALSE,MHL-011-260
FIRST at Blue Ridge,"FIRST at Blue Ridge, Inc.",P.O. Box 40,Ridgecrest,NC,28770,Buncombe,85,SUD,Residential,85,63,FALSE,MHL-011-264
Marlowe Place,"Autism Society of North Carolina, Inc.","5121 Kingdom Way, Ste 100",Raleigh,NC,27607,Buncombe,3,IID,Residential,3,3,FALSE,MHL-011-265
Tender Loving Care Home,Tender Loving Care Home,1854-A Hendersonville  Rd. ste. 114,Asheville,NC,28803,Buncombe,3,MI,Residential,3,1,FALSE,MHL-011-274
Dos Porticos en el Sol,Universal MH/DD/SAS,370 N. Louisiana Avenue Suite A-2,Asheville,NC,28806,Buncombe,3,MI,Residential,3,3,FALSE,MHL-011-281
Loveday Home,"Davidson Homes, Inc.",2084 Highway 70,Swannanoa,NC,28778,Buncombe,3,MD,Residential,3,3,FALSE,MHL-011-287
Weaver Home,Universal MH/DD/SAS,370 North Louisiana Avenue Ste A-2,Asheville,NC,28806,Buncombe,2,MI,Residential,2,1,FALSE,MHL-011-288
Zillicoa,"CooperRiis, Inc.",85 Zillicoa Street,Asheville,NC,28801,Buncombe,24,MI,Residential,24,11,FALSE,MHL-011-316
Lee Home,"Summerland Homes, Inc.",P.O. Box 160,Weaverville,NC,28787,Buncombe,3,MI,Residential,3,2,FALSE,MHL-011-328
McPherson Home,"Davidson Homes, Inc.",2084 Highway 70,Swannanoa,NC,28778,Buncombe,3,MI,Residential,3,3,FALSE,MHL-011-329
Pat Bradley Home,"Davidson Homes, Inc.",2084 Highway 70,Swannanoa,NC,28778,Buncombe,2,MD,Residential,2,2,FALSE,MHL-011-331
The McClain Home,"North Carolina Outreach Home Care, LLC",7-A Glenn Bridge Road,Arden,NC,28704,Buncombe,3,MI,Residential,3,0,FALSE,MHL-011-336
Women and Children FIRST,"FIRST at Blue Ridge, Inc.",PO Box 40,Ridgecrest,NC,28770,Buncombe,65,SUD,Residential,65,25,FALSE,MHL-011-339
Goss Home,"Davidson Homes, Inc.",2084 US Highway 70,Swannanoa,NC,28778,Buncombe,2,MI,Residential,2,2,FALSE,MHL-011-353
Wardlaw Home,"Universal Mental Health Services, Inc.","370 N. Louisiana Ave., Ste. A-2",Asheville,NC,28806,Buncombe,3,MI,Residential,3,3,FALSE,MHL-011-356
Cynthia's Place,"Steps for Success Family Services, LLC",PO Box 43077,Charlotte,NC,28215,Buncombe,4,MI,Residential,4,4,FALSE,MHL-011-369
New York Homes Residential Care Center #2,"New York Homes Residential Care Center, LLC",82 Ingle Road,Asheville,NC,28804,Buncombe,3,MI,Residential,3,3,FALSE,MHL-011-372
