HS Number,Name,Address,City,State,Zip,Primary Identifier,Website,Contacts
9419034525,Starlink Services,1457 N Eliseo Felix Jr. Way Ste 107,Avondale,AZ,85323,Prospect,starlinkcares.com,1
9419066223,Meadows Catalina,11175 E Edison St,Tucson,AZ,85749,Prospect,www.themeadows.us,0
33708913251,Angels' Wings,23015 N 15th Ave Ste 101,Phoenix,AZ,85027,Prospect,www.azonangelswings.com,1
9419166302,Transitions,5505 W Chandler Blvd Ste 21,Chandler,AZ,85226,Pipeline,www.transitionsaz.org,4
9419166299,Saguaro Foundation,1495 S 4th Ave,Yuma,AZ,85364,Prospect,saguarofoundation.com,6
9419166296,Project Insight,1038 E.fort Lowell Rd,Tucson,AZ,85719,Prospect,www.projectinsight-az.com,7
9419166295,Graham County Rehabilitation Center,502 W Main St,Safford,AZ,85546,Prospect,https://gcrcsaffordorg.wordpress.com/www.gcrcsafford.org,0
9419166293,Casa de Rosa,1847 S 5th Ave,Tucson,AZ,85713,Prospect,www.casaderosa.org,1
9419184815,TLC Supported Living Services of Arizona,2500 E Cooley St Ste 401,Show Low,AZ,85901,Prospect,www.tlcsupportedliving.com,3
8799002649,Copa Health,924 N Country Club Dr,Mesa,AZ,85201,Prospect,www.copahealth.org,6
9419016491,Hacienda HealthCare,1402 E South Mountain Ave,Phoenix,AZ,85042,Pipeline,www.losninoshospital.com,9
8725673913,Anodyne Independent Living Services,5940 W Union Hills Dr,Glendale,AZ,85308,Prospect,anodyneaz.com,3
8725644426,Genrev Family Resource,8537 W. Wilshire Drive,Phoenix,AZ,85037,Prospect,www.cutestat.com,0
8725524526,"Unified Residential Homes, LLC",10421 W. Coggins Drive,Sun City,AZ,85351,Prospect,unifiedrh.com,3
33708479512,Arizona Dream Team,"10000 N. 31st Ave, Ste C316",Phoenix,AZ,85051,Pipeline,az-dreamteam.org,4
28688549248,Catholic Community Services,5151 N. 19th Avenue,Phoenix,AZ,85013,Pipeline,https://www.ccs-soaz.org/services/detail/community-living-program,1
8725833634,Tucson Residence Foundation,123 South Sherwood Village Drive,Tucson,AZ,85710,Pipeline,tucsonres.org,12
8725616500,Horizon Health and Wellness,625 N. Plaza Drive,Apache Junction,AZ,85210,Prospect,hhwaz.org,5
8725610158,Community Options Inc.,7910 S. Kyrene Road,Tempe,AZ,85284,Client,comop.org,0
8725600272,Danville Services of Arizona,710 South Campbell Avenue,Tucson,AZ,85719,Prospect - Removed from Pipeline,http://www.danvilleservices.com/services/homes/,6
8725591112,"Zion Compassion Care, LLC",55 South McQueen Road,Gilbert,AZ,85233,Prospect,zioncompassion.com,4
8725551023,Advanced Supported Living Services,20403 N. Lake Pleasant Drive,Peoria,AZ,85382,Prospect,www.advancedsupportedlivingservices.com,3
8725551022,Called to Care Residential Facility,1806 N. 114th Ave,Avondale,AZ,85392,Prospect,called2care.com,0
8725541815,Y.E.S. The Arc,417 S. Willard Street,Cottonwood,AZ,86326,Prospect,yesthearc.org,3
8725484168,Easterseals | Blake Foundation,"7750 E. Broadway Blvd, Ste A200",Tucson,AZ,85710,Prospect,www.easterseals.com,3
28854941801,The Centers for Habilitation (TCH),215 Lodge Drive,Tempe,AZ,85282,Prospect,tch-az.com,5
8725683285,Chandler | Gilbert ARC,3250 N. San Marcos Place,Chandler,AZ,85225,Prospect,cgarc.org,5
8725683284,Hozhoni Foundation,2133 N. Walgreen St,Flagstaff,AZ,86004,Prospect,www.hozhoni.com,6
8725683283,"Open Arms, LLC","4425 W. Olive Ave, Ste 410",Glendale,AZ,85302,Prospect,,0
8725662738,Marc Community Resources,737 W. Guadalupe Rd Ste 126,Mesa,AZ,85210,Prospect,www.marccr.com,2
8725662737,"Embrace Life, Inc.","1310 E. Southern Avenue, Ste 201",Mesa,AZ,85204,Prospect,embracelifeservices.org,2
8725627061,"Proverbs Group Home, LLC",4716 W. Maldonado Rd,Laveen,AZ,85339,Prospect,www.proverbs163.org,1
8725591115,Arizona Health Care Contract Management Services (AHCCMS),"110 W. Cambelback Rd, Ste 200",Phoenix,AZ,85013,Prospect,www.ahccms.org,4
8725532760,"Ohana Developmental Homes, LLC",43381 W Wallner Dr,Maricopa,AZ,85138,Prospect,www.ohanahoa.com,3
33708479905,Arizona Training & Evaluation Center (AZTEC),"7400 W. Olive Ave, STE 24",Peoria,AZ,85345,Prospect,aztec1.org,3
8725653614,Consumer Advocacy Projects,"3700 N. 24th St, STE 100",Phoenix,AZ,85016,Prospect,az-cap.com,5
8725644425,VALLEYLIFE,1142 W. Hatcher Rd,Phoenix,AZ,85021,Prospect,valleylifeaz.org,2
8717655894,Rainbow Acres,2120 Reservation Loop Road,Camp Verde,AZ,86322,Client,rainbowacres.org,9
8724778134,Arizona Mentor,"2700 North 3rd St, Ste 4000",Phoenix,AZ,85004,Prospect,https://www.az-mentor.com/locations/phoenix-state-office/,5
7658119469,Remarkable Health,825 East Warner Road,,AZ,85251,Prospect,remarkablehealth.com,1
7657993329,Aires,"2140 W Greenway Rd, Suite 140",Phoenix,AZ,85023,Client,,1
9513772975,The Tungland Corporation,"1605 N. Wilmot Road, Ste 104B",Tucson,AZ,85712,Prospect,tungland.com,9
7613307509,Echoing Hope Ranch,PO Box 4471,Bisbee,AZ,85603,Prospect,echoinghoperanch.org,5
7613307506,"Rise, Inc.","1609 N. Wilmot Rd, Ste 106C",Tucson,AZ,85712,Pipeline,https://riseservicesinc.org/,24
7610771830,United Cerebral Palsy of Southern Arizona,630 N. Craycroft Road,Tucson,AZ,85711,Prospect,http://ucpsa.org/,7
7613482920,United Cerebral Palsy of Central Arizona,1802 West Parkside Lane,Phoenix,AZ,85027,Prospect,ucpofcentralaz.org,3
22941748020,DSI Management,,Rancho Cucamonga,CA,91730,Prospect,d-s-i.com,10
15272386485,Wrike,84 W Santa Clara St,San Jose,CA,92122,Client,team.wrike.com,1
15193723535,care.coach,199 California Drive,Millbrae,CA,94030,Client,care.coach,1
14994922822,"Eventbrite, Inc.",155 5th Street,San Francisco,CA,94103,Client,eventbrite.com,1
8969796684,Midland School (corporate office),5100 Figueroa Mountain Rd,Los Olivos,CA,93441,Prospect,www.midland-school.org,0
7613504064,Second Haven,335 North Clark Street,Fresno,CA,93701,Prospect - Removed from Pipeline,secondhaven.org,2
7613768365,GW Pharma Limited,5750 Fleet Street,Carlsbad,CA,92008,Client,greenwichbiosciences.com,1
7613554265,loris-angels-2015,17311 Halsey Street,Los Angeles,CA,91344,Prospect,lorisangels.com,2
7613552408,"Toward Maximum Independence, Inc.",4740 Murphy Canyon Road Suite 300,San Diego,CA,92123,Prospect,tmi-inc.org,1
8311557028,"Dungarvin Colorado, LLC",4704 Harlan Street,Denver,CO,80212,Prospect,www.dungarvin.com,3
29285185685,Vista Care - CO,Corporate Dr,Colorado Springs,CO,80919,Pipeline,vistacare.org,0
19595180163,Goodwill of Colorado,1460 Garden of the Gods Road,Colorado Springs,CO,80907,Pipeline,goodwillcolorado.org,1
33359835008,Harmonie House,,,CO,,Prospect,harmoniehouse.org,2
31113771906,Beth Haven Inc,616 N. Royer St.,Colorado Springs,CO,,Prospect,bethhaveninc.org,1
23331561247,Tennyson Center for Children,2950 Tennyson Street,Denver,CO,80212,Prospect,tennysoncenter.org,1
22286990443,Community Roots,,Lafayette,CO,80026,Prospect,communityrootscolorado.com,5
22287690389,Sample Supports,620 Kimbark Street,Longmont,CO,80501,Prospect,samplesupports.com,5
22287032586,Stepping Stone Support Center,9700 Old Coal Mine Avenue,Littleton,CO,80123,Prospect,steppingstonesupportcenter.com,5
22287370923,Eastern Colorado Services for the Developmentally Disabled,617 South 10th Avenue,Sterling,CO,80751,Pipeline,ecsdd.org,7
22287281166,Our Own Lives,325 South Pine Street,Cortez,CO,81321,Prospect,ourownlives.org,11
19810350380,Envision,4732 West 26th Street,Greeley,CO,80634,Prospect,envisionco.org,3
19809656128,"Dynamic Dimensions, Inc.",,Burlington,CO,80807,Prospect,dynamicdimensions.org,3
19595205538,Spectrum Community Services,105 Lehigh Avenue,Pueblo,CO,81005,Prospect,spectrumco.com,3
19593845130,HORIZONS SPECIALIZED SERVICES,405 Oak Street,Steamboat Springs,CO,80487,Prospect,horizonsnwc.org,6
19433057902,C.A.R.E. Inc.,1950 Aspen Cir,Pueblo,CO,81006,Prospect,www.careincresidential.com,3
19262935642,Better Life Experience,550 Thornton Pkwy Unit 118,Thornton,CO,80229,Prospect,www.ablecolorado.com,9
19262935632,Your Choice Residential,320 N Academy Blvd Ste 303A,Colorado Springs,CO,80909,Prospect,www.yourchoiceresidential.com,0
19262803063,CentrePoint Support Living,6892 S Yosemite Ct #1-101 A,Centennial,CO,80112,Prospect,www.centrepointsupportliving.com,1
19236998308,Starpoint,700 S 8th St.,Canon City,CO,81212,Prospect,www.starpointco.com,10
19178052633,Pueblo Regional Center,830 N Main St Ste 100,Pueblo,CO,81003,Prospect,www.prbd.com,4
33649375414,Our House Inc.,1609 S Wahsatch Ave,Colorado Springs,CO,80905,Prospect,www.ourhouseinc.org,6
17568990209,Integrated Life Choices Colorado,7800 S Elati Street Suite 111,Littleton,CO,80120,Pipeline,ilc.net,2
17509024331,KAAUM ENTERPRISES,6675 Bear Tooth Drive,Colorado Springs,CO,80923,Prospect,kaaumenterprises.com,8
33649375391,AbleLight - Colorado,5941 Middlefield Rd #100,littleton,CO,80123,Prospect,www.ablelight.org,4
16384515943,Center for Independence,740 Gunnison Ave,Grand Junction,CO,81501,Prospect,www.cfigj.org,3
16181576030,Karuna Care Services,890 West Cherry Street,Louisville,CO,80027,Prospect,karunacareservices.com,8
15529074061,Community Link,6290 Lookout Road,Boulder,CO,80301,Prospect,communitylinkcolorado.org,4
15529443403,Colorado Blue Sky Enterprises,115 West 2nd Street,Pueblo,CO,81003,Pipeline,coloradoblueskyenterprises.org,8
15528709676,Wellspring Community,826 Park Street,Castle Rock,CO,80109,Prospect,wearewellsprings.org,4
15528762642,Ariel Clinical Services,2938 North Avenue Ste. G,Grand Junction,CO,81504,Prospect,arielcpa.org,16
15529047952,Elevated Supports,201 Coffman Street,Longmont,CO,80501,Prospect,elevatedsupports.com,13
10926901021,The Arc of Adams County,641 East 112th Avenue,Northglenn,CO,80233,Prospect,arcadams.org,1
10144411944,Pueblo Diversified Industries,2828 Granada Boulevard,Pueblo,CO,81005,Prospect,pdipueblo.org,3
9445182872,The Arc Arapahoe & Douglas Counties,6538 South Racine Circle,Centennial,CO,80111,Prospect,arc-ad.org,2
9628329073,Innovative Services of Colorado,14107 East Exposition Avenue,Aurora,CO,80012,Prospect,innovativesvsofco.com,2
9445133082,The Arc of the Central Mountains,817 Colorado Ave Ste 304,Glenwood Springs,CO,81601,Prospect,www.arccentralmountains.org,1
9445133076,The Arc Mesa County,845 Grand Ave,Grand Junction,CO,81501,Prospect,www.thearcmesa.org,1
9445133075,A Brighter Community,9701 W 50th Ave,Wheat Ridge,CO,80033,Prospect,http://www.abrightercommunity.com/,7
9445133069,Blue Spruce Community,1001 Lincoln Ave,Louisville,CO,80027,Prospect,www.bluesprucecommunity.org,0
9445133066,The Arc of Southwest Colorado,1199 Main Ave Ste 216,Durango,CO,81301,Prospect,www.thearcofswco.org,2
9445104294,The Arc of Larimer County,1721 W Harmony Rd Unit 101,Fort Collins,CO,80526,Prospect,www.thearcoflarimercounty.org,1
9445104291,The Arc Of Pueblo,2705 Vinewood Ln Unit 1,Pueblo,CO,81005,Prospect,www.arcofpueblo.org,2
9445104290,Tender Hearts Adult Day Care,10190 Montview Blvd,Aurora,CO,80010,Prospect,www.tenderheartsadc.com,0
9445104289,Stellar Care and Services,1150 Elkton Dr Ste 125,Colorado Springs,CO,80907,Pipeline,www.stellarcare.org,8
9445104287,The Arc of Weld County,5312 W 9th Street Dr Ste 150,Greeley,CO,80634,Prospect,www.arcweldcounty.org,0
9445104286,Community Options,336 S 10th St,Montrose,CO,81402,Prospect,www.communityoptionsinc.org,7
9445104285,Comprehensive Community Based Services,8668 E Doane Pl,Denver,CO,80231,Prospect,www.ccbs.biz,0
9445104284,The Arc of Colorado,1580 Logan St Ste 730,Denver,CO,80203,Prospect,www.thearcofco.org,1
9445104283,The Arc of West Central Colorado,PO Box 586,Delta,CO,81416,Prospect,www.arcwcco.org,0
9445104281,Mountain Valley Developmental Services,700 Mount Sopris Dr,Glenwood Springs,CO,81601,Prospect,www.mtnvalley.org,8
9445104280,The Friends,11851 Saulsbury St,Broomfield,CO,80020,Prospect,www.friendsofbroomfield.org,9
9445104279,Southern Colorado Develpmental Disbilities Services,1205 Congress Drive,Trinidad,CO,81082,Prospect,www.scdds.com,4
9445104278,The Otero,1204 W Ash St Unit D,Windsor,CO,80550,Prospect,oterocorp.com,2
9445104274,The Arc Pikes Peak Region,12 N Meade Ave,Colorado Springs,CO,80909,Prospect,www.thearcppr.org,2
8950204567,Support Inc,15591 East Centretech Parkway,Aurora,CO,80011,Client,supportinc.org,44
8311594538,Mosaic Northern Colorado,6833 North Franklin Avenue,Loveland,CO,80538-1180,Prospect,www.mosaicinfo.org,2
8311563693,Mosaic Grand Junction,2456 Industrial Boulevard,Grand Junction,CO,81506,Prospect,,1
8311609003,Mosaic Denver,3443 S Galena St,Denver,CO,80231,Prospect,mosaicinfo.org,11
8310891660,Mosaic Colorado Springs,4775 Centennial Blvd,Colorado Springs,CO,80919,Prospect,mosaicinfo.org,1
7658043527,North Metro Community Services,1001 W 124th Ave,Denver,CO,80234,Prospect,nmetro.org,14
7652764961,The Arc - Jefferson,13949 West Colfax Avenue,Lakewood,CO,80401,Prospect,arcjc.org,2
7613436691,COMMUNITY ASSISTED LIVING,2415 Mullins Avenue,Alamosa,CO,81101,Prospect,communityassistedliving.com,2
7611981870,"Cheyenne Village, Inc.",6275 Lehman Drive,Colorado Springs,CO,80918,Prospect,cheyennevillage.org,20
7612079412,Imagine!,1400 Dixon Ave,Lafayette,CO,80026,Prospect,www.imaginedirectservices.org,28
7608715915,"Activity Options, LLC",7401 W. 59th Ave.,Arvada,CO,80003,Prospect,activityoptions.com,4
7612079392,"Parker Personal Care Homes, Inc.",1597 Cole Boulevard,Lakewood,CO,80401,Pipeline,parkerpch.com,15
33650870360,Overture,11177 W. 8th Ave,Lakewood,CO,80215,Pipeline,BekenHoldings.com,32
7613766678,Eleos Services,4319 Pearlgate Ct,Fort Collins,CO,80526,Pipeline,eleosservices.com,4
7611957615,Inspiration Field,612 Adams Avenue,La Junta,CO,81050,Prospect,inspirationfield.com,15
7613280288,Laradon,5100 Lincoln Street,Denver,CO,80216,Pipeline,www.laradon.org,16
7608715873,"Southeastern Developmental Services, Inc.",PO Box 328,Lamar,CO,81052,Pipeline,sdccb.com,8
7611981853,Blue Peaks Developmental Services,703 4th Street,Alamosa,CO,81101,Prospect,bluepeaks.org,6
7608715867,Continuum of Colorado,"14280 E. Jewell Avenue, Suite A",Aurora,CO,80012,Pipeline,continuumcolo.org,12
7611865997,Common Roots,805 S Tejon St,Colorado Springs,CO,80903,Pipeline,commonrootscos.com,1
33649375399,Dungarvin - CT,1444 Northland Drive,Saint Paul,CT,55120,Pipeline,dungarvin.com,1
7657464618,Continuum of Care- IDD,109 Legion Avenue,New Haven,CT,06519,Pipeline,continuumct.org,19
7658011305,"Key Human Services, Inc. - CT",19 Kensington Lane,Rocky Hill,CT,06067,Pipeline,http://khs.org,2
7658021936,Abilis- Formerly Greenwich ARC,50 Glenville Street,Greenwich,CT,06831,Pipeline,www.abilis.us,9
15847285289,Thekennedycollective,2440 Reservoir Avenue,Trumbull,CT,06611,Client,kennedycollective.org,12
7657426215,"Caring Community of Connecticut, Inc. The",84 Waterhole Rd,Colchester,CT,6415,Prospect,,0
7608221298,"CLASP Homes, Inc.",246 Post Road East,Westport,CT,6880,Pipeline,clasphomes.org,7
7608715900,ARC of Connecticut,200 Research Parkway,Meriden,CT,6450,Pipeline,thearcct.org,11
7613552311,CCARC,950 Slater Rd,New Britain,CT,6053,Pipeline,ccarc.com,9
23951470081,Gilead Community Services,222 Main Street Extension,Middletown,CT,06457,Prospect - Removed from Pipeline,gileadcs.org,5
7657918540,"SARAH Tuxis Residential and Community Resources, Inc.",45 Boston St.,Guilford,CT,6437,Pipeline,sarah-tuxis.org,6
7613502648,RMS Development,808 Four Rod Rd. P.O. Box 7333,Kensington,CT,6037,Pipeline,rms-inc.org,6
7657426060,Association for Community Organizations and Resource Development Inc. (ACORD),7 Barnes Industrial Road South,Wallingford,CT,6492,Pipeline,acordinc.org,3
7613502741,Bristol Adult Resource Center,195 Maltby Street,Bristol,CT,06011-0726,Prospect,bristolarc.org,5
7609351846,"MARC, Inc. of Manchester",151 Sheldon Road,Manchester,CT,6040,Pipeline,marcct.org,4
31794432183,We Do Life Together,35 Elm St,Naugatuck,CT,06770,Onboarding,www.wdlt.org,12
15700624234,Catholic Charities Archdiocese of Hartford,839-841 Asylum Avenue,Hartford,CT,06105,Prospect - Removed from Pipeline,ccaoh.org,6
16330465181,"Allied Community Programs, Inc.",3 Pearson Way,Enfield,CT,06082,Pipeline,alliedgroup.org,4
8304811336,"Dungarvin Connecticut, llc",96 South Turnpike Rd,Wallingford,CT,06492,Pipeline,,1
7613325649,"Litchfield County ARC, Inc.",314 Main Street,Torrington,CT,6790,Pipeline,litchfieldarc.org,6
7612079402,"Gil Foundation, Inc.",PO Box 7331,Prospect ,CT,6712,Prospect - Removed from Pipeline,gilfoundation.com,3
28918146208,NAFI CT,49 Wethersfield Av,Hartford,CT,06032,Prospect,www.nafict.com,6
17772064611,Pathfinder Associates (ACQ. by Kennedy Collective),114 Sodom Ln,Derby,CT,06418,Client,www.pathfinderassociatesinc.org,0
7658042499,"Sunset Hill, Inc.",139 Estabrooks Rd.,Hampton,CT,6247,Prospect,,0
20949323548,Hartford Hospital,1 State Street,Hartford,CT,06105,Client,hhchealth.org,8
16330198710,Brian House - CT,191 Middlesex Ave ,Chester,CT,06412,Prospect,brianhouse.org,2
16330185357,ascensionhss.com,66 FRANKLIN AVE,Norwich,CT,06360,Prospect,ascensionhss.com,1
16330455439,COMMUNITY SOCIAL INTEGRATION,2666 State Street,Hamden,CT,06517,Prospect,communitysocialintegration.com,1
15727207597,Caring Community of Conn,44 Olenick Road,Lebanon,CT,06249,Prospect,caringcommunityct.org,3
15392335991,ST. JOSEPHS - ALF,,,CT,,Client,,0
15392335957,JUDICIAL - DETENTION CENTER,,,CT,,Client,,0
15391370795,CPM,,,CT,,Client,,0
15381250586,Middlewoods of Newington,,,CT,,Client,,0
15381252728,Little Sisters of the Poor,,,CT,,Client,,0
15381252359,"Good Life Residential, LLC",,"Good Life Residential, LLC",CT,06042,Client,,1
15380355418,Alberta Manor,21 Victoria Rd,Hartford,CT,06114,Client,www.albertamanor.net,1
15191981945,ActualMeds,222 Pitkin Street,East Hartford,CT,06108,Client,actualmeds.com,2
10487711137,Alternatives,1221 New Haven Road,Naugatuck,CT,06770,Prospect - Former Client,alt-inc.org,6
7657944644,"Opportunity House, Inc.",320 Old Hill Road,Hamden,CT,06514,Prospect,opphouseinc.org,2
7658118269,The Children's Center of Hamden,1400 Whitney Avenue,Hamden,CT,06517,Prospect,tccoh.org,4
7658031672,"Turning Leaf Agency, Corp.",PO Box 295,Central Village,CT,6332,Prospect,,0
7657393950,"New Foundations, Inc.",1776 Meriden Rd.,Wolcott,CT,6716,Prospect,,0
7657427320,primecareinc.org,562 Watertown Avenue,Waterbury,CT,06708,Client,primecareinc.org,21
7657972251,"Vinfen Corporation of Connecticut, Inc.",860 Prospect Hill Rd.,Windsor,CT,6095,Client,,1
7658042493,"G.I.L. Foundation, Inc. (Grounded in Love)","94 Union City Road, Suite A",Prospect,CT,6712,Prospect,,0
7657972231,"North American Family Institute, Inc. (NAFI)","20 Batterson Park Road, Suite 300",Farmington,CT,6032,Prospect,,0
7657972268,"STAR, Inc., Lighting The Way",182 Wolfpit Ave.,Norwalk,CT,6851,Client,starct.org,38
7658014099,"Adelbrook Community Services, Inc.",58 Missionary Road,Cromwell,CT,6416,Prospect,,0
7658031526,St Vincent's Special Needs Changing Images Adult Day,1 State Street,Hartford,CT,06105,Client,https://hartfordhealthcare.org/,0
7657951301,"Humanidad, Inc.","750 Old Main Street, Suite 100",Rocky Hill,CT,6067,Client,humanidad.us,2
7657985685,"Friends of New Milford, Inc.",PO Box 89,New Milford,CT,6776,Client,www.friendsofnm.org,0
7657985686,"Alternative Services - Connecticut, Inc.",84 Linwood Ave.,Colchester,CT,6415,Prospect,asi-ct.org,2
7657918550,Resources for Human Development Inc.,135 North Plains Industrial Road,Wallingford,CT,6492,Client,,0
7657944628,familyoptionsjc.org,92 Brookside Road,Waterbury,CT,06708,Prospect,familyoptionsjc.org,1
7658020524,Eastern Community Development Corporation,156 Cross Road,Waterford,CT,6385,Prospect,easterncommunity.com,1
7658042450,"SARAH, Inc",,,CT,,Prospect,,0
7657951338,KenCrest Services,"80 Ferry Boulevard, Suite 102",Stratford,CT,6615,Prospect,,0
7658011216,Mosaic of Connecticut Inc.,100 Sebethe Dr. Suite A2,Cromwell,CT,6416,Pipeline,,0
7613766693,"Journey Found, Inc.",60 Hilliard Street,Manchester,CT,6040,Prospect - Removed from Pipeline,journeyfound.org,5
7609351938,"Northeast Placement Services, Inc.",312 Rte 169 PO Box 185,South Woodstock,CT,6267,Prospect,northeastplacementservices.org,2
7611957633,"Network, Inc.",23 Route 6,Andover,CT,6232,Client,networkhumanservices.org,18
32119789691,Farmington Valley ARC,225 Commerce Drive,Canton,CT,6019,Prospect,favarh.org,7
7611912790,"Whole Life, Inc.",216 Broad Street FL 2,New London,CT,6320,Prospect,wholelifeinc.org,2
7613526177,"Kennedy Center, Inc.",2440 Reservoir Ave.,Trumbull,CT,6611,Client,kennedyctr.org,2
7613307522,"Community Residences, Inc.",50 Rockwell Road,Newington,CT,6111,Client,criinc.org,73
7611237538,St Vincent's Special Needs Services,95 Merritt Boulevard,Trumbull,CT,6611,Client,stvincents.org,1
