HS Number,Name,Address,City,State,Zip,Primary Identifier,Website
29285185685,Vista Care - CO,Corporate Dr,Colorado Springs,CO,80919,Pipeline,vistacare.org
29667164421,Catholic Charities Disability Services,901 Forest Ave,Albany,NY,12205,Pipeline,
7613528073,CAFS (NJ-N),200 ROBIN RD,PARAMUS,NJ,07652,Client,cafsnj.org
8118133925,The Arc of Morris,1 Executive Drive,Morris Plains,NJ,07950,Client,arcmorris.org
8118126912,The Arc of Sussex County,"11 US Route 206, Suite 100",Augusta,NJ,07822,Prospect,scarc.org
8118753885,Our House - NJ,76 Floral Avenue,Murray Hill,NJ,07974,Pipeline,ourhousenj.org
7613482929,The Arc of Middlesex,"1100 Cornwall Road, Suite 100",Mounmouth Junction,NJ,08852,Non-Prospect,arc-middlesex.org
7657972132,PATHFINDER VILLAGE (NY),3 CHENANGO RD,EDMESTON,NY,13335,Client,pathfindervillage.org
19148405766,Hope Christian Services,700 Mountain Avenue,Wyckoff,NJ,07481,Prospect,hopechristian.org
8118686801,New Horizons in Autism,906 State Route 33 East,Freehold,NJ,07228,Non-Prospect,nhautism.org
7609209773,AMIB (NJ-N),35 BEAVERSON BLVD,BRICK,NJ,08723,Client,amib.net
7610773309,NEW CONCEPTS FOR LIVING (NJ-N),68A W PASSAIC AVENUE,ROCHELLE PARK,NJ,07662,Client,ncfl.net
9072874080,ARC OF OCEAN (NJ-N),815 CEDAR BRIDGE AVE,LAKEWOOD,NJ,08701,Client,arcocean.org
9072903503,DELTA CENTRAL (NJ-N),1130 ROUTE 202,RARITAN,NJ,08869,Client,
9072869023,ARC OF BERGEN/PASS (NJ-N),223 MOORE STREET,HACKENSACK,NJ,07601,Client,
9072585276,ARC GLOUCESTER (NJ-S),1555 GATEWAY BLVD,WEST DEPTFORD,NJ,08096,Client,
9072494965,BANCROFT - NEUROREHAB (NJ-S),1200 ROUTE 70,BRICK,NJ,08724,Client,
7657383348,Center for Family Support,,,NJ,,Prospect,
7609492993,CAPITOL CARE (NJ-N), -, -,NJ, -,Client,capitol-care.org
8118753886,The Arc of Union,70 Diamond Road,Springfield,NJ,07081,Prospect,arcunion.org
8118692948,Partnerships For People,"23 Vreeland Rd, Ste 120",Florham Park,NJ,07932,Pipeline,partnershipsforpeople.org
7611239036,Qmainc,700 Cinnaminson Avenue,Palmyra,NJ,08065,Pipeline,qmainc.com
9072859980,DPD/CATHOLIC CHARITIES (NJ-N),1 CATHOLIC CHARITIES WAY,OAK RIDGE,NJ,07438,Client,http://dpd.org
9072853795,AVIDD (NJ-N),92 BROADWAY,DENVILLE,NJ,07834,Client,aviddnj.org
7611996336,ARC OF CAPE MAY (NJ-S),822 ROUTE 47,SOUTH DENNIS,NJ,08245,Client,arcofcapemay.org
7609209775,PILLAR CARE CONTINUUM (NJ-N),220 S ORANGE AVE,LIVINGSTON,NJ,07039,Client,pillarnj.org
19595180163,Goodwill of Colorado,1460 Garden of the Gods Road,Colorado Springs,CO,80907,Pipeline,goodwillcolorado.org
7657546057,Jespy House,102 Propect Street,Orange,NJ,07079,Non-Prospect,jespy.org
7658011187,Developmental Disabilities Association of NJ,40 Woodbridge Avenue,Sewaren,NJ,07077,Non-Prospect,ddanj.org
9072916063,BANCROFT-PEDS (NJ-S) NO 3P DH, -, -,NJ, -,Client,
9072903501,ARC OF BURLINGTON (NJ-S),115 E BROAD ST.,BURLINGTON,NJ,08016,Client,
9072494969,SPECTRUM ICF (NJ-N),50 BLANCH AVE,CLOSTER,NJ,07624,Client,
7613281686,21 PLUS INC (NJ-N),1900 RT 70,MANCHESTER,NJ,08759,Client,21plus.org
9072859978,J-ADD (NJ-N),50 EISNEHOWER DR,PARAMUS,NJ,07652,Client,
9072546999,COMM OPTIONS - SOUTH (NJ-S), -, -,NJ, -,Client,
9072859979,PILOT (NJ-S),289 JACKSON ROAD,BERLIN,NJ,08009,Client,thepilotservices.org
9072859975,ADEPT (NJ-S),111 HIGH STREET,MOUNT HOLLY,NJ,08060,Client,
33359835008,Harmonie House,,,CO,,Prospect,harmoniehouse.org
7613354777,ARC OF CAMDEN COUNTY (NJ-S),215 West White Horse Pike,Berlin,NJ,08009,Client,arccamden.org
7611958872,DURAND (NJ-S), -, -,NJ, -,Client,durandac.org
7612081203,COMMUNITY HOPE -NO DH- (NJ-N),959 US-46,PARSIPPANY,NJ,07054,Client,communityhope-nj.org
31113771906,Beth Haven Inc,616 N. Royer St.,Colorado Springs,CO,,Prospect,bethhaveninc.org
7611939213,WEST BERGEN (NJ-N),120 CHESTNUT STREET,RIDGEWOOD,NJ,07450,Client,westbergen.org
9072859976,DELTA SOUTH (NJ-S),5914 MAIN STREET,MAYS LANDING,NJ,08330,Client,
7609744739,FORDHAM LEWIS (NJ-N),613 HOPE RD,EATONTOWN,NJ,07724,Client,fordham-lewisconsulting.org
9072869022,OAKS INTEG - OASIS (NJ-S),770 WOODLANE RD,MT HOLLY,NJ,08060,Client,
7612081202,LIFE OPPORTUNITIES (NJ-N),75 NORTH MAPLE AVENUE,RIDGEWOOD,NJ,07450,Client,lifeopp.org
7611865973,CFG --NO DAYHAB-- (NJ-S),1000 ATLANTIC AVE,CAMDEN,NJ,08104,Client,cfgpc.com
9072847927,OAKS INTEGRATED CARE (NJ-N),770 WOODLANE RD,MT HOLLY,NJ,08060,Client,
7686868567,BETHESDA HOMES (NJ-N),220 HAMBURG TURNPIKE,POMPTON LAKES,NJ,07442,Client,ablelight.org
7608717830,OTCBC (NJ-S), -, -,NJ, -,Client,otcbc.org
9072834608,CROSSROADS (NJ-S), -, -,NJ, -,Client,
9072934816,EASTER SEALS (NJ-N), -, -,NJ, -,Client,
7792580472,CFS (NJ-N),71 ZABRISKIE ST,HACKENSACK,NJ,07601,Client,cfsny.org
9072874082,ARC OF SALEM (NJ-S),150 SALEM-WOODSTOWN RD,SALEM,NJ,08079,Client,
7608223118,OAKS INTEG - COLES RUN (NJ-S), -, -,NJ, -,Client,oaksintcare.org
9072581154,EQUAL PARTNERS (NJ-S), -, -,NJ, -,Client,
9072869024,COMM OPTIONS -MONTVILLE (NJ-N),95 E MAIN ST,DEVILLE,NJ,07834,Client,
9072823208,21 PLUS INC (NJ-S),1900 RT 70,MANCHESTER,NJ,08759,Client,
7613326748,CROSSROADS (NJ-N), -, -,NJ, -,Client,crossroadsprograms.org
9072880187,HEMLOCK (NJ-S), -, -,NJ, -,Client,
9364666649,SERV (NJ-N),777 BLOOMFIELD AVENUE,CLIFTON,NJ,07012,Client,
7612081204,PENN REACH (NJ-S), -, -,NJ, -,Client,pennreach.org
15901527579,Otsuka,508 Carnegie Center,Princeton,NJ,08540,Influencer,otsuka-us.com
9072890669,BANCROFT - FLICKER (NJ-S),1001 VAN BUREN RD,VOORHEES,NJ,08043,Client,
30423986215,Soul Dogs,9053 Harlan Street,Westminster,CO,80031,,soul-dogs-inc.org
30012271222,Special Kids Special Families,424 West Pikes Peak Avenue,Colorado Springs,CO,80905,,sksfcolorado.org
29567965505,Carasolva,1517 Easy Rider Lane,Boulder,CO,80304,,carasolva.com
29088593705,Helio Health,329 North Salina Street,Syracuse,NY,13203,,helio.health
29094604957,Bergen's Promise,3 University Plaza Drive,Hackensack,NJ,07601,,bergenspromise.org
29094139778,Jefferson Center,4851 Independence Street,Wheat Ridge,CO,80033,,jcmh.org
29096772123,Acenda Integrated Health,42 Delsea Drive South,Glassboro,NJ,08028,,acendahealth.org
29087720048,Aurora Mental Health & Recovery,791 Chambers Road,Aurora,CO,,,auroramhr.org
29096306844,Kaleida Health,100 High St,Buffalo,NY,,Non-Prospect,kaleidahealth.org
29086326019,Best Self,255 Delaware Avenue,Buffalo,NY,14202,,bestselfwny.org
29088747808,St. Joseph's Addiction Treatment & Recovery Centers,159 Glenwood Drive,Saranac Lake,NY,12983,,stjoestreatment.org
29091845016,New Jersey Association of Mental Health and Addiction Agencies,3575 Quakerbridge Road,Hamilton Township,NJ,08619,,njamhaa.org
29090296164,Greater Mental Health of New York,17515 West Nine Mile Road,Southfield,NY,48075,,greatermentalhealth.org
28373690925,ACM - Association for Computing Machinery,2 Pennsylvania Plaza,New York,NY,10121,,acm.org
26797970516,Reflik,285 Davidson Avenue,Franklin Township,NJ,08873,Prospect,reflik.com
26629341261,AVON BAKERY & DELI,,Edwards,CO,81632,,avonbakerydeli.com
26518407351,Bergen County Academies,540 North Farview Avenue,Paramus,NJ,07652,Non-Prospect,bergen.org
26508772098,Grace Care,100 Horizon Center Boulevard,Hamilton Township,NJ,08691,Influencer,gracecommunitycare.com
26388825480,Cold Technology,1001 Lower Landing Road,Blackwood,NJ,08012,Non-Prospect,coldtech.com
26324784285,Quest Diagnostics,,MADISON,NJ,07940,Non-Prospect,questdiagnostics.com
26106159454,McKinsey & Company,3 World Trade Ctr 175,New York City,NY,10007,Non-Prospect,www.mckinsey.com
26059488347,Equity Warrior Strategies,,Rochester,NY,,Non-Prospect,equitywarriorstrategies.com
25698635058,NADSP,1971 Western Avenue,Albany,NY,12203,,nadsp.org
25185024904,Proof Positive,115 Broadway,New York,NY,10006,,proofpositive.org
25171992667,Walsh Pizzi O'Reilly Falanga,100 Mulberry Street,Newark,NJ,07102,Non-Prospect,walsh.law
25185038631,The Bonadio Group,171 Sullys Trl,Pittsford,NY,14534,Non-Prospect,bonadio.com
24997165927,Common Energy,201 Varick Street,New York,NY,10014,,commonenergy.us
23771017815,"Comfort Care Zone,",900 New Jersey 168,Washington Township,NJ,08012,Client,comfortcarezone.com
23331561247,Tennyson Center for Children,2950 Tennyson Street,Denver,CO,80212,Prospect,tennysoncenter.org
23232922209,Rapps Pharmacy,611 Park Avenue,Plainfield,NJ,07060,Competitors,rappspharmacy.com
23215332497,Sol Weiss,303 Merrick Road,Lynbrook,NY,11563,,millinmedical.com
23077105486,Vales Health Consulting,,Yonkers,NY,,,valeshealthconsulting.com
22984534180,Community Health Center of the North Country,,Canton,NY,13617,,chcnorthcountry.org
22948843161,My Blog,147-13 Union Turnpike,,NY,11367,Non-Prospect,echofl.com
22287136330,Children's Hospital Colorado,13123 E 16th Ave,Aurora,CO,80045,Non-Prospect,childrenscolorado.org
22287301754,City and County of Denver,1437 Bannock Street,Denver,CO,80202,Non-Prospect,denvergov.org
22287288383,Jewish Family Service of Colorado,3201 South Tamarac Drive,Denver,CO,80231,Non-Prospect,jewishfamilyservice.org
22287003457,Family Voices CO,7323 South Alton Way,Englewood,CO,80112,Non-Prospect,familyvoicesco.org
22287221313,Broomfield Housing Alliance,26 Garden Center,Broomfield,CO,80020,Non-Prospect,broomfieldhousingalliance.org
22287265102,PROWERS COUNTY,301 South Main Street,Lamar,CO,81052,,prowerscounty.net
22286990443,Community Roots,,Lafayette,CO,80026,Prospect,communityrootscolorado.com
22287136329,Strive Colorado,950 Grand Avenue,Grand Junction,CO,81501,,strivecolorado.org
22287232315,Rocky Mountain Human Services,9900 East Iliff Avenue,Denver,CO,80231,,rmhumanservices.org
22287690389,Sample Supports,620 Kimbark Street,Longmont,CO,80501,Prospect,samplesupports.com
22287032586,Stepping Stone Support Center,9700 Old Coal Mine Avenue,Littleton,CO,80123,Prospect,steppingstonesupportcenter.com
22287448179,Colorado Parks and Wildlife,6060 Broadway,Denver,CO,80216,Non-Prospect,state.co.us
22287690387,Community Connections,281 Sawyer Drive,Durango,CO,81303,Non-Prospect,communityconnectionsco.org
22287370923,Eastern Colorado Services for the Developmentally Disabled,617 South 10th Avenue,Sterling,CO,80751,Pipeline,ecsdd.org
22287292932,The Resource Exchange,6385 Corporate Drive,Colorado Springs,CO,80919,Influencer,tre.org
22287340663,VitalCare,1400 West 122nd Avenue,Westminster,CO,80234,,vitalcare.us
22287281166,Our Own Lives,325 South Pine Street,Cortez,CO,81321,Prospect,ourownlives.org
22287160199,Tepeyac Community Health Center,2101 East 48th Avenue,Denver,CO,80216,,tepeyachealth.org
22031907848,Almatica Pharma,9 Campus Drive,Parsippany-Troy Hills,NJ,07054,,almatica.com
21945318326,Colorado State Public Defender,1300 Broadway,Denver,CO,80203,Non-Prospect,coloradodefenders.us
20878208791,Twinbash,,New York,NY,,Non-Prospect,twinbash.co
20174083926,Nyhrc,18 East 50th Street,New York,NY,10022,Prospect,nyhrc.com
20174192743,Urban League of Rochester,265 North Clinton Avenue,Rochester,NY,14605,Non-Prospect,ulr.org
20173593388,"The Viscardi Center, Inc.",201 I U Willets Road,Albertson,NY,11507,Non-Prospect,viscardicenter.org
20174227735,Southern Tier Connect,438 Main Street,Oneonta,NY,13820,Associaton,southerntierconnect.org
20174183849,MEANINGFUL NY INITIATIVES FOR PEOPLE WITH DISABILITIES,81 Willoughby Street,BROOKLYN,NY,11201,Prospect,meaningfulny.org
33649375413,Goodwill,,New York,NY,,Non-Prospect,goodwillny.org
20174192742,LIFEPlan CCO NY LLC,258 Genesee Street,Utica,NY,13502,Prospect,lifeplanccony.com
20174160719,myacany.org,,New York,NY,,Associaton,myacany.org
20174307717,Beyond Support Network,2495 Main Street,Buffalo,NY,14214,Pipeline,beyondwny.org
19921664901,State of New York,120 Broadway,New York,NY,10271,Non-Prospect,opwdd.ny.gov
19810286908,beken holdings,451 21st Avenue,Longmont,CO,80501,Non-Prospect,bekenholdings.com
19810516308,TACT,2960 South Umatilla Street,Englewood,CO,80110,Influencer,buildwithtact.org
19810350380,Envision,4732 West 26th Street,Greeley,CO,80634,Prospect,envisionco.org
19810424335,Flood and Peterson,4687 West 18th Street,,CO,80222,Non-Prospect,floodpeterson.com
19810286907,"Alvarez & Marsal Holdings, LLC",600 Madison Avenue,New York,NY,10022,Non-Prospect,alvarezandmarsal.com
19810309947,Attorneys at Oscislawski LLC,782 Alexander Road,Princeton,NJ,08540,Non-Prospect,oscislaw.com
19809656128,"Dynamic Dimensions, Inc.",,Burlington,CO,80807,Prospect,dynamicdimensions.org
19771785776,Healthy Wellbeing,228 Park Avenue South,New York,NY,10003,Non-Prospect,healthywellbeing.com
19652126278,Easter Seals New York,633 3rd Avenue,New York,NY,10017,Prospect,eastersealsny.org
19652165759,Emerge Professionals,400 South Colorado Boulevard,Denver,CO,80246,Non-Prospect,emergeprofessionals.com
19652004278,Alliesinc,20 Freedom Blvd,Lawrence Township,NJ,08648,Non-Prospect,alliesinc.org
19652843812,Transitional Living Services of Northern New York,482 Black River Parkway,Watertown,NY,13601,Non-Prospect,tlsnny.com
19651521546,Tasc,305 Bond Street,Asbury Park,NJ,07712,Non-Prospect,tascllc.com
19652181049,AOL.com,,New York,NY,10003,Non-Prospect,corp.aol.com
19612873395,Radiant Abilities,,Syracuse,NY,13031,Prospect,radiantabilities.com
19613890353,CAREGIVERS OF NEW JERSEY,1 Aaa Drive,Hamilton Township,NJ,08723,Influencer,njcaregivers.org
19613949500,Faith Home Healthcare,271 U.S. 46,Fairfield,NJ,07004,Non-Prospect,faithcareus.com
19613964878,State of New Jersey Department of Law and Public Safety,25 Market Street,Trenton,NJ,08611,Non-Prospect,dhs.nj.gov
19613976623,Sussex County Government,1 Spring Street,Newton,NJ,07860,Influencer,sussex.nj.us
19613955958,dsausa.net,3 High Street,South River,NJ,08882,Influencer,dsausa.net
19613441801,partnershipforsuccessfulliving.com,1229 Haddonfield-Berlin Road,Voorhees Township,NJ,08043,Non-Prospect,partnershipforsuccessfulliving.com
19613286558,Skylands Family Support,126 Belvidere Avenue,Washington,NJ,07882,Influencer,skylandsfamilyservices.com
19613377603,Circle of Strength,291 U.S. 1,Edison,NJ,08817,Non-Prospect,njcircleofstrength.com
19593840503,PASCO,9197 West 6th Avenue,Lakewood,CO,80215,Influencer,pascohh.com
19595205538,Spectrum Community Services,105 Lehigh Avenue,Pueblo,CO,81005,Prospect,spectrumco.com
19593845130,HORIZONS SPECIALIZED SERVICES,405 Oak Street,Steamboat Springs,CO,80487,Prospect,horizonsnwc.org
19574215815,SJ Nurses,850 Hamilton Avenue,Trenton,NJ,08629,Non-Prospect,sjnurses.com
19433057902,C.A.R.E. Inc.,1950 Aspen Cir,Pueblo,CO,81006,Prospect,www.careincresidential.com
19373171984,Panda Imprinting & Graphics,10 Fadem Road,Springfield,NJ,07081,Non-Prospect,pandaimprinting.com
19262935642,Better Life Experience,550 Thornton Pkwy Unit 118,Thornton,CO,80229,Prospect,ablecolorado.com
19262935640,Innovations,1665 Coal Creek Dr,Lafayette,CO,80026,Non-Prospect,innovationsbehavior.com
19262935632,Your Choice Residential,320 N Academy Blvd Ste 303A,Colorado Springs,CO,80909,Prospect,yourchoiceresidential.com
19262803063,CentrePoint Support Living,6892 S Yosemite Ct #1-101 A,Centennial,CO,80112,Prospect,centrepointsupportliving.com
19236998314,Metro Support Services,9035 Wadsworth Parkay,Broomfield,CO,80021,Influencer,metrosupport.net
19236998308,Starpoint,700 S 8th St.,Canon City,CO,81212,Prospect,starpointco.com
19178052633,Pueblo Regional Center,830 N Main St Ste 100,Pueblo,CO,81003,Prospect,www.prbd.com
19161074105,JEWISH FEDERATION OF SOUTHERN NEW JERSEY,1301 Springdale Road,Cherry Hill,NJ,08003,Prospect,jewishsouthjersey.org
19160794436,Nima Care Supported Living LLP,,,NJ,,Non-Prospect,
19160794389,"New Care Health Partners, LLC",,,NJ,,Non-Prospect,
19160674144,"Premier Supports, LLC",1600 Liberty Place,Gloucester Township,NJ,08081,Non-Prospect,premierebehavioralsupports.org
19160747172,RESCARE - NJ,,,NJ,,Prospect,
19160747083,Mentor ABI - NJ,,,NJ,,Prospect,
19160746904,Keystone Community Resources - NJ,,,NJ,,Client,
19160620839,Community Options Enterprises,,,NJ,,Non-Prospect,
19148413301,SEARCH DAY PROGRAM,73 Wickapecko Drive,Wanamassa,NJ,07712,Influencer,searchdayprogram.com
19149709375,The Special Children's Center,1400 Prospect Street,Lakewood Township,NJ,08701,Non-Prospect,thecenternj.org
19149675926,Caring For Families ,940 Flora Street,Elizabeth,NJ,07201,Prospect,caringforfamilies.net
19149607563,CODI,901 Atlantic Avenue,Egg Harbor City,NJ,08215,Non-Prospect,njcodi.org
19149585804,Windmill Alliance,141 Broadway,Bayonne,NJ,07002,Prospect,windmillalliance.org
19149786801,Chelsea Senior Living,316 South Avenue,Fanwood,NJ,07023,Non-Prospect,cslal.com
19149555871,Cones by Design,12 U.S. 206,Stanhope,NJ,07874,Pipeline,chcnj.org
19149709374,WAR Ministry,211 Warren Street,Newark,NJ,07103,Prospect,war-ministry.org
19149431188,COMMUNITY QUEST INC,6814 Tilton Road,Egg Harbor Township,NJ,08234,Prospect,cqinc.org
19149772718,APluscare,197 New Jersey 18,East Brunswick,NJ,08816,Prospect,apluscarellc.com
19149610593,Home,803 Hopkins Road,Haddonfield,NJ,08033,Non-Prospect,woodsmanor.org
19149744449,HollyDELL,610 Holly Dell Drive,Washington Township,NJ,08080,Non-Prospect,hollydell.org
33649375414,Our House Inc.,1609 S Wahsatch Ave,Colorado Springs,CO,80905,Prospect,ourhouseinc.org
18923245954,AGNES DENT HOMES I,4805 16TH ST,LUBBOCK,NY,71665,Prospect,suddenlink.net
18627617125,Nonprofit Management Services of Colorado,325 Inverness Drive South,Englewood,CO,80112,Influencer,nmscolo.org
18417318039,Cpnys,486 78th St,Brooklyn,NY,11209,Non-Prospect,cpnys.org
18015518379,Life Opportunities Unlimited,50 West Ridgewood Avenue,Ridgewood,NJ,07450,Prospect,lifeop.org
17735096608,New Test Company 3,,,NY,,Non-Prospect,
17735479068,TEST JP 3,,NYC,NY,,Pipeline,
17692731174,Bway.net,Po Box 1688,New York,NY,10013,Non-Prospect,bway.net
17692810766,Wraparound Services of the Hudson Valley,250 Tuyten Bridge Road,Lake Katrine,NY,12449,Prospect,wshv.org
17692736623,MVP Health Care,625 State St,Schenectady,NY,12305,Non-Prospect,mvphealthcare.com
17668468068,Paradigm LTC,125 Half Mile Rd,Red Bank,NJ,07701,Non-Prospect,paradigmltc.com
17667870368,Cumberland County College,3322 College Drive,Vineland,NJ,08360,Client,cccnj.edu
17568990209,Integrated Life Choices Colorado,7800 S Elati Street Suite 111,Littleton,CO,80120,Pipeline,ilc.net
17520381494,NEWFAC - RHA NJ SOUTH (NJ-S),,,NJ,,Client,
17520236589,NEWFAC - RHA NJ NORTH (NJ-N),,,NJ,,Client,
17509024331,KAAUM ENTERPRISES,6675 Bear Tooth Drive,Colorado Springs,CO,80923,Prospect,kaaumenterprises.com
17459236260,IGHI,,,NY,,Prospect,ighi.org
17409998206,Premier Healthcare,48 Bi State Plaza,Old Tappan,NJ,07675,Non-Prospect,premierhealthcare.com
17324166215,"A Sub Above, LLC",2251 Landmark Pl,Manasquan,NJ,08736,Non-Prospect,jerseymikes.com
17304398211,Paraprofessional Healthcare Institute,400 E FORDHAM RD,Bronx,NY,10458,Non-Prospect,phinational.org
17301437491,University at Buffalo,701 Ellicott Street,Buffalo,NY,14203,Non-Prospect,buffalo.edu
17152974921,Building Maintenance and Facility Services,1 LIBERTY PLZ,New York,NY,10006,Non-Prospect,abm.com
17088971298,Steadfast Support Services,450 PARK AVE,New York,NY,10022,Prospect,steadfast.org
17048749645,Emerge,412 Linden Avenue,Rochester,NY,14625,Non-Prospect,emerge360.com
16624422438,Matheny Medical and Educational Center,339 PO Box,Peapack,NJ,07977,Associaton,matheny.org
33649375391,AbleLight - Colorado,5941 Middlefield Rd #100,littleton,CO,80123,Prospect,ablelight.org
16384515943,Center for Independence,740 Gunnison Ave,Grand Junction,CO,81501,Prospect,cfigj.org
16382165280,CommunitySupportsNet,170 Changebridge Road,Montville,NJ,07045,Prospect,yourcsn.com
16368967068,SOBA New Jersey,104 Bayard Street,New Brunswick,NJ,08901,Non-Prospect,sobanewjersey.com
16369505652,Rutgers University,406 PENN,New Brunswick,NJ,08901,Prospect,rutgers.edu
16330518188,Ramapo for Children,22 Camp Ramapo Road,Rhinebeck,NY,12572,Prospect,ramapoforchildren.org
16330208925,EPRINE COMMUNITY SERVICES,1650 Eastern Parkway,BROOKLYN,NY,11233,Prospect,eprine.com
16249367647,Verizon Data Services LLC,1095 6th Avenue,New York,NY,10036,Non-Prospect,verizonwireless.com
16181576030,Karuna Care Services,890 West Cherry Street,Louisville,CO,80027,Prospect,karunacareservices.com
16171838064,Cooper Medical Education,1 Cooper Plaza,Camden,NJ,08103,Influencer,cooperhealth.edu
16156273681,Center for Health Care Strategies,200 American Metro Boulevard,Hamilton Township,NJ,08619,Non-Prospect,chcs.org
16096548185,Camphill Village USA,84 Camphill Rd,Copake,NY,12516,Prospect,camphillvillage.org
16005006660,Wyndham Hotel Group LLC,22 Sylvan Way,Parsippany-Troy Hills,NJ,07054,Non-Prospect,wyndham.com
15668724817,uniteus.com,65 North Moore Street,New York,NY,10013,Non-Prospect,uniteus.com
15668001918,National Down Syndrome Society,8 East 41st Street,New York,NY,10017,Influencer,ndss.org
15668679471,SAGE,305 7th Avenue,New York,NY,10001,Non-Prospect,sageusa.org
15529074061,Community Link,6290 Lookout Road,Boulder,CO,80301,Prospect,communitylinkcolorado.org
15529443403,Colorado Blue Sky Enterprises,115 West 2nd Street,Pueblo,CO,81003,Pipeline,coloradoblueskyenterprises.org
15528709676,Wellspring Community,826 Park Street,Castle Rock,CO,80109,Prospect,wearewellspring.org
15528995746,voaches.org,7901 Annapolis Road,Lanham,CO,20706,Non-Prospect,voaches.org
15528762642,Ariel Clinical Services,2938 North Avenue Ste. G,Grand Junction,CO,81504,Prospect,arielcpa.org
15529047952,Elevated Supports,201 Coffman Street,Longmont,CO,80501,Prospect,elevatedsupports.com
15451758232,JPMorgan Chase & Co.,383 Madison Avenue,New York,NY,10017,Non-Prospect,jpmorganchase.com
15412255622,The Arc Steuben,1 Arc Way,Bath,NY,14810,Prospect,thearcas.org
15024144809,TTE Filters,1 Magnetic Parkway,Gowanda,NY,14070,Non-Prospect,tte.com
11043929475,biotech-gate.com,330 Madison Avenue,New York,NY,10017,Non-Prospect,biotech-gate.com
10926204161,DUTCHESS CO. NYSARC  INC.,84 PATRICK LANE,POUGHKEEPSIE,NY,12603,Prospect,dutchess-arc.org
10927901214,STEUBEN CO. NYSARC  INC.,ONE ARC WAY,BATH,NY,14810,Prospect,arcofsteuben.org
10927876773,SUFFOLK CO. NYSARC  INC.,2900 VETERANS MEMORIAL HIGHWAY,BOHEMIA,NY,11716,Prospect,ahrcsuffolk.org
10926901021,The Arc of Adams County,641 East 112th Avenue,Northglenn,CO,80233,Prospect,arcadams.org
10911495286,"Solutions, In",,,CO,,Non-Prospect,
10633255973,Foundation,4435 North Chestnut Street,Colorado Springs,CO,80907,Non-Prospect,skillsacademyvc.org
10603922025,Atlantic Health System,99 Beauvoir Avenue,Summit,NJ,07901,Prospect,atlantichealth.org
10548766482,Comprehensive Services of Tennessee,115 S. King Avenue ,Dyersburg,NY,38024,Influencer,
10526401303,"Comprehensive Consultation Psychological Services, P.C.",114-20 Queens Boulevard,Forest Hills,NY,11375,Non-Prospect,comprehendthemind.com
10526658578,Mountain Tiger,4475 West 58th Avenue,Arvada,CO,80002,Non-Prospect,mountaintiger.org
10526503335,HORIZON CONSULTING GROUP LLC,4972 South Zephyr Street,Littleton,CO,80123,Non-Prospect,horizonconsultinggroup.org
10409120924,ArcBuildingPartners,100 South Elmwood Avenue,Buffalo,NY,14202,Non-Prospect,arcbuildingpartners.com
10409182843,arc Thrift Stores,12345 W Alameda Pkwy Ste 111,Lakewood,CO,80228,Non-Prospect,arcthrift.com
10409339009,The Arc,985 Livingston Ave,North Brunswick,NJ,08902,Non-Prospect,thearcfamilyinstitute.org
10409339008,The Arc Kohler School,1137 Globe Ave,Mountainside,NJ,07092,Non-Prospect,kohleracademynj.org
10409339006,The Arc Mid-Hudson,575 Drewville Rd,Carmel,NY,10512,Prospect,putnamarc.org
