"20 Papermill Road (Network, Inc.) ",North,20 Papermill Road ,"Network, Inc.) "
"200 John Olds Drive - Unit 111 (Journey Found, Inc.) ",North,200 John Olds Drive - Unit 111 ,"Journey Found, Inc.) "
"200 John Olds Drive - Unit 112 (Journey Found, Inc.) ",North,200 John Olds Drive - Unit 112 ,"Journey Found, Inc.) "
"201 Woodruff Street (The Arc of Southington, Inc.) ",North,201 Woodruff Street ,"The Arc of Southington, Inc.) "
"202 Hunter's Lane (RMS Development, Inc.) ",North,202 Hunter's Lane ,"RMS Development, Inc.) "
21 Lowrey Place (MOSAIC) ,North,21 Lowrey Place ,MOSAIC) 
"21 Norton Trail (Key Service Systems, Inc.) ",North,21 Norton Trail ,"Key Service Systems, Inc.) "
21 Rosewood Lane (OAK HILL)  ,North,21 Rosewood Lane ,OAK HILL)  
210 Hayes Road (OAK Hill) ,North,210 Hayes Road ,OAK Hill) 
"211 Covell Road (Sunrise Northeast, Inc.)  ",North,211 Covell Road ,"Sunrise Northeast, Inc.)  "
"22 Barbour Road (CCARC, Inc.) ",North,22 Barbour Road ,"CCARC, Inc.) "
"22 Philmar Drive (Whole Life, Inc.) ",North,22 Philmar Drive ,"Whole Life, Inc.) "
225 Duncaster Road (OAK HILL),North,225 Duncaster Road ,OAK HILL)
"226 Roslyn Drive (Community Residences, Inc.)",North,226 Roslyn Drive ,"Community Residences, Inc.)"
227 Sam Greene Road (OAK HILL)   ,North,227 Sam Greene Road ,OAK HILL)   
"23 Millbrook Circle (MARCH, Inc. of Manchester)",North,23 Millbrook Circle ,"MARCH, Inc. of Manchester)"
"23 Tamarack Road (Catholic Charities Family Services, Inc.) ",North,23 Tamarack Road ,"Catholic Charities Family Services, Inc.) "
"232 Thornbush Road (RMS Development, Inc.) ",North,232 Thornbush Road ,"RMS Development, Inc.) "
24 Evans Drive (OAK Hill) ,North,24 Evans Drive ,OAK Hill) 
"24 Glenwood Drive (Prime Care, Inc.) ",North,24 Glenwood Drive ,"Prime Care, Inc.) "
242 Mountain Road (DDS) ,North,242 Mountain Road ,DDS) 
248 Ridgewood Road (RMS Development) ,North,248 Ridgewood Road ,RMS Development) 
"249 Chestnut Hill Road (Whole Life, Inc.) ",North,249 Chestnut Hill Road ,"Whole Life, Inc.) "
25 Center Street (VINFEN Connecticut) ,North,25 Center Street ,VINFEN Connecticut) 
25 North Church Street (OAK HILL),North,25 North Church Street ,OAK HILL)
25 Phelps Road (Allied Group),North,25 Phelps Road ,Allied Group)
"25 Ruth Street (Network, Inc.) ",North,25 Ruth Street ,"Network, Inc.) "
"25 Tamarack Road (Catholic Charities Family Services, Inc.)",North,25 Tamarack Road ,"Catholic Charities Family Services, Inc.)"
"251 Osgood Avenue-A (CCARC, Inc.)",North,251 Osgood Avenue-A ,"CCARC, Inc.)"
"251 Osgood Avenue-B (CCARC, Inc.)",North,251 Osgood Avenue-B ,"CCARC, Inc.)"
"255 Avon Mountain Road (FAVARH, Inc.)",North,255 Avon Mountain Road ,"FAVARH, Inc.)"
255 Tryon Road (The Caring Community) ,North,255 Tryon Road ,The Caring Community) 
"26 Prospect Street (GHARC, Inc.)",North,26 Prospect Street ,"GHARC, Inc.)"
"260 Grandview Terrace (Humanidad, Inc.) ",North,260 Grandview Terrace ,"Humanidad, Inc.) "
"260 South Street (Community Residences, Inc.)",North,260 South Street ,"Community Residences, Inc.)"
"269 West Street (The Arc of Southington, Inc.) ",North,269 West Street ,"The Arc of Southington, Inc.) "
27 Center Street (VINFEN Connecticut) ,North,27 Center Street ,VINFEN Connecticut) 
"27 Pleasant Road (Sunrise Northeast, Inc.)",North,27 Pleasant Road ,"Sunrise Northeast, Inc.)"
"271 West Street (The Arc of Southington, Inc.) ",North,271 West Street ,"The Arc of Southington, Inc.) "
2716 Hebron Avenue (OAK HILL) ,North,2716 Hebron Avenue ,OAK HILL) 
272 Glendale Drive (MOSAIC),North,272 Glendale Drive ,MOSAIC)
274 Brewster Road (Oak Hill),North,274 Brewster Road ,Oak Hill)
"28 Gorman Place (Prime Care, Inc.)  ",North,28 Gorman Place ,"Prime Care, Inc.)  "
"28 Old Kimball Road (Whole Life, Inc.)",North,28 Old Kimball Road ,"Whole Life, Inc.)"
"28 Tamarack Circle (The ARC of Eastern Connecticut, Inc.) ",North,28 Tamarack Circle ,"The ARC of Eastern Connecticut, Inc.) "
"282 Overlook Road (Sunrise Northeast, Inc.)  ",North,282 Overlook Road ,"Sunrise Northeast, Inc.)  "
"283 Long Hill Road (Journey Found, Inc.)",North,283 Long Hill Road ,"Journey Found, Inc.)"
"286 Bidwell Street (MARCH, Inc. of Manchester) ",North,286 Bidwell Street ,"MARCH, Inc. of Manchester) "
292 Carriage Way (WILA) ,North,292 Carriage Way ,WILA) 
"293 Long Hill Road (Journey Found, Inc.) ",North,293 Long Hill Road ,"Journey Found, Inc.) "
"299 Paine Road (Community Residences, Inc.)",North,299 Paine Road ,"Community Residences, Inc.)"
"3 Crestview Circle (Allied Rehabilitation Centers, Inc.) ",North,3 Crestview Circle ,"Allied Rehabilitation Centers, Inc.) "
"3 Leila Lane (Network, Inc.) ",North,3 Leila Lane ,"Network, Inc.) "
3 Little Lane (MOSAIC),North,3 Little Lane ,MOSAIC)
"3 Powder Ridge Road (Allied Rehabilitation Centers, Inc.)",North,3 Powder Ridge Road ,"Allied Rehabilitation Centers, Inc.)"
"30 George Road (Community Residences, Inc.)",North,30 George Road ,"Community Residences, Inc.)"
"30 Rolling View (MARCH, Inc. of Manchester) ",North,30 Rolling View ,"MARCH, Inc. of Manchester) "
"30 West Road (Network, Inc.) ",North,30 West Road ,"Network, Inc.) "
"30 Woodland Street (RMS Development, Inc.) ",North,30 Woodland Street ,"RMS Development, Inc.) "
"30 Woodland Street, Apt. G12 (RMS Development, Inc.) ",North,"30 Woodland Street, Apt. G12 ","RMS Development, Inc.) "
300 Spring Street (Mosaic) ,North,300 Spring Street ,Mosaic) 
"31 Woodland Street, Apt. 3L (RMS Development, Inc.) ",North,"31 Woodland Street, Apt. 3L ","RMS Development, Inc.) "
"31 Woodland Street, Apt. 5L (RMS Development, Inc.) ",North,"31 Woodland Street, Apt. 5L ","RMS Development, Inc.) "
310 Beelzebub Road (DDS) ,North,310 Beelzebub Road ,DDS) 
"311 Church Street (Sunrise Northeast, Inc.)   ",North,311 Church Street ,"Sunrise Northeast, Inc.)   "
312 Windsor Avenue (VINFEN Connecticut) ,North,312 Windsor Avenue ,VINFEN Connecticut) 
"314 Summer Street (The Arc of Southington, Inc.) ",North,314 Summer Street ,"The Arc of Southington, Inc.) "
"328 Maple Street (Community Residences, Inc.) ",North,328 Maple Street ,"Community Residences, Inc.) "
33 Old Colchester Road (OAK Hill)   ,North,33 Old Colchester Road ,OAK Hill)   
33 Pelham Road (MOSAIC) ,North,33 Pelham Road ,MOSAIC) 
"334 Lake Street (Sunrise Northeast, Inc.)",North,334 Lake Street ,"Sunrise Northeast, Inc.)"
"34 Five Mile River Road (Network, Inc.)",North,34 Five Mile River Road ,"Network, Inc.)"
"34 Noch Lane (Key Service Systems, Inc.)  ",North,34 Noch Lane ,"Key Service Systems, Inc.)  "
344 South Street (OAK Hill) ,North,344 South Street ,OAK Hill) 
347 North Street (DDS) ,North,347 North Street ,DDS) 
35 Banbury Lane (MOSAIC) ,North,35 Banbury Lane ,MOSAIC) 
"351 Main Street (FAVARH, Inc.) ",North,351 Main Street ,"FAVARH, Inc.) "
"357 Birch Street (Community Residences, Inc.)",North,357 Birch Street ,"Community Residences, Inc.)"
36 Thunderbird Drive (Adelbrook Community Services Inc.),North,36 Thunderbird Drive ,Adelbrook Community Services Inc.)
"37 Ardmore Road (GHARC, Inc.)",North,37 Ardmore Road ,"GHARC, Inc.)"
"371 King Street (Options Unlimited, Inc.)  ",North,371 King Street ,"Options Unlimited, Inc.)  "
"372 Bailey Hill Road (Sunrise Northeast, Inc.)  ",North,372 Bailey Hill Road ,"Sunrise Northeast, Inc.)  "
"377 Day Street (Sunrise Northeast, Inc.) ",North,377 Day Street ,"Sunrise Northeast, Inc.) "
38 Benny Drive (CREC)  ,North,38 Benny Drive ,CREC)  
38 Great Pond Road (DDS North Region) ,North,38 Great Pond Road ,DDS North Region) 
"38 Lafantasie Road (The ARC of Eastern Connecticut, Inc.) ",North,38 Lafantasie Road ,"The ARC of Eastern Connecticut, Inc.) "
"385 Maple Street (RMS Development, Inc.) ",North,385 Maple Street ,"RMS Development, Inc.) "
"39 Ardmore Road (GHARC, Inc.)",North,39 Ardmore Road ,"GHARC, Inc.)"
"39 Vernwood Drive (Sunrise Northeast, Inc.) ",North,39 Vernwood Drive ,"Sunrise Northeast, Inc.) "
395 Church Street (DDS),North,395 Church Street ,DDS)
40 Andrew Lane (VINFEN Connecticut) ,North,40 Andrew Lane ,VINFEN Connecticut) 
40 Phelps Street (WILA) ,North,40 Phelps Street ,WILA) 
"400 North Main Street Unit 11 (MARCH, Inc. of Manchester) ",North,400 North Main Street Unit 11 ,"MARCH, Inc. of Manchester) "
"41 Leverich Drive (Options Unlimited, Inc.)  ",North,41 Leverich Drive ,"Options Unlimited, Inc.)  "
411 Wetherell Street (DDS) ,North,411 Wetherell Street ,DDS) 
"414 Poquonock Avenue (Prime Care, Inc.) ",North,414 Poquonock Avenue ,"Prime Care, Inc.) "
"415 Kennedy Road (Prime Care, Inc.)",North,415 Kennedy Road ,"Prime Care, Inc.)"
"42 Woodland Avenue (HARC, Inc.)",North,42 Woodland Avenue ,"HARC, Inc.)"
"43 Northam Road (Whole Life, Inc.) ",North,43 Northam Road ,"Whole Life, Inc.) "
"43 Welsh Street (NEPS, Inc.) ",North,43 Welsh Street ,"NEPS, Inc.) "
"434 Middle Road (FAVARH, Inc.) ",North,434 Middle Road ,"FAVARH, Inc.) "
"437 Prospect Street (MARCH, Inc. of Manchester) ",North,437 Prospect Street ,"MARCH, Inc. of Manchester) "
"44 Little Oak Lane (GHARC, Inc.) ",North,44 Little Oak Lane ,"GHARC, Inc.) "
"441 South Main, Bldg. 3, Unit 15 (MARCH, Inc. of Manchester) ",North,"441 South Main, Bldg. 3, Unit 15 ","MARCH, Inc. of Manchester) "
464 Broad Street Unit 1 LL (VINFEN Connecticut) ,North,464 Broad Street Unit 1 LL ,VINFEN Connecticut) 
464 Broad Street Unit 2 UL (VINFEN Connecticut) ,North,464 Broad Street Unit 2 UL ,VINFEN Connecticut) 
"474 Route 87 (Sunrise Northeast, Inc.)",North,474 Route 87 ,"Sunrise Northeast, Inc.)"
48 Elm Street (CIB) ,North,48 Elm Street ,CIB) 
"48 Piper Lane (Community Residences, Inc.)  ",North,48 Piper Lane ,"Community Residences, Inc.)  "
"485/487 High Road (CCARC, Inc.)",North,485/487 High Road ,"CCARC, Inc.)"
"487 Middle Road (Options Unlimited, Inc.) ",North,487 Middle Road ,"Options Unlimited, Inc.) "
"49 Ash Road (Allied Rehabilitation Centers, Inc.) ",North,49 Ash Road ,"Allied Rehabilitation Centers, Inc.) "
"49 Burnwood Drive (HARC, Inc.)",North,49 Burnwood Drive ,"HARC, Inc.)"
"49 Tunnel Road (MARCH, Inc. of Manchester) ",North,49 Tunnel Road ,"MARCH, Inc. of Manchester) "
"490 Green Hollow Road (Whole Life, Inc.) ",North,490 Green Hollow Road ,"Whole Life, Inc.) "
496 Plainville Avenue (Catholic Charities) ,North,496 Plainville Avenue ,Catholic Charities) 
"499 Vernon Street (Network, Inc.)  ",North,499 Vernon Street ,"Network, Inc.)  "
"4A Scalise Drive (Key Human Services, Inc.)",North,4A Scalise Drive ,"Key Human Services, Inc.)"
"5 Gooseberry Hill (RMS Development, Inc.) ",North,5 Gooseberry Hill ,"RMS Development, Inc.) "
"5 Quaker Road (MARC, Inc. of Manchester)",North,5 Quaker Road ,"MARC, Inc. of Manchester)"
"50 Crane Hill Road (Horizons, Inc.)",North,50 Crane Hill Road ,"Horizons, Inc.)"
"50 Eastern Drive (HARC, Inc.) ",North,50 Eastern Drive ,"HARC, Inc.) "
50 Lochview Drive (WILA),North,50 Lochview Drive ,WILA)
50 Taos Drive (DDS) ,North,50 Taos Drive ,DDS) 
505 Middle Turnpike (DDS) ,North,505 Middle Turnpike ,DDS) 
510 Stonehouse Road (OAK HILL) ,North,510 Stonehouse Road ,OAK HILL) 
515 Maple Hill Avenue (DDS) ,North,515 Maple Hill Avenue ,DDS) 
"52 Brown Street (Key Human Services, Inc.)",North,52 Brown Street ,"Key Human Services, Inc.)"
52 Taos Drive (DDS) ,North,52 Taos Drive ,DDS) 
521 Maple Hill Avenue (DDS),North,521 Maple Hill Avenue ,DDS)
"525 Waterbury Road (Community Residences, Inc.)",North,525 Waterbury Road ,"Community Residences, Inc.)"
545 Bloomfield Avenue (OAK HILL) ,North,545 Bloomfield Avenue ,OAK HILL) 
"545 Wauregan Road (Whole Life, Inc.)",North,545 Wauregan Road ,"Whole Life, Inc.)"
546 Bloomfield Avenue (Catholic Charities) ,North,546 Bloomfield Avenue ,Catholic Charities) 
"552 Country Club Road (FAVARH, Inc.) ",North,552 Country Club Road ,"FAVARH, Inc.) "
555 Pomfret Street (The ARC of Eastern Connecticut),North,555 Pomfret Street ,The ARC of Eastern Connecticut)
"573 Woodbridge Street (MARCH, Inc. of Manchester)  ",North,573 Woodbridge Street ,"MARCH, Inc. of Manchester)  "
575 Poquonock Avenue (WILA),North,575 Poquonock Avenue ,WILA)
"575 Worthington Ridge (Catholic Charities, Inc.)",North,575 Worthington Ridge ,"Catholic Charities, Inc.)"
"59 Dunn Hill Road (Whole Life, Inc.)",North,59 Dunn Hill Road ,"Whole Life, Inc.)"
"590 South Main Street (Journey Found, Inc.) ",North,590 South Main Street ,"Journey Found, Inc.) "
"6 Brentmoor Road (GHARC, Inc.)  ",North,6 Brentmoor Road ,"GHARC, Inc.)  "
"60 Little Oak Lane (GHARC, Inc.) ",North,60 Little Oak Lane ,"GHARC, Inc.) "
60 Nepaug Road (OAK HILL),North,60 Nepaug Road ,OAK HILL)
600 South Street (MOSAIC) ,North,600 South Street ,MOSAIC) 
"61 Bolton Street (RMS Development, Inc.)   ",North,61 Bolton Street ,"RMS Development, Inc.)   "
"610 Burlington Avenue (CCARC, Inc.) ",North,610 Burlington Avenue ,"CCARC, Inc.) "
"62 Juniper Lane (FAVARH, Inc.) ",North,62 Juniper Lane ,"FAVARH, Inc.) "
"62 Little Oak Lane (GHARC, Inc.) ",North,62 Little Oak Lane ,"GHARC, Inc.) "
62 Rosetto Drive (OAK HILL)  ,North,62 Rosetto Drive ,OAK HILL)  
"636 East Middle Tpke (MARCH, Inc. of Manchester)  ",North,636 East Middle Tpke ,"MARCH, Inc. of Manchester)  "
64 Rosetto Drive (OAK HILL),North,64 Rosetto Drive ,OAK HILL)
"65 Coppermill Road (RMS Development, Inc.)",North,65 Coppermill Road ,"RMS Development, Inc.)"
"65 Old Cider Mill Road (Prime Care, Inc.) ",North,65 Old Cider Mill Road ,"Prime Care, Inc.) "
66 Ridgecrest Lane (BARC),North,66 Ridgecrest Lane ,BARC)
"661 Bloomfield Avenue (Whole Life, Inc.) ",North,661 Bloomfield Avenue ,"Whole Life, Inc.) "
"67 Granite Road (Alternative Services, Inc.)  ",North,67 Granite Road ,"Alternative Services, Inc.)  "
"67 Marion Drive (Network, Inc.) ",North,67 Marion Drive ,"Network, Inc.) "
"67 Wildflower Road (Key Human Services, Inc.)",North,67 Wildflower Road ,"Key Human Services, Inc.)"
"675 North Main Street (141) (MARCH, Inc. of Manchester)  ",North,675 North Main Street ,141) 
"675 North Main Street (164) (MARCH, Inc. of Manchester)",North,675 North Main Street ,164) 
"68 Susan Drive (Network, Inc.)",North,68 Susan Drive ,"Network, Inc.)"
70 Mack Street (WILA),North,70 Mack Street ,WILA)
"71 John Olds Drive - Unit 104 (MARC, Inc. of Manchester) ",North,71 John Olds Drive - Unit 104 ,"MARC, Inc. of Manchester) "
"71 John Olds Drive - Unit 110 (MARC, Inc. of Manchester) ",North,71 John Olds Drive - Unit 110 ,"MARC, Inc. of Manchester) "
"723 Plainville Avenue (Community Residences, Inc.) ",North,723 Plainville Avenue ,"Community Residences, Inc.) "
"73 East Street (Whole Life, Inc.)  ",North,73 East Street ,"Whole Life, Inc.)  "
"76 Scarborough Road (Whole Life, Inc.)",North,76 Scarborough Road ,"Whole Life, Inc.)"
765 Prospect Street (OAK HILL) ,North,765 Prospect Street ,OAK HILL) 
772R Goodwin Street (DDS North Region)  ,North,772R Goodwin Street ,DDS North Region)  
79 Mountain Road (DDS) ,North,79 Mountain Road ,DDS) 
"79 Raynel Road (Community Residences, Inc.) ",North,79 Raynel Road ,"Community Residences, Inc.) "
795 Tolland Turnpike (VINFEN Connecticut) ,North,795 Tolland Turnpike ,VINFEN Connecticut) 
"8 Alden Road (Community Residences, Inc.)",North,8 Alden Road ,"Community Residences, Inc.)"
8 Beman Lane (Mosaic),North,8 Beman Lane ,Mosaic)
8 Card Street (DDS) ,North,8 Card Street ,DDS) 
8 Carriage Drive (OAK HILL)  ,North,8 Carriage Drive ,OAK HILL)  
"8 Linwood Drive (Sunrise Northeast, Inc.) ",North,8 Linwood Drive ,"Sunrise Northeast, Inc.) "
80 Route 66 (MOSAIC),North,80 Route 66 ,MOSAIC)
"82 Baker Road (MARCH, Inc. of Manchester) ",North,82 Baker Road ,"MARCH, Inc. of Manchester) "
82 River View Drive (VINFEN Connecticut) ,North,82 River View Drive ,VINFEN Connecticut) 
