TTE Fac ID,Record ID,Company name,Parent Company,Company owner,Create Date,Phone Number,Last Activity Date,City,Country/Region,Industry,Visit 1 Date,Visit 2 Date,Visit Number,Total Visits,TTE FacID,Nursing Station Number,Location Type,State/Region,Primary Identifier
7731,10249568830,NEW DAY INTERMEDIATE CARE,,,2022-12-05 18:29,,,LIVINGSTON,,,,,,,,,,TX,Client
119999,10250267941,KY FC/SHL,,,2022-12-05 18:29,,,(STATE WIDE),,,,,,,,,,KY,Client
113204,10249424527,D&S - MOREHEAD (KY),,,2022-12-05 18:29,,,MOREHEAD,,,,,,,,,,KY,Client
112135,10250248544,DAYSPRING FHP (KY),,,2022-12-05 18:29,,,LOUISVILLE,,,,,,,,,,KY,Client
112130,10250232857,OPEN DOORS INC (KY),,,2022-12-05 18:29,,,LOUISVILLE,,,,,,,,,,KY,Client
SAMSC,10249560620,TARRYTOWN EXPOCARE SC,,,2022-12-05 18:29,,,LEXINGTON,,,,,,,,,,SC,Client
SAMPLE,10249568828,EXPOCARE SAMPLE FACILITY,,,2022-12-05 18:29,,,AUSTIN,,,,,,,,,,TX,Client
5975,10249470005,ST. GILES - BAYTOWN,,,2022-12-05 18:29,,,BAYTOWN,,,,,,,,,,TX,Client
SAMIL,10250315933,TARRYTOWN EXPOCARE IL,,TJ Drudi,2022-12-05 18:29,,,CHICAGO,,,,,,,,,,IL,Client
SAMGA,10250282370,TARRYTOWN EXPOCARE GA,,,2022-12-05 18:29,,,THOMSON,,,,,,,,,,GA,Client
IDDEXP,10248716092,IDD AGENCY,,,2022-12-05 18:29,,,AUSTIN,,,,,,,,,,TX,Client
9999,10250232856,FC / SHL,,,2022-12-05 18:29,,,(STATE WIDE),,,,,,,,,,TX,Client
9930,10249519907,D&S AUSTIN AREA HOST HOMES,,,2022-12-05 18:29,,,AUSTIN,,,,,,,,,,TX,Client
9251,10250198331,ABUNDANT LIFE - PARIS,,,2022-12-05 18:29,,,PARIS,,,,,,,,,,TX,Client
7702,10249497001,ABIDING CHOICE,,,2022-12-05 18:29,,,ROCKDALE,,,,,,,,,,TX,Client
5283,10249554089,CAREGIVER - PLANO,,,2022-12-05 18:29,,,CARROLLTON,,,,,,,,,,TX,Client
182107,10249487720,MERCER VAN WERT (OH),,TJ Drudi,2022-12-05 18:29,,,VAN WERT,,,,,,,,,,OH,Client
SAMNJ,10249560619,TARRYTOWN EXPOCARE NJ,,,2022-12-05 18:29,,,ELMWOOD PARK,,,,,,,,,,NJ,Client
182101,10249536013,MERCER RES SERV ICF (OH),,TJ Drudi,2022-12-05 18:29,,,CELINA,,,,,,,,,,OH,Client
7367,10249527652,COMMUNITY OPTIONS - AMARILLO,,,2022-12-05 18:29,,,AMARILLO,,,,,,,,,,TX,Client
7365,10250282369,COMMUNITY OPTIONS - DALLAS,,,2022-12-05 18:29,,,DALLAS,,,,,,,,,,TX,Client
6750,10250259557,LIFE CHOICES-EDINBURG EN/SP,,,2022-12-05 18:29,,,EDINBURG,,,,,,,,,,TX,Client
6737,10250259556,LIFE CHOICES - DEL RIO,,,2022-12-05 18:29,,,DEL RIO,,,,,,,,,,TX,Client
5979,10249446165,ST.GILES BEAUMONT- ICF,,,2022-12-05 18:29,,,BEAUMONT,,,,,,,,,,TX,Client
537305,10249519905,COMM OPT - WEST VALLEY (UT),,,2022-12-05 18:29,,,WEST VALLEY,,,,,,,,,,UT,Client
512131,10250208037,ASPIRE DVLPMNTL SRV -NODH (NM),,,2022-12-05 18:29,,,ROSWELL,,,,,,,,,,NM,Client
502117,10249424526,NEW FAC - PPEP TUCSON (AZ),,,2022-12-05 18:29,,,TUCSON,,,,,,,,,,AZ,Client
502115,10250208035,NEW FAC -PPEP CASA GRANDE (AZ),,,2022-12-05 18:29,,,CASA GRANDE,,,,,,,,,,AZ,Client
472002,10250208034,FIRST RESOURCES OTTUMWA (IA),,,2022-12-05 18:29,,,OTTUMWA,,,,,,,,,,IA,Client
4701,10249487719,TEXANA ROSENBERG,,,2022-12-05 18:29,,,ROSENBERG,,,,,,,,,,TX,Client
462014,10249424525,NEWFAC-HOH BELLEVUE/OMAHA (NE),,,2022-12-05 18:29,,,BELLEVUE,,,,,,,,,,NE,Client
462010,10249470004,HOH LINCOLN (NE),,,2022-12-05 18:29,,,LINCOLN,,,,,,,,,,NE,Client
462007,10248773430,HOH FREMONT (NE),,,2022-12-05 18:29,,,FREMONT,,,,,,,,,,NE,Client
462005,10250198327,HOH KEARNEY (NE),,,2022-12-05 18:29,,,KEARNEY,,,,,,,,,,NE,Client
462001,10249527649,HOH GRAND ISLAND (NE),,,2022-12-05 18:29,,,GRAND ISLAND,,,,,,,,,,NE,Client
414505,10250241044,PIASA MANOR (ICF) (DDMS) (IL),,TJ Drudi,2022-12-05 18:29,,,GODFREY,,,,,,,,,,IL,Client
412705,10249514092,UCP SEGUIN SOUTH (IL(STE)),,TJ Drudi,2022-12-05 18:29,,,CICERO,,,,,,,,,,IL,Client
412703,10250241043,UCP SEGUIN WEST (IL(STE)),,TJ Drudi,2022-12-05 18:29,,,CICERO,,,,,,,,,,IL,Client
412153,10249514091,LINDEN ESTATES (ICF) (IL),,TJ Drudi,2022-12-05 18:29,,,MORTON,,,,,,,,,,IL,Client
412151,10249568827,OAKWOOD ESTATES (ICF) (IL),,TJ Drudi,2022-12-05 18:29,,,MORTON,,,,,,,,,,IL,Client
182103,10249424523,NEWFAC-CIRCULO JACKSON CTY(OH),,TJ Drudi,2022-12-05 18:29,,,WESLLSTON,,,,,,,,,,OH,Client
396125,10249554086,DUNGARVIN SOUTH (NJ-S),,,2022-12-05 18:29,,,SOMERSET,,,,,,,,,,NJ,Client
392125,10250224171,DUNGARVIN NORTH (NJ-N),,,2022-12-05 18:29,,,SOMERSET,,,,,,,,,,NJ,Client
392069,10250267938,TENDER CARE - NO DH (NJ-N),,,2022-12-05 18:29,,,UNION,,,,,,,,,,NJ,Client
377003,10249424522,COMM OPT LEHIGH (NODH)(PA-N),,,2022-12-05 18:29,,,ALLENTOWN,,,,,,,,,,PA,Client
376502,10250267936,NEWFAC-GRWTH HRZN OFF MNT(PA-S,,,2022-12-05 18:29,,,HORSHAM,,,,,,,,,,PA,Client
376501,10250317447,NEWFAC-GRWTH HRIZN BUCKS(PA-S),,,2022-12-05 18:29,,,LEVITTOWN,,,,,,,,,,PA,Client
376002,10249560617,NEW FAC - LIFEPATH (PA-N),,,2022-12-05 18:29,,,BETHLEHEM,,,,,,,,,,PA,Client
3274,10249560616,D&S - HOUSTON,,,2022-12-05 18:29,,,SPRING,,,,,,,,,,TX,Client
3203,10250232853,SEVITA BROWNSVILLE,,,2022-12-05 18:29,,,BROWNSVILLE,,,,,,,,,,TX,Client
292227,10250208032,BERKELEY ICF - 01,,Casey Cushman,2022-12-05 18:29,,,MONCKS CORNER,,,,,,,,,Agency,SC,Client
255205,10250315924,SOTO SAVANNAH (GA),,,2022-12-05 18:29,,,SAVANNAH,,,,,,,,,,GA,Client
252709,10248716089,UCP GA,,,2022-12-05 18:29,,,MACON,,,,,,,,,,GA,Client
252033,10250315922,TAPLEY'S (GA) (NO DH),,,2022-12-05 18:29,,,AUGUSTA,,,,,,,,,,GA,Client
252021,10249560615,LOVE'S PCH (GA) (NO DH),,,2022-12-05 18:29,,,AUGUSTA,,,,,,,,,,GA,Client
252019,10249480037,LONGEVITY (GA) (NO DH),,,2022-12-05 18:29,,,AUGUSTA,,,,,,,,,,GA,Client
252013,10249480036,HALL'S PCH (GA) (NO DH),,,2022-12-05 18:29,,,EVANS,,,,,,,,,,GA,Client
252005,10250282365,VOA (GA) (NO DH),,,2022-12-05 18:29,,,GRIFFIN,,,,,,,,,,GA,Client
252003,10249546343,ANN TAPLEY'S (GA) (NO DH),,,2022-12-05 18:29,,,AUGUSTA,,,,,,,,,,GA,Client
252000,10249560614,ANGEL'S PCH (GA) (NO DH),,,2022-12-05 18:29,,,AUGUSTA,,,,,,,,,,GA,Client
2501,10250282364,PEOPLE CARE HCS/ICF,,,2022-12-05 18:29,,,EL PASO,,,,,,,,,,TX,Client
2434,10250317445,CAPRI HOMES,,,2022-12-05 18:29,,,MONTGOMERY,,,,,,,,,,TX,Client
2430,10250208030,NEW FAC - DRACO EL PASO,,,2022-12-05 18:29,,,EL PASO,,,,,,,,,,TX,Client
2406,10249446163,RUSSO & ASSOCIATES,,,2022-12-05 18:29,,,CYPRESS,,,,,,,,,,TX,Client
182155,10250259553,NEW FAC-CIRCULO HOST HOMES(OH),,TJ Drudi,2022-12-05 18:29,,,GALLIAPOLIS,,,,,,,,,,OH,Client
182153,10249496995,MIDWEST WAYNE (OH),,TJ Drudi,2022-12-05 18:29,,,,,,,,,,,,,OH,Client
182151,10250198325,MIDWEST STARK (OH),,TJ Drudi,2022-12-05 18:29,,,,,,,,,,,,,OH,Client
182149,10249560613,MIDWEST ASH/RICH (OH),,TJ Drudi,2022-12-05 18:29,,,WOOSTER,,,,,,,,,,OH,Client
182147,10250232851,NEW FAC - THE SOCIETY (OH),,TJ Drudi,2022-12-05 18:29,,,SEVILLE,,,,,,,,,,OH,Client
182143,10248716086,PATTY'S HOME CARE (OH),,TJ Drudi,2022-12-05 18:29,,,MENTOR,,,,,,,,,,OH,Client
182137,10250314499,NEW FAC - CIRCULO HEALTH (OH),,TJ Drudi,2022-12-05 18:29,,,GALLIAPOLIS,,,,,,,,,,OH,Client
182117,10250315918,NEW FAC-DIVINE RESIDENTIAL(OH),,TJ Drudi,2022-12-05 18:29,,,HEBRON,,,,,,,,,,OH,Client
182115,10250259552,NEWFAC-CIRCULO LAWRENCE CTY(OH,,TJ Drudi,2022-12-05 18:29,,,IRONTON,,,,,,,,,,OH,Client
103120,10250282363,SEVITA GVILLE (THERAP)(NODH)TN,,Amy Melton,2022-12-05 18:29,,,GREENEVILLE,,,,,,,,,,TN,Client
299809,9836497549,WALTER BRO - 09,,Casey Cushman,2022-10-18 14:33, +18035062743,,SUMTER,,,,,,,,,Agency,SC,Client
292223,9835571472,ALSTON WILKES SOCIETY,,Casey Cushman,2022-10-18 14:32,(803) 799-2490,,COLUMBIA,United States,Non-Profit & Charitable Organizations,,,,,,,Agency,SC,Client
292207,9811710877,UNION - 17,,Casey Cushman,2022-10-14 11:33,,,UNION,,,2023-04-28,2023-05-17,,4,,,Agency,SC,Client
291604,9811799327,PICKENS - 04,,Casey Cushman,2022-10-14 11:33,(864) 859-5416,2023-08-29 09:10,Easley,United States,Training,,,,,,,Agency,SC,Client
292218,9811799324,MARLBORO - 01,,Casey Cushman,2022-10-14 11:33,,,BENNETTSVILLE,,,,,,,,,Agency,SC,Client
292601,9762897954,BABCOCK - 01,,Casey Cushman,2022-10-07 13:57,(803) 799-1970,2023-10-30 14:43,WEST COLUMBIA,United States,Non-Profit & Charitable Organizations,,,,,,,Agency,SC,Client
392054 ,9394059317,DELTA SOUTH (NJ-N),,Adrian Brown (Deactivated User),2022-08-16 14:49,,,,,,,,,,,,,NJ,Client
392035,9393984125,BANCROFT - NEUROREHAB (NJ-N),,Adrian Brown (Deactivated User),2022-08-16 14:22,,,,,,,,,,,,,NJ,Client
396049,9364815390,VICTORIA MANOR (NJ-S),,Adrian Brown (Deactivated User),2022-08-11 20:50,,,,,,,,,,,,,NJ,Client
396019,9364862296,AVE TO INDPNDT. LIVING (NJ-S),,Adrian Brown (Deactivated User),2022-08-11 20:47,,,,,,,,,,,,,NJ,Client
392021,9364666649,SERV (NJ-N),,Adrian Brown (Deactivated User),2022-08-11 18:36, +16464582106,,CLIFTON,,,,,,,,,,NJ,Client
3292,9072942170,D&S/TMN AMARILLO,,,2022-07-07 12:53,,,AMARILLO,,,,,,,,,,TX,Client
3276,9072928804,D&S - WICHITA FALLS,,,2022-07-07 12:53,,,WICHITA FALLS,,,,,,,,,,TX,Client
3232,9072928802,D&S - MCKINNEY,,,2022-07-07 12:53,,,MCKINNEY,,,,,,,,,,TX,Client
3290,9072928801,D&S - CORPUS,,,2022-07-07 12:53,,,CORPUS CHRISTI,,,,,,,,,,TX,Client
3244,9072896426,D&S - SAN ANTONIO,,,2022-07-07 12:53,,,SAN ANTONIO,,,,,,,,,,TX,Client
3108,9072880700,D&S - NORTH,,,2022-07-07 12:53,,,AUSTIN,,,,,,,,,,TX,Client
392019,9072859979,PILOT (NJ-S),,Adrian Brown (Deactivated User),2022-07-07 12:53,8568090600,2023-11-15 10:00,BERLIN,United States,,2023-10-25,,,,,,,NJ,Client
3252,9072853799,D&S - SAN ANGELO,,,2022-07-07 12:53,,,SAN ANGELO,,,,,,,,,,TX,Client
3227,9072853796,D&S - LUBBOCK,,,2022-07-07 12:53,,,LUBBOCK,,,,,,,,,,TX,Client
103110,9072834607,TMN KNOXVILLE (TN) (NO DH),,Amy Melton,2022-07-07 12:53,,2024-01-30 14:33,KNOXVILLE,,,2023-08-10,2023-09-27,,1; 2; 3; 4; 5,,,,TN,Client
3236,9072834605,D&S - ODESSA - NO DAYHAB,,,2022-07-07 12:53,,,ODESSA,,,,,,,,,,TX,Client
3284,9072585278,D&S - PARIS,,,2022-07-07 12:53,,,PARIS,,,,,,,,,,TX,Client
3228,9072541223,D&S - DENTON,,,2022-07-07 12:53,,,DENTON,,,,,,,,,,TX,Client
3104,9072534357,D&S - SOUTH,,,2022-07-07 12:53,,,AUSTIN,,,,,,,,,,TX,Client
103113,9072494966,TMN NASHVILLE (TN),,Amy Melton,2022-07-07 12:53,,2023-10-03 15:02,NASHVILLE,,,2023-08-22,2023-11-01,,1; 2; 3,,,,TN,Client
113213,9072942173,SEVITA ELIZABETHTOWN (KY),,,2022-07-07 12:53,,,ELIZABETHTOWN,,,,,,,,,,KY,Client
3264,9072934817,D&S - COLLEGE STATION,,,2022-07-07 12:53,,,BRYAN,,,,,,,,,,TX,Client
392063,9072934816,EASTER SEALS (NJ-N),,Adrian Brown (Deactivated User),2022-07-07 12:53,732-257-6662,, -,,,,,,,,,,NJ,Client
113215,9072934814,SEVITA LOUISVILLE (KY),,,2022-07-07 12:53,,,LOUISVILLE,,,,,,,,,,KY,Client
113211,9072928803,SEVITA SOMERSET (KY),,,2022-07-07 12:53,,,SOMERSET,,,,,,,,,,KY,Client
103122,9072928800,TMN CROSSVILLE *NO DH* (TN),,Amy Melton,2022-07-07 12:53,,2024-01-05 15:04,CROSSVILLE,,,2023-08-18,2023-10-09,,1; 2; 3; 4,,,,TN,Client
392022,9072896424,SPECTRUM (NJ-N),,Adrian Brown (Deactivated User),2022-07-07 12:53,,,RIVER VALE,,,,,,,,,,NJ,Client
372102,9072890671,RHD LIFE SHARING (PA),,Adrian Brown (Deactivated User),2022-07-07 12:53,,2023-01-17 20:33,NAZARETH,,,2022-11-16,2023-01-17,,1; 2,,,,PA,Client
412110,9072885595,SHORE WEST (IL*STE*),,TJ Drudi,2022-07-07 12:53,,,SKOKIE,,,,,,,,,,IL,Client
3295,9072880702,NEW FAC - SEVITA RGV,,,2022-07-07 12:53,,,EDINBURG,,,,,,,,,,TX,Client
113208,9072874079,D&S - ASHLAND/LOUISA (KY),,,2022-07-07 12:53,,,CATLETTSBURG,,,,,,,,,,KY,Client
3256,9072874078,D&S - LONGVIEW,,,2022-07-07 12:53,,,LONGVIEW,,,,,,,,,,TX,Client
396093,9072869022,OAKS INTEG - OASIS (NJ-S),,Adrian Brown (Deactivated User),2022-07-07 12:53,,,MT HOLLY,,,,,,,,,,NJ,Client
103107,9072863795,TMN CHATTANOOGA*NODH* (TN),,Amy Melton,2022-07-07 12:53,,2023-12-08 16:28,CHATTANOOGA,,,2023-08-11,2023-09-26,,1; 2; 3; 4,,,,TN,Client
3268,9072863792,D&S - BERTRAM  NO DAYHAB,,,2022-07-07 12:53,,,BERTRAM,,,,,,,,,,TX,Client
292229,9072853798,CARE FOCUS - 05,,Casey Cushman,2022-07-07 12:53,,,GREENVILLE,,,,,,,,,Agency,SC,Client
3260,9072853797,D&S - ABILENE,,,2022-07-07 12:53,,,ABILENE,,,,,,,,,,TX,Client
392089,9072847927,OAKS INTEGRATED CARE (NJ-N),,Adrian Brown (Deactivated User),2022-07-07 12:53,,,MT HOLLY,,,,,,,,,,NJ,Client
396089,9072823210,OAKS INTEGRATED CARE (NJ-S),,Adrian Brown (Deactivated User),2022-07-07 12:53,,,MT HOLLY,,,,,,,,,,NJ,Client
4709,9072823209,TEXANA MISSOURI CITY,,,2022-07-07 12:53,,,MISSOURI CITY,,,,,,,,,,TX,Client
412114,9072823207,SHORE MAIN (IL*STE*),,TJ Drudi,2022-07-07 12:53,,,SKOKIE,,,,,,,,,,IL,Client
102003,9072625281,MADISON HAY-SELMER*NO DH*(TN),,Amy Melton,2022-07-07 12:53,,,SELMER,,,2023-08-23,2023-10-19,,1; 2; 3,,,,TN,Client
102002,9072625279,MADISON HAY-JACKSON*NODH* (TN),,,2022-07-07 12:53,,,JACKSON,,,,,,,,,,TN,Client
2446,9072625278,DALLAS METROCARE SERVICES,,,2022-07-07 12:53,,,DALLAS,,,,,,,,,,TX,Client
103116,9072604321,TMN JACKSON *NO DH* (TN),,Amy Melton,2022-07-07 12:53,,,JACKSON,,,2023-10-17,2024-01-23,,,,,,TN,Client
113209,9072604318,SEVITA DANVILLE *NO DH*(KY),,,2022-07-07 12:53,,,DANVILLE,,,,,,,,,,KY,Client
4705,9072604316,TEXANA WHARTON,,,2022-07-07 12:53,,,WHARTON,,,,,,,,,,TX,Client
103119,9072585279,SEVITA GREENEVILLE *NODH* (TN),,Amy Melton,2022-07-07 12:53,,,GREENEVILLE,,,2023-08-24,2023-10-04,,1; 2; 3,,,,TN,Client
396013,9072585276,ARC GLOUCESTER (NJ-S),,Adrian Brown (Deactivated User),2022-07-07 12:53,,,WEST DEPTFORD,,,,,,,,,,NJ,Client
2622,9072581161,MISSION ROAD DEVELOPMENTAL CTR,,,2022-07-07 12:53,,,SAN ANTONIO,,,,,,,,,,TX,Client
103105,9072581160,TMN MARYVILLE (TN),,Amy Melton,2022-07-07 12:53,,2024-01-30 14:36,ALCOA,,,2023-08-10,2023-09-29,,1; 2; 3; 4,,,,TN,Client
103102,9072541230,TMN COOKEVILLE *NODH* (TN),,Amy Melton,2022-07-07 12:53,,2023-12-27 18:33,COOKEVILLE,,,2023-08-22,2023-10-24,,1; 2; 3,,,,TN,Client
3240,9072541225,D&S - BIG SPRING - NO DAYHAB,,,2022-07-07 12:53,,,BIG SPRING,,,,,,,,,,TX,Client
4703,9072534358,TEXANA - EL CAMPO,,,2022-07-07 12:53,,,EL CAMPO,,,,,,,,,,TX,Client
3224,9072518715,D&S - ARLINGTON,,,2022-07-07 12:53,,,ARLINGTON,,,,,,,,,,TX,Client
392029,9072494969,SPECTRUM ICF (NJ-N),,Adrian Brown (Deactivated User),2022-07-07 12:53,,,CLOSTER,,,,,,,,,,NJ,Client
412166,9072942175,ENVISION NORTH *STE* NODH (IL),,TJ Drudi,2022-07-07 12:53,,2024-01-29 17:46,CHICAGO,,,2024-01-24,,,1,,,,IL,Client
412104,9072942174,ESPERANZA COMM SERV (IL*STE*),,TJ Drudi,2022-07-07 12:53,,2024-01-29 17:49,CHICAGO,,,2024-01-24,,,1,,,,IL,Client
