Provider Email,Facility Name,Facility ID,Program Type,State Region,HHSC SubOffice,County,Service  Type,Facility  Licensed,Facility Certified,License No,License Effective Date,License Expiration Date,Physical Address,Physical Address CITY,Physical Address State,Physical Address Zipcode,Geo Location,Facility Phone Number,Facility Fax,Medicare Provider Number,Medicaid Provider Number,Total Licensed Capacity,Licensed Only Beds,Medicaid Only Beds,Medicare Only Beds,Medicaid / Medicare Beds,Alzheimer Capacity,ICFIID Beds,Owner_,Type of Entity,Owner Mailing1,Owner Mailing City,Owner Mailing STATE,Owner Mailing Zipcode,Owner PHONE,Owner FAX,Administrator,Management Company_
,LUFKIN STATE SUPPORTED LIVING CENTER,7103,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,STATE SCHOOL/STATE CENTER,NO,YES,,,,6844 US-69,POLLOK,TX,75969,"31.419499,-94.804799",(936) 634-3353,(956) 853-8521,,,486,0,0,0,0,0,486,DADS,STATE,PO BOX 12668,AUSTIN,TX,78711,(512) 454-3761,,,
amock@dscommunity.com,BELLVILLE COMMUNITY RESIDENCE,7270,ICF/IID,6,UNIT 21 (ICF-IID),AUSTIN,PRIVATELY OWNED,YES,YES,148118,7/1/2021,7/1/2024,305 S THOMAS ST,BELLVILLE,TX,77418,"29.949162,-96.261758",(979) 865-8112,(512) 327-5355,,,6,0,0,0,0,0,6,"D&S RESIDENTIAL SERVICES, LP",LIMITED PARTNERSHIP,8911 N CAPITAL OF TX HWYBLDG 1  STE 1300,AUSTIN,TX,78759,(512) 327-2325,(512) 327-5355,ROBERT HAM,
amock@dscommunity.com,BASTROP COMMUNITY RESIDENCE,3762,ICF/IID,5,ICF-IID (AUSTIN REGION),BASTROP,PRIVATELY OWNED,YES,YES,147956,7/1/2021,7/1/2024,133 PLUM ST,BASTROP,TX,78602,"30.176253,-97.274918",(512) 321-3316,(512) 327-5355,,,8,0,0,0,0,0,8,"D&S RESIDENTIAL SERVICES, LP",LIMITED PARTNERSHIP,8911 N CAPITAL OF TX HWYBLDG 1  STE 1300,AUSTIN,TX,78759,(512) 327-2325,(512) 327-5355,ROBERT HAM,
amock@dscommunity.com,JEFFERSON COMMUNITY RESIDENCE,7634,ICF/IID,5,ICF-IID (AUSTIN REGION),BASTROP,PRIVATELY OWNED,YES,YES,148111,7/1/2022,7/1/2025,1405 JEFFERSON ST,BASTROP,TX,78602,"30.115898,-97.316061",(512) 303-7638,(512) 327-5355,,,6,0,0,0,0,0,6,"D&S RESIDENTIAL SERVICES, LP",LIMITED PARTNERSHIP,8911 N CAPITAL OF TX HWYBLDG 1  STE 1300,AUSTIN,TX,78759,(512) 327-2325,(512) 327-5355,ROBERT HAM,
accounting@downhomeranch.org,ISAIAH HOUSE AT DOWN HOME RANCH,104838,ICF/IID,5,ICF-IID (AUSTIN REGION),BASTROP,PRIVATELY OWNED,YES,YES,147907,8/22/2021,8/22/2024,20250 FM 619,ELGIN,TX,78621,"30.426202,-97.266514",(512) 856-0128,(512) 856-0256,,45H323,6,0,0,0,0,0,6,DOWN HOME RANCH,Nonprofit Organization,20250 FM 619,ELGIN,TX,78621,(512) 856-0128,(512) 856-0256,ANNETTE RAGAN,
kgrayii@kenmartx.com,SMITHVILLE COMMUNITY RESIDENCE,3991,ICF/IID,5,ICF-IID (AUSTIN REGION),BASTROP,PRIVATELY OWNED,YES,YES,148829,3/15/2023,3/15/2026,602 HICKORY,SMITHVILLE,TX,78957,"30.007978,-97.171871",(512) 237-3715,(979) 968-6598,,,6,0,0,0,0,0,6,"KENMAR RESIDENTIAL SERVICES, INC",FOR-PROFIT CORPORATION,"33 CYPRESS BLVD., STE. 100",ROUND ROCK,TEXAS,78665,(512) 336-0800,(512) 336-0812,"WILLIAM K GRAY, II",
licenses@brightspringhealth.com,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,7220,ICF/IID,5,ICF-IID (AUSTIN REGION),BELL,PRIVATELY OWNED,YES,YES,146196,1/1/2024,1/1/2027,3220 TRENTON DRIVE,TEMPLE,TX,76504,"31.115857,-97.372252",(254) 773-2212,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,AARON BUSHNELL,
licenses@brightspringhealth.com,PROSPECT COMMUNITY HOME,7459,ICF/IID,5,ICF-IID (AUSTIN REGION),BELL,PRIVATELY OWNED,YES,YES,146230,1/1/2024,1/1/2027,1805 CANYON CREEK DRIVE,TEMPLE,TX,76502-3210,"31.061904,-97.375407",(254) 773-4173,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,AARON BUSHNELL,
licenses@brightspringhealth.com,TAYLORS COMMUNITY HOME,7219,ICF/IID,5,ICF-IID (AUSTIN REGION),BELL,PRIVATELY OWNED,YES,YES,146154,1/1/2024,1/1/2027,221 TAYLORS DR,TEMPLE,TX,76502,"31.050562,-97.387169",(254) 773-6700,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,AARON BUSHNELL,
tammy@counciloaks.net,COUNCIL OAKS @ MISTY RIDGE,7376,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,149359,5/1/2022,5/1/2025,7005 MISTY RIDGE,CONVERSE,TX,78109,"29.528471,-98.349218",(210) 564-0317,(210) 590-9503,,45H293,6,0,0,0,0,0,6,"COUNCIL OAKS COMMUNITY OPTIONS, LTD",LIMITED PARTNERSHIP,"11901 TOEPPERWEIN RD., STE 1001",SAN ANTONIO,TEXAS,78233,(210) 646-0717,(210) 599-9789,WILLIAM E LEE,
coco@counciloaks.net,COUNCIL OAKS AT NUGGET CREEK,7318,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,148412,11/1/2021,11/1/2024,10022 NUGGET CREEK,CONVERSE,TX,78109,"29.526618,-98.328593",(210) 945-9124,,,,6,0,0,0,0,0,6,"COUNCIL OAKS COMMUNITY OPTIONS, LTD",LIMITED PARTNERSHIP,"11901 TOEPPERWEIN RD., STE 1001",SAN ANTONIO,TEXAS,78233,(210) 646-0717,(210) 599-9789,WILLIAM E LEE,
coco@counciloaks.net,COUNCIL OAKS AT TROUT RIDGE,3652,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,148364,11/1/2021,11/1/2024,10026 TROUT RIDGE,CONVERSE,TX,78109,"29.534295,-98.343556",(210) 590-3909,,,,6,0,0,0,0,0,6,"COUNCIL OAKS COMMUNITY OPTIONS, LTD",LIMITED PARTNERSHIP,"11901 TOEPPERWEIN RD., STE 1001",SAN ANTONIO,TEXAS,78233,(210) 646-0717,(210) 599-9789,WILLIAM E LEE,
tammy@counciloaks.net,COUNCIL OAKS FLATLAND TRAIL,104463,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,150257,9/17/2023,9/17/2026,10304 FLATLAND TRAIL,CONVERSE,TX,78109,"29.530363,-98.333185",(210) 659-9553,(210) 599-9789,,45H314,6,0,0,0,0,0,6,"COUNCIL OAKS COMMUNITY OPTIONS, LTD",LIMITED PARTNERSHIP,"11901 TOEPPERWEIN RD., STE 1001",SAN ANTONIO,TEXAS,78233,(210) 646-0717,(210) 599-9789,WILLIAM E LEE,
licenses@brightspringhealth.com,SPRUCE RIDGE,101821,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,148134,11/1/2021,11/1/2024,10026 SPRUCE RIDGE DR,CONVERSE,TX,78109,"29.534587,-98.341979",(210) 590-1348,,,45H290,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  TEXAS,FOR-PROFIT CORPORATION,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(502) 394-2100,(502) 394-2369,VIRGINIA K TERRY,
amcmahan@calabinc.com,10115 CEDARMONT,7601,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,149202,5/4/2023,5/4/2026,10115 CEDARMONT,SAN ANTONIO,TX,78245,"29.435096,-98.679292",(210) 520-2539,(210) 647-7637,,,6,0,0,0,0,0,6,"CALAB, INC",FOR-PROFIT CORPORATION,3803 S. ROBINSON ROAD,GRAND PRAIRIE,TEXAS,75052,(972) 263-2112,(972) 263-2115,AMY MCMAHAN,
amcmahan@calabinc.com,7123 SPRING MORNING,7347,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,148181,9/1/2024,9/1/2027,7123 SPRING MORNING,SAN ANTONIO,TX,78249,"29.548832,-98.629912",(210) 690-3258,(210) 647-7637,,,6,0,0,0,0,0,6,"CALAB, INC",FOR-PROFIT CORPORATION,3803 S. ROBINSON ROAD,GRAND PRAIRIE,TEXAS,75052,(972) 263-2112,(972) 263-2115,AMY MCMAHAN,
amcmahan@calabinc.com,9519 AUTUMN BREEZE,7600,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,149458,5/3/2023,5/3/2026,9519 AUTUMN BREEZE,SAN ANTONIO,TEXAS,78250,"29.528592,-98.670488",(210) 520-0561,(210) 647-7637,,,6,0,0,0,0,0,6,"CALAB, INC",FOR-PROFIT CORPORATION,3803 S. ROBINSON ROAD,GRAND PRAIRIE,TEXAS,75052,(972) 263-2112,(972) 263-2115,AMY MCMAHAN,
licenses@brightspringhealth.com,APRICOT,7253,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,146140,12/1/2023,12/1/2026,12126 APRICOT,SAN ANTONIO,TX,78247,"29.553326,-98.461065",(210) 545-1581,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  TEXAS,FOR-PROFIT CORPORATION,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(502) 394-2100,(502) 394-2369,MONICA MENDIOLA,
mduncan@atcoftexas.org,AUTISTIC TREATMENT CENTER WADDESDON WOOD,7349,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,148347,12/18/2021,12/18/2024,6307 WADDESDON WOOD,SAN ANTONIO,TX,78233,"29.574657,-98.367512",(210) 590-2107,(210) 590-3143,,,6,0,0,0,0,0,6,AUTISTIC TREATMENT CENTER INC,Nonprofit Organization,10503 METRIC DR,DALLAS,TX,75243,(972) 644-2076,(972) 644-5650,MARIA DUNCAN,
arriola@bexarhc.com,BATTERY PARK HOME,110534,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,148031,9/13/2021,9/13/2024,4015 BATTERY PARK,SAN ANTONIO,TEXAS,78109,"29.466239,-98.309809",(210) 661-6262,(210) 661-2620,,,6,0,0,0,0,0,6,"BEXAR COUNTY HOME CARE, INC",FOR-PROFIT CORPORATION,P.O. BOX 100347,SAN ANTONIO,TEXAS,78201,(210) 661-6262,(210) 661-2620,SYLVIA ARRIOLA,
mduncan@atcoftexas.org,BOULDER CREEK,10179,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,147315,7/12/2021,7/12/2024,15618 BOULDER CREEK,SAN ANTONIO,TX,78247,"29.583777,-98.427114",(210) 590-2107,(210) 590-3143,,,6,0,0,0,0,0,6,AUTISTIC TREATMENT CENTER INC,Nonprofit Organization,10503 METRIC DR,DALLAS,TX,75243,(972) 644-2076,(972) 644-5650,MARIA DUNCAN,
licenses@brightspringhealth.com,BOULDER OAKS,101793,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,148334,11/1/2022,11/1/2025,14038 BOULDER OAKS,SAN ANTONIO,TX,78247,"29.567144,-98.421337",(210) 979-7009,,,45H286,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  TEXAS,FOR-PROFIT CORPORATION,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(502) 394-2100,(502) 394-2369,MONICA MENDIOLA,
srideout@rmihomes.org,BOULDER OAKS,3668,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,149241,4/29/2023,4/29/2026,14022 BOULDER OAKS,SAN ANTONIO,TEXAS,78247,"29.566503,-98.421833",(210) 494-4915,,,,6,0,0,0,0,0,6,"REACHING MAXIMUM INDEPENDENCE, INC",Nonprofit Organization,6336 MONTGOMERY DR,SAN ANTONIO,TX,78239,(210) 656-6674,(210) 656-0199,MANUEL VELA,
licenses@brightspringhealth.com,BREES,7409,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,145813,12/1/2023,12/1/2026,222 BREES,SAN ANTONIO,TX,78209,"29.492247,-98.449396",(210) 820-3712,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  TEXAS,FOR-PROFIT CORPORATION,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(502) 394-2100,(502) 394-2369,MONICA MENDIOLA,
srideout@rmihomes.org,BROOKHOLLOW,106866,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,307059,7/1/2022,7/1/2025,14026 BROOKHOLLOW BLVD.,SAN ANTONIO,TX,78232,"29.574724,-98.466995",(210) 656-6674,(210) 656-0199,,45H346,6,0,0,0,0,0,6,"REACHING MAXIMUM INDEPENDENCE, INC",Nonprofit Organization,6336 MONTGOMERY DR,SAN ANTONIO,TX,78239,(210) 656-6674,(210) 656-0199,SARA RIDEOUT,
lwelch@iclcorp.com,BURR HILL,106502,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,146647,1/25/2024,1/25/2027,16402 BURR HILL STREET,SAN ANTONIO,TX,78247,"29.590274,-98.359348",(210) 646-0302,(210) 494-7228,,45H342,5,0,0,0,0,0,5,SOUTH TEXAS COMMUNITY LIVING CORP,FOR-PROFIT CORPORATION,18 AUGUSTA PINES DRSTE 140 E,SPRING,TX,77389,(281) 351-1758,(210) 255-4500,LONNIE WELCH,
licenses@brightspringhealth.com,CADES COVE HOUSE,7487,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,307493,6/1/2022,6/1/2025,6647 CADES COVE,SAN ANTONIO,TEXAS,78238,"29.495111,-98.626292",210 5200774,210 5207260,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  TEXAS,FOR-PROFIT CORPORATION,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(502) 394-2100,(502) 394-2369,WYNNE WINIFRED FOWLER,
licenses@brightspringhealth.com,CHISOLM TRAIL,7348,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,146214,12/1/2023,12/1/2026,2815 CHISOLM TRL,SAN ANTONIO,TX,78217,"29.51753,-98.443253",(210) 820-3650,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING CORPORATION  TEXAS,FOR-PROFIT CORPORATION,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(502) 394-2100,(502) 394-2369,MONICA MENDIOLA,
coco@counciloaks.net,COUNCIL OAKS AT ALMARION WAY,110678,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,308767,9/29/2022,9/29/2025,9430 ALMARION WAY,SAN ANTONIO,TEXAS,78250,"29.506005,-98.668645",(210) 688-4133,(210) 599-9789,,45H415,6,0,0,0,0,0,6,"COUNCIL OAKS COMMUNITY OPTIONS, LTD",LIMITED PARTNERSHIP,"11901 TOEPPERWEIN RD., STE 1001",SAN ANTONIO,TEXAS,78233,(210) 646-0717,(210) 599-9789,WILLIAM E LEE,
coco@counciloaks.net,COUNCIL OAKS AT BEECH TRAIL,3698,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,148190,11/1/2021,11/1/2024,7031 BEECH TRAIL,SAN ANTONIO,TX,78244,"29.496267,-98.334663",(210) 666-1224,(210) 599-9789,,,6,0,0,0,0,0,6,"COUNCIL OAKS COMMUNITY OPTIONS, LTD",LIMITED PARTNERSHIP,"11901 TOEPPERWEIN RD., STE 1001",SAN ANTONIO,TEXAS,78233,(210) 646-0717,(210) 599-9789,WILLIAM E LEE,
coco@counciloaks.net,COUNCIL OAKS AT CHERRY GLADE,3844,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,149054,2/1/2022,2/1/2025,8303 CHERRY GLADE,SAN ANTONIO,TX,78244,"29.4771,-98.3524",(210) 658-9288,(210) 599-9789,,,6,0,0,0,0,0,6,"COUNCIL OAKS COMMUNITY OPTIONS, LTD",LIMITED PARTNERSHIP,"11901 TOEPPERWEIN RD., STE 1001",SAN ANTONIO,TEXAS,78233,(210) 646-0717,(210) 599-9789,WILLIAM E LEE,
coco@counciloaks.net,COUNCIL OAKS AT CLOUDY RIDGE,7234,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,148368,11/1/2022,11/1/2025,6124 CLOUDY RIDGE,SAN ANTONIO,TX,78247,"29.588134,-98.368991",(210) 637-6506,,,,6,0,0,0,0,0,6,"COUNCIL OAKS COMMUNITY OPTIONS, LTD",LIMITED PARTNERSHIP,"11901 TOEPPERWEIN RD., STE 1001",SAN ANTONIO,TEXAS,78233,(210) 646-0717,(210) 599-9789,WILLIAM E LEE,
coco@counciloak.net,COUNCIL OAKS AT SHALLOW CREEK,111576,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,311666,8/30/2023,8/30/2026,8211 SHALLOW CREEK,SAN ANTONIO,TEXAS,78251,"29.465256,-98.663821",(210) 467-5180,(210) 599-9789,,,6,0,0,0,0,0,6,"COUNCIL OAKS COMMUNITY OPTIONS, LTD",LIMITED PARTNERSHIP,"11901 TOEPPERWEIN RD., STE 1001",SAN ANTONIO,TEXAS,78233,(210) 646-0717,(210) 599-9789,WILLIAM E LEE,
coco@counciloak.net,COUNCIL OAKS AT SHALLOW RIDGE,7546,ICF/IID,8,TEAM ICF-IID,BEXAR,PRIVATELY OWNED,YES,YES,148619,11/1/2022,11/1/2025,8722 SHALLOW RIDGE,SAN ANTONIO,TX,78239,"29.518166,-98.339014",(210) 590-2912,,,,6,0,0,0,0,0,6,"COUNCIL OAKS COMMUNITY OPTIONS, LTD",LIMITED PARTNERSHIP,"11901 TOEPPERWEIN RD., STE 1001",SAN ANTONIO,TEXAS,78233,(210) 646-0717,(210) 599-9789,WILLIAM E LEE,
