FacID,PharmID,FacName,FacStreet1,FacStreet2,FacCity,FacState,FacZip,FacAdminPhone
SCEXPO-290415,SCEXPO,DORCHESTER - 15,818 N CEDAR ST,,SUMMERVILLE,SC,29483,(843)873-4850
SCEXPO-290424,SCEXPO,DORCHESTER - 24,711 PARSONS RD,,SUMMERVILLE,SC,29843,(843)821-2877
SCEXPO-291507,SCEXPO,OBURG-CTH2 E & W-07,,,,SC,,(___)___-____
SCEXPO-291514,SCEXPO,OBURG-EAST-14,,,,SC,,(___)___-____
SCEXPO-291516,SCEXPO,OBURG-SLP-16,,,,SC,,(___)___-____
SCEXPO-291521,SCEXPO,OBURG-CTH2 NORTH-21,,,,SC,,(___)___-____
SCEXPO-291523,SCEXPO,OBURG-ICF-23,,,,SC,,(___)___-____
SCEXPO-291604,SCEXPO,PICKENS - 04,,,,SC,,(___)___-____
SCEXPO-291611,SCEXPO,PICKENS - 11,,,,SC,,(___)___-____
SCEXPO-291618,SCEXPO,PICKENS - 18,,,,SC,,(___)___-____
SCEXPO-292203,SCEXPO,LAURENS COUNTY - 01,364 EVERGREEN SKILLS DR,,LAURENS,SC,29360,(___)___-____
SCEXPO-292207,SCEXPO,UNION - 17,737 Industrial Park Rd,MAIN OFFICE LOCK BOX,UNION,SC,29379,(___)___-____
SCEXPO-292208,SCEXPO,ANDERSON - 09,,,,SC,,(___)___-____
SCEXPO-292209,SCEXPO,ALLENDALE/BARNWELL - 27,,,,SC,,(___)___-____
SCEXPO-292210,SCEXPO,CHARLESTON - 16,,,,SC,,(___)___-____
SCEXPO-292211,SCEXPO,DILLON - 21,506 14TH AVE,,DILLION,SC,29536,(843)841-0778
SCEXPO-292212,SCEXPO,MARION - 21,111 MARTIN LUTHER KING BL,,MARION,SC,29571,(___)___-____
SCEXPO-292213,SCEXPO,EPWORTH - 01,2900 MILLWOOD AVE,,COLUMBIA,SC,29250,(803)212-4793
SCEXPO-292215,SCEXPO,GEORGETOWN DDSM - 21,95 ACADEMY AVE,,GEORGETOWN,SC,29440,(843)344-0075
SCEXPO-292216,SCEXPO,HORRY COUNTY - 21,408 WEB ST,,CONWAY,SC,29526,(843)385-3835
SCEXPO-292217,SCEXPO,JASPER (FEDEX/M-W) - 01,1512 GREYS HIGHWAY,,RIDGELAND,SC,29936,(843)812-3691
SCEXPO-292219,SCEXPO,MENTOR - 05,1800 Middleburg Plaza,Second Floor,COLUMBIA,SC,29204,(___)___-____
SCEXPO-292220,SCEXPO,WILLIAMSBURG - 21,61 Greenlee St,,KINGSTREE,SC,29556,(843)355-1527
SCEXPO-292221,SCEXPO,UCP MOT - 01,1101 HARBOR DRIVE,,WEST COLUMBIA,SC,29169,(765)238-9079
SCEXPO-292223,SCEXPO,ALSTON WILKES SOCIETY,401 LAWAND DR.,,COLUMBIA,SC,29212,(803)772-6191
SCEXPO-292225,SCEXPO,MENTOR HM - 05,3600 FOREST DRIVE,STE 100,COLUMBIA,SC,29204,(___)___-____
SCEXPO-292226,SCEXPO,BERKELEY CITIZENS - 01,1301 OLD HIGHWAY 52 SOUTH,,MONCKS CORNER,SC,29461,(843)761-0300
SCEXPO-292227,SCEXPO,BERKELEY ICF - 01,1301 OLD HIGHWAY 52 SOUTH,,MONCKS CORNER,SC,29461,(843)934-9445
SCEXPO-292229,SCEXPO,CARE FOCUS - 05,37 VILLA RD,SUITE 213,GREENVILLE,SC,29615,(864)233-9727
SCEXPO-292231,SCEXPO,NEW FOUNDATIONS - 23,2300 STANDRIDGE RD,,ANDERSON,SC,29625,(864)225-1628
SCEXPO-292232,SCEXPO,LIFE CONNECTIONS (FW) - 01,633 NH RT 10,,ORFORD,NH,3777,(___)___-____
SCEXPO-292234,SCEXPO,TRI DEVELOPMENT CENTER -01,1016 VAUCLUSE RD,,AIKEN,SC,29801,(___)___-____
SCEXPO-292235,SCEXPO,TRI DEVELOPMENT SLP I - 01,240 CHURCH ST,,AIKEN,SC,29801,(803)642-1051
SCEXPO-292236,SCEXPO,MAX ABILITIES YORK COUNTY - 01,7900 PARK PLACE RD,,YORK,SC,29745,(803)628-5999
SCEXPO-292237,SCEXPO,UCP BINGO - 01,1101 HARBOR DRIVE,,WEST COLUMBIA,SC,29169,(765)238-9079
SCEXPO-292238,SCEXPO,THE TRIBBLE CENTER - 24,116 SOUTH COVE RD,,SENECA,SC,29672,(864)885-6055
SCEXPO-292239,SCEXPO,GOLDEN RETREAT - 21,3262 CLEVELAND ST,,ELLOREE,SC,29047,(___)___-____
SCEXPO-292601,SCEXPO,BABCOCK - 01,2725 Banny Jones Ave.,,WEST COLUMBIA,SC,29170,(803)799-1970
SCEXPO-292607,SCEXPO,BABCOCK - 07,150 FLORA DR,,COLUMBIA,SC,,(803)834-7411
SCEXPO-292622,SCEXPO,BABCOCK - 22,2725 BANNY JONES AVE,,WEST COLUMBIA,SC,29170,(803)799-1970
SCEXPO-299809,SCEXPO,WALTER BRO - 09,110 GEDDINGS ROAD,,SUMTER,SC,28150,(803)506-2743
SCEXPO-299901,SCEXPO,INDEPENDENT - 01,,,,SC,,(___)___-____
SCEXPO-299909,SCEXPO,INDEPENDENT - 09,,,,SC,,(___)___-____
SCEXPO-299910,SCEXPO,WISE CARE - 10,,,,SC,,(___)___-____
SCEXPO-299915,SCEXPO,INDEPENDENT - 15,,,,SC,,(___)___-____
SCEXPO-299920,SCEXPO,INDEPENDENT - 20,,,,SC,,(___)___-____
CTTTE-352002,CTTTE,ALBERTA MANOR,21 VICTORIA RD,,HARTFORD,CT,6114,(860)296-8050
CTTTE-352005,CTTTE,CPM,75 SUMMIT ST,,MANCHESTER,CT,6450,(860)646-8683
CTTTE-352006,CTTTE,CRE,,,,CT,,(___)___-____
CTTTE-352007,CTTTE,CRESTWOOD MANOR,90 BROAD STREET,,NORWICH,CT,6360,(860)889-8800
CTTTE-352008,CTTTE,FRIENDS OF NEW MILFORD,238 CHESTNUT LAND RD,,NEW MILFORD,CT,6776,(___)___-____
CTTTE-352009,CTTTE,HUMANIDAD,750 OLD MAIN ST,,ROCKY HILL,CT,6067,(___)___-____
CTTTE-352010,CTTTE,ASCENSION,,,,CT,,(___)___-____
CTTTE-352011,CTTTE,JUDICIAL - DETENTION CENTER,920 BROAD ST,,HARTFORD,CT,6106,(860)244-7960
CTTTE-352013,CTTTE,MARCH,222 MCKEE STREET,,MANCHESTER,CT,6040,(___)___-____
CTTTE-352014,CTTTE,MIDDLEWOODS OF NEWINGTON,2125 MAIN ST,,NEWINGTON,CT,6111,(860)667-1336
CTTTE-352015,CTTTE,NETWORK,,,,CT,,(___)___-____
CTTTE-352016,CTTTE,OAK HILL,120 HOLCOMB ST,,HARTFORD,CT,6112,(860)242-2274
CTTTE-352017,CTTTE,PRIMECARE,562 WATERTOWN AVE,SUITE 3,WATERBURY,CT,6708,(203)597-8525
CTTTE-352019,CTTTE,STV,975 ORONOQUE LANE,,STRATFORD,CT,6614,(___)___-____
CTTTE-352020,CTTTE,STAR,182 WOLFPIT AVE,,NORWALK,CT,6851,(203)846-9581
CTTTE-352021,CTTTE,VINFEN,860 PROSPECT HILL RD,SUITE 110,WINDSOR,CT,6095,(860)688-3165
CTTTE-352022,CTTTE,WILA,45 MAPLE AVE,,WINDSOR,CT,6095,(860)688-2613
CTTTE-352023,CTTTE,WESTVIEW,150 WARE RD,,DAYVILLE,CT,6241,(860)774-8574
CTTTE-352024,CTTTE,VIABILITY,,,,CT,,(___)___-____
CTTTE-352025,CTTTE,GOOD LIFE,,,,CT,,(___)___-____
CTTTE-352027,CTTTE,ARI OF CT,174 RICHMOND HILL AVE,,STAMFORD,CT,6902,(203)324-9258
CTTTE-352028,CTTTE,ARI OF CT - DISPILL,174 RICHMOND HILL AVE,,STAMFORD,CT,6902,(203)324-9258
CTTTE-352029,CTTTE,NEWFAC -THE KENNEDY COLLECTIVE,2440 RESERVOIR AVE,,TRUMBULL,CT,6611,(203)365-8522
SCEXPO-CSTPUP,SCEXPO,CUSTOMER PICKUP,137 CEDAR RD,STE B,LEXINGTON,SC,29073,(___)___-____
CTTTE-SAMCT,CTTTE,CT SAMPLE FACILITY,123 MAIN STREET,,HARTFORD,CT,,(___)___-____
SCEXPO-SAMMOT,SCEXPO,TARRYTOWN EXPOCARE SC MOT,137 CEDAR RD,SUITE B,LEXINGTON,SC,29073,(803)217-1088
SCEXPO-SAMSC,SCEXPO,TARRYTOWN EXPOCARE SC SAMPLE,137 CEDAR RD,SUITE B,LEXINGTON,SC,29073,(803)217-1088
102001,ONEPAC,MADISON HAY-BOLIVAR(NODH) (TN),615 MOSS LN,,BOLIVAR,TN,38008,(731)658-4404
102003,ONEPAC,MADISON HAY-SELMER(NO DH) (TN),1431 PEACH STREET,,SELMER,TN,38375,(731)645-7730
102007,ONEPAC,OPEN ARMS CARE (TN),5120 YALE RD (FRONT DOOR),,MEMPHIS,TN,38134,(901)371-9774
102025,ONEPAC,NIA ASSOCIATION (NO DH)(TN),375 DOVER RD,,CLARKSVILLE,TN,37042,(931)906-3993
103102,ONEPAC,TMN COOKEVILLE (NODH) (TN),803 W JACKSON ST,,COOKEVILLE,TN,38501,(931)526-5003
103105,ONEPAC,TMN MARYVILLE (TN),269 CUSICK RD STE C2,LAST DOOR ON THE RIGHT,ALCOA,TN,37701,(865)977-1645
103107,ONEPAC,TMN CHATTANOOGA(NODH) (TN),6116 SHALLOWFORD RD,#106,CHATTANOOGA,TN,37421,(423)553-7334
103110,ONEPAC,TMN KNOXVILLE (TN) (NO DH),6700 BAUM DR,STE 11,KNOXVILLE,TN,37919,(865)824-4902
103113,ONEPAC,TMN NASHVILLE (TN),3343 PERIMETER HILL DR,#101,NASHVILLE,TN,37211,(615)333-8021
103116,ONEPAC,TMN JACKSON (NO DH) (TN),2975 HWY 45 BYPASS,SUITE C,JACKSON,TN,38305,(731)410-1700
103119,ONEPAC,SEVITA GREENEVILLE (NODH) (TN),3310 E ANDREW JOHNSON HWY,,GREENEVILLE,TN,37745,(423)787-0382
103120,ONEPAC,SEVITA GVILLE (THERAP)(NODH)TN,3310 E ANDREW JOHNSON HWY,,GREENEVILLE,TN,37745,(423)787-0382
103122,ONEPAC,TMN CROSSVILLE (NO DH) (TN),1784 N MAIN ST,SUITE 106,CROSSVILLE,TN,38555,(931)329-3150
106501,ONEPAC,RHA NASHVILLE (TN),441 DONELSON PIKE,SUITE 350,NASHVILLE,TN,37214,(615)543-2923
106503,ONEPAC,RHA MEMPHIS (TN),1755 LYNNFIELD RD,SUITE 150,MEMPHIS,TN,38119,(901)767-1455
106505,ONEPAC,RHA JACKSON (NO DH) (TN),2055 HWY 45 S.,'-- UPSTAIRS OFFICE --,TRENTON,TN,38382,(901)767-1455
106507,ONEPAC,RHA TRENTON ICF (NODH) (TN),2055 HWY 45 S,,TRENTON,TN,38382,(731)855-0537
106509,ONEPAC,RHA CHATTANOOGA (NODH) (TN),2237 OLAN MILLS DR,,CHATTANOOGA,TN,37421,(423)296-8995
106511,ONEPAC,RHA STONES RIVER ICF(NODH)(TN),3350 MEMORIAL BLVD,,MURFREESBORO,TN,37129,(615)895-7788
106513,ONEPAC,RHA KINGSPORT (NODH) (TN),300 CLINCHFIELD ST,SUITE 440,KINGSPORT,TN,37660,(423)247-3335
106515,ONEPAC,RHA KNOXVILLE (NODH) (TN),9041 EXECUTIVE PARK DR,SUITE 212,KNOXVILLE,TN,37923,(865)769-7491
106517,ONEPAC,RHA SPRINGFIELD (NO DH) (TN),205 5TH AVE E,,SPRINGFIELD,TN,37172,(615)384-3172
106519,ONEPAC,RHA JACKSBORO (NODH) (TN),470 STONE MILL RD,,JACKSBORO,TN,37766,(423)562-4289
1103,ONEPAC,ABEL KARE,3600 W. PARMER LANE,SUITE 105,AUSTIN,TX,78727,(512)375-3176
112104,ONEPAC,EVERGREEN COMMUNITY SUPP (KY),11 S HIGHLAND ST,,WINCHESTER,KY,40391,(859)385-4106
112115,ONEPAC,SOUTHWEST CENTER (KY),8009 TERRY RD,,LOUISVILLE,KY,40258,(502)418-3618
112121,ONEPAC,CEDAR LAKE RESIDENCES (KY),700 BELLEWOOD RD,,LOUISVILLE,KY,40223,(502)327-7706
112130,ONEPAC,OPEN DOORS INC (KY),2338 Frankfort Avenue,,LOUISVILLE,KY,40206,(555)555-5555
112133,ONEPAC,PILLAR (KY),7408 HWY 329,ADMIN BLDG - BABY BLUE SIDING,CRESTWOOD,KY,40014,(502)657-0103
112135,ONEPAC,DAYSPRING FHP (KY),3430 DAY SPRING COURT,,LOUISVILLE,KY,40213,(502)636-5990
112137,ONEPAC,DAY SPRING MAIN (KY),3430 DAY SPRING COURT,,LOUISVILLE,KY,40213,(502)636-5990
112139,ONEPAC,DAY SPRING BAXTER (KY),1522 BAXTER AVE,,LOUISVILLE,KY,40205,(502)709-6059
112142,ONEPAC,NEW OPPORTUNITIES & WAYS (KY),661 US 31W BYPASS,SUITE A,BOWLING GREEN,KY,42101,(270)904-1109
113204,ONEPAC,D&S - MOREHEAD (KY),259R OLD FLEMINGSBURG RD,,MOREHEAD,KY,40351,(606)783-0515
113208,ONEPAC,D&S - ASHLAND/LOUISA (KY),29501 MAYO TRAIL RD,,CATLETTSBURG,KY,41129,(606)865-6905
113209,ONEPAC,D&S - DANVILLE (NO DH) (KY),126 LETTON DR,,DANVILLE,KY,40422,(859)236-5400
113211,ONEPAC,D&S - SOMERSET (KY),144 RICHIE LANE,,SOMERSET,KY,42503,(606)425-4432
113213,ONEPAC,D&S - ELIZABETHTOWN (KY),917 NORTH MULBERRY ST,SUITE 101,ELIZABETHTOWN,KY,42701,(606)425-4332
113224,ONEPAC,D&S - MOREHEAD STH (KY),259R OLD FLEMINGSBURG RD,,MOREHEAD,KY,40351,(606)783-0515
113229,ONEPAC,D&S - DANVILLE STH (NO DH)(KY),126 LETTON DR,,DANVILLE,KY,40422,(859)236-5400
113231,ONEPAC,D&S - SOMERSET STH (KY),144 RICHIE LANE,,SOMERSET,KY,42503,(606)425-4432
119930,ONEPAC,OPEN DOORS HOST HOMES (KY),2338 FRANKFORT AVE,,LOUISVILLE,KY,40206,(502)361-2301
119999,ONEPAC,KY FC/SHL,SEE NURSING STATION ADDRESS,,(STATE WIDE),KY,42104,(555)555-5555
1276,ONEPAC,SPECTRUM OF SOLUTIONS (SOS),2701 NORTH A STREET,,MIDLAND,TX,79705,(432)695-9901
142001,NJEXPO,NEWFAC - COMM OPT MD (MD-X),7615 STANDISH PLACE,,ROCKVILLE,MD,20855,(301)656-3997
166501,ONEPAC,RHA MAIDEN (NC),1754 GKN WAY,,NEWTON,NC,28658,(828)428-0061
166503,ONEPAC,RHA CLEAR CREEK ICF (NC),11950 HOWELL CENTER DR,,CHARLOTTE,NC,28227,(704)545-7200
166505,ONEPAC,RHA GASTONIA (NC),1564-D UNION RD,,GASTONIA,NC,28054,(704)864-3450
166507,ONEPAC,RHA CLEVELAND (NO DH) (NC),211 ROSEMAN LN,,CLEVELAND,NC,27013,(704)278-9681
166509,ONEPAC,RHA HENDERSONVILLE (NO DH)(NC),145 CANE CREEK INDUSTRIAL PARK,SUITE 250,FLETCHER,NC,28732,(828)684-1940
166511,ONEPAC,RHA STATESVILLE (NC),190 COMMERCE BLVD,,STATESVILLE,NC,28625,(704)872-3257
166513,ONEPAC,RHA DEEP GAP (NO DH) (NC),176 WILDCAT RD,,DEEP GAP,NC,28618,(828)262-5450
166515,ONEPAC,RHA GREENSBORO (NC),1508 GATEWOOD AVE,,GREENSBORO,NC,27405,(336)273-6105
166517,ONEPAC,RHA HIGH POINT (NC),1701 WESTCHESTER DR,SUITE 940,HIGH POINT,NC,27262,(336)885-5090
166519,ONEPAC,RHA BURNSVILLE (NC),414 E MAIN STREET,,BURNSVILLE,NC,28714,(828)682-4394
166521,ONEPAC,RHA KANNAPOLIS (NC),195 ERVIN WOODS DR,,KANNAPOLIS,NC,28081,(704)925-8041
166523,ONEPAC,RHA ALBEMARLE (NO DH) (NC),125 CHARTER ST,,ALBEMARLE,NC,28001,(704)986-4118
166525,ONEPAC,RHA CREEDMOOR (NC),2527 E LYON STATION RD,,CREEDMOOR,NC,27522,(919)528-2558
166527,ONEPAC,RHA LUMBERTON (NO DH) (NC),2003 GODWIN AVE,SUITE A1,LUMBERTON,NC,28358,(910)739-1468
166529,ONEPAC,RHA BEAR CREEK ICF (NO DH)(NC),5840 GREENWOOD DR,,LA GRANGE,NC,28551,(252)566-9181
166531,ONEPAC,RHA ROBINS NEST (NO DH) (NC),5840 GREENWOOD DR,,LA GRANGE,NC,28551,(252)566-9181
166533,ONEPAC,RHA FOX RUN (NO DH) (NC),5840 GREENWOOD DR,,LA GRANGE,NC,28551,(252)566-9181
166535,ONEPAC,RHA WALNUT CREEK ICF (NC),5840 GREENWOOD DR,,LA GRANGE,NC,28551,(919)778-3524
166537,ONEPAC,RHA FAYETTEVILLE (NO DH) (NC),2248 WINGATE RD,,FAYETTEVILLE,NC,28304,(910)424-2121
166539,ONEPAC,RHA MAXTON (NC),15235 AIRPORT RD,,MAXTON,NC,28364,(910)844-9664
166541,ONEPAC,RHA RIVERBEND ICF (NO DH) (NC),140 PIRATES RD,ATTN: NURSING DEPT.,NEW BERN,NC,28562,(252)638-6519
166543,ONEPAC,RHA BENSON (NO DH) (NC),501 SOUTH WALL STREET,SUITE C,BENSON,NC,27504,(919)894-5124
166545,ONEPAC,RHA GREENVILLE (NO DH) (NC),323 KING GEORGE RD,,GREENVILLE,NC,27834,(252)558-2575
166547,ONEPAC,RHA PITT COUNTY GH (NC),560 QUEEN STREET,,GRIFTON,NC,28530,(252)524-4950
166549,ONEPAC,RHA WILMINGTON (NC),3255 BURNT MILL DR,SUITE 5,WILMINGTON,NC,28403,(910)251-6616
166551,ONEPAC,RHA ABERDEEN (NC),126 ROBINHOOD LN,,ABERDEEN,NC,28315,(910)944-7002
172102,ONEPAC,DUNGARVIN (IN),3570 BLACKTHORN CT,,SOUTH BEND,IN,46628,(574)245-5400
172108,ONEPAC,BI COUNTY SUPPORTED LIVIN (IN),425 E HARRISON RD,,BLUFFTON,IN,46714,(260)824-1253
172110,ONEPAC,BI COUNTY RESIDENTIAL (IN),425 E HARRISON RD,,BLUFFTON,IN,46714,(260)824-1253
182101,ONEPAC,MERCER RES SERV ICF (OH),436 W WAYNE ST,,CELINA,OH,45822,(419)586-1432
182107,ONEPAC,MERCER VAN WERT (OH),500 AUGUSTINE DR,,VAN WERT,OH,45891,(419)238-1019
182110,ONEPAC,INITIAL INDEPENDENCE (OH),257 E. MAIN ST.,,JACKSON,OH,45640,(740)286-0400
182113,ONEPAC,LOMEDA SERVICE (OH),9455 BETH AVE SW,,BOLIVAR,OH,44612,(570)765-0289
182117,ONEPAC,DIVINE RESIDENTIAL LIVING (OH),4393 BLACKS RD SW,,HEBRON,OH,43025,(740)341-6651
182129,ONEPAC,BUCKEYE COMM SERV(OH),207 REMY COURT,,WAVERLY,OH,45690,(740)941-1639
182131,ONEPAC,BUCKEYE WAIV (NO DH)(OH),220 MORTON ST,,JACKSON,OH,45640,(740)648-3229
182134,ONEPAC,VINTON INDUSTRIES (OH),30970 INDUSTRIAL PARK DR,,MCARTHUR,OH,45651,(740)486-7303
182137,ONEPAC,CIRCULO EAST COUNTY (OH),300 2ND AVE,SUITE D,GALLIAPOLIS,OH,45631,(740)441-7163
182139,ONEPAC,CHOICES IN COMM LIVING (OH),1651 NEEDMORE RD,,DAYTON,OH,45414,(937)898-2220
182141,ONEPAC,LIMITLESS (NO DAYHAB) (OH),6902 PEARL ROAD,#304,CLEVELAND,OH,44130,(740)818-7386
182143,ONEPAC,PATTY'S HOME CARE (OH),8800 TYLER BLVD,,MENTOR,OH,44060,(440)478-6284
182145,ONEPAC,SAFE HAVEN CICL (OH),5970 NO MANS RD,,MIDDLETOWN,OH,45042,(513)422-1880
182147,ONEPAC,THE SOCIETY (OH),4283 PARADISE RD,,SEVILLE,OH,44273,(330)722-1900
182149,ONEPAC,MIDWEST ASH/RICH (OH),1660 ENTERPRISE PARKWAY,SUITE E,WOOSTER,OH,44691,(330)264-9615
182151,ONEPAC,MIDWEST STARK (OH),4164 ERIE AVE SW,,MASSILLON,OH,44646,(330)791-7021
182153,ONEPAC,MIDWEST WAYNE (OH),1660 ENTERPRISE PARKWAY,SUITE E,WOOSTER,OH,44691,(330)264-9615
182155,ONEPAC,CIRCULO HOST HOMES (OH),14550 PAYNE RD,,MARYSVILLE,OH,43040,(740)441-7163
182161,ONEPAC,BEACON SPECIALIZED LIVING (OH),1460 GRACELAND DR,,FAIRBORN,OH,45324,(937)417-4791
182163,ONEPAC,BEACON DELIVER TO HOME (OH),1460 GRACELAND DR,,FAIRBORN,OH,45324,(937)417-4791
182164,ONEPAC,ROSE-MARY ICF (OH),29400 CEDAR ROAD,,PEPPER PIKE,OH,44124,(216)644-6685
182166,ONEPAC,ROSE-MARY WAIVER (OH),622 CYNTHIA CT,,RICHMOND HEIGHTS,OH,44143,(216)644-6685
182169,ONEPAC,OUR LADY OF THE WAYSIDE (OH),8020 TYLER BLVD,,MENTOR,OH,44060,(440)823-4524
182172,ONEPAC,OZELL LLC (OH),370 OAKDALE CIRCLE,,ELRYIA,OH,44035,(440)219-9825
182174,ONEPAC,"NO DAY BUT TODAY, LLC (OH)",104 THIRD ST NW,SUITE 208,BARBERTON,OH,44203,(330)933-6190
182177,ONEPAC,TRUCARE PROVIDER (NO DH) (OH),3600 PARK 42 DRIVE,SUITE 3670,CINCINNATI,OH,45241,(513)201-5611
182179,ONEPAC,MIDWEST ICF (OH),5650 TOWNSHIP ROAD 332,,MILLERSBURG,OH,44654,(330)674-2281
182181,ONEPAC,ECI INC GROUP HOMES (OH),2036 E TOWNSHIP RD 122,,TIFFIN,OH,44883,(419)443-0767
182183,ONEPAC,ECI INC ICF (OH),1435 S MAIN ST,,CLYDE,OH,43410,(419)443-0767
182185,ONEPAC,ALLIED COMMUNITY ENDEAVORS(OH),4461 OBERLIND AVENUE,SUITE 102,LORAIN,OH,44053,(740)818-7386
182187,ONEPAC,"ALS, LLC (NO DH) (OH)",256 S OVAL,,CHARDON,OH,44024,(440)622-2800
182189,ONEPAC,OHIO VALLEY ADULT DAY SERVICES,411 APPLE ST,,MT. ORAB,OH,45154,(513)907-1971
182191,ONEPAC,GABLES OF MADISON (OH),731 N. LAKE STREET,,MADISON,OH,44057,(440)428-6205
182193,ONEPAC,MADISON VILLAGE (OH),148 EAST MAIN STREET,,MADISON,OH,44057,(___)___-____
182196,ONEPAC,NEWFAC - MURRAY RIDGE (LCBDD),4609 MEISTER RD,,LORAIN,OH,44053,(___)___-____
182198,ONEPAC,NEWFAC - CARH (NO DH) (OH),1710 US HWY 50,,BATAVIA,OH,45103,(513)767-1815
182201,ONEPAC,NEWFAC-KOINONIA BROOKLYN (OH),4248 W 35TH ST,,CLEVELAND,OH,44109,(216)417-6467
